xtile,ytile,infra
93447,57616,False
93448,57616,False
93449,57616,False
93450,57616,False
93451,57616,False
93452,57616,False
93453,57616,False
93454,57616,False
93455,57616,False
93456,57616,False
93457,57616,False
93458,57616,False
93459,57616,False
93460,57616,False
93461,57616,False
93462,57616,False
93462,57616,False
93463,57616,False
93464,57616,False
93465,57616,False
93466,57616,False
93467,57616,False
93468,57616,False
93469,57616,False
93470,57616,False
93471,57616,False
93472,57616,False
93473,57616,False
93473,57616,False
93474,57616,False
93475,57616,False
93476,57616,False
93477,57616,False
93478,57616,False
93479,57616,False
93480,57616,False
93481,57616,False
93482,57616,False
93483,57616,False
93483,57616,False
93484,57616,False
93485,57616,False
93486,57616,False
93487,57616,False
93488,57616,False
93489,57616,False
93490,57616,False
93491,57616,False
93492,57616,False
93493,57616,False
93493,57616,False
93494,57616,False
93495,57616,False
93496,57616,False
93497,57616,False
93498,57616,False
93499,57616,False
93500,57616,False
93501,57616,False
93502,57616,False
93503,57616,False
93503,57616,False
93504,57616,False
93505,57616,False
93506,57616,False
93507,57616,False
93508,57616,False
93509,57616,False
93510,57616,False
93511,57616,False
93512,57616,False
93513,57616,False
93513,57616,False
93514,57616,False
93515,57616,False
93516,57616,False
93517,57616,False
93518,57616,False
93519,57616,False
93520,57616,False
93521,57616,False
93522,57616,False
93523,57616,False
93523,57616,False
93524,57616,False
93525,57616,False
93526,57616,False
93527,57616,False
93528,57616,False
93529,57616,False
93530,57616,False
93531,57616,False
93532,57616,False
93533,57616,False
93533,57616,False
93534,57616,False
93535,57616,False
93536,57616,False
93537,57616,False
93538,57616,False
93539,57616,False
93540,57616,False
93541,57616,False
93542,57616,False
93543,57616,False
93543,57616,False
93544,57616,False
93545,57616,False
93546,57616,False
93547,57616,False
93548,57616,False
93549,57616,False
93550,57616,False
93551,57616,False
93552,57616,False
93553,57616,False
93553,57616,False
93554,57616,False
93555,57616,False
93556,57616,False
93557,57616,False
93558,57616,False
93559,57616,False
93560,57616,False
93561,57616,False
93562,57616,False
93563,57616,False
93563,57616,False
93564,57616,False
93565,57616,False
93566,57616,False
93567,57616,False
93568,57616,False
93569,57616,False
93570,57616,False
93571,57616,False
93572,57616,False
93573,57616,False
93573,57616,False
93574,57616,False
93575,57616,False
93576,57616,False
93577,57616,False
93578,57616,False
93579,57616,False
93580,57616,False
93581,57616,False
93582,57616,False
93583,57616,False
93583,57616,False
93584,57616,False
93585,57616,False
93586,57616,False
93587,57616,False
93588,57616,False
93589,57616,False
93590,57616,False
93591,57616,False
93592,57616,False
93593,57616,False
93593,57616,False
93594,57616,False
93595,57616,False
93596,57616,False
93597,57616,False
93598,57616,False
93599,57616,False
93600,57616,False
93601,57616,False
93602,57616,False
93603,57616,False
93603,57616,False
93604,57616,False
93605,57616,False
93606,57616,False
93607,57616,False
93608,57616,False
93609,57616,False
93610,57616,False
93611,57616,False
93612,57616,False
93613,57616,False
93613,57616,False
93614,57616,False
93615,57616,False
93616,57616,False
93617,57616,False
93618,57616,False
93619,57616,False
93620,57616,False
93621,57616,False
93622,57616,False
93623,57616,False
93623,57616,False
93624,57616,False
93625,57616,False
93626,57616,False
93627,57616,False
93628,57616,False
93629,57616,False
93630,57616,False
93631,57616,False
93632,57616,False
93633,57616,False
93633,57616,False
93634,57616,False
93635,57616,False
93636,57616,False
93637,57616,False
93638,57616,False
93639,57616,False
93640,57616,False
93641,57616,False
93642,57616,False
93643,57616,False
93643,57616,False
93644,57616,False
93645,57616,False
93646,57616,False
93647,57616,False
93648,57616,False
93649,57616,False
93650,57616,False
93651,57616,False
93652,57616,False
93653,57616,False
93653,57616,False
93654,57616,False
93655,57616,False
93656,57616,False
93657,57616,False
93658,57616,False
93659,57616,False
93660,57616,False
93661,57616,False
93662,57616,False
93662,57616,False
93663,57616,False
93664,57616,False
93665,57616,False
93666,57616,False
93667,57616,False
93668,57616,False
93669,57616,False
93670,57616,False
93671,57616,False
93672,57616,False
93672,57616,False
93673,57616,False
93674,57616,False
93675,57616,False
93676,57616,False
93677,57616,False
93678,57616,False
93679,57616,False
93680,57616,False
93681,57616,False
93682,57616,False
93682,57616,False
93683,57616,False
93684,57616,False
93685,57616,False
93686,57616,False
93687,57616,False
93688,57616,False
93689,57616,False
93690,57616,False
93691,57616,False
93692,57616,False
93692,57616,False
93693,57616,False
93694,57616,False
93695,57616,False
93696,57616,False
93697,57616,False
93698,57616,False
93699,57616,False
93700,57616,False
93701,57616,False
93702,57616,False
93702,57616,False
93703,57616,False
93704,57616,False
93705,57616,False
93706,57616,False
93707,57616,False
93708,57616,False
93709,57616,False
93710,57616,False
93711,57616,False
93712,57616,False
93712,57616,False
93713,57616,False
93714,57616,False
93715,57616,False
93716,57616,False
93717,57616,False
93718,57616,False
93719,57616,False
93720,57616,False
93721,57616,False
93722,57616,False
93722,57616,False
93723,57616,False
93724,57616,False
93725,57616,False
93726,57616,False
93727,57616,False
93728,57616,False
93729,57616,False
93730,57616,False
93731,57616,False
93732,57616,False
93732,57616,False
93733,57616,False
93734,57616,False
93735,57616,False
93736,57616,False
93737,57616,False
93738,57616,False
93739,57616,False
93740,57616,False
93741,57616,False
93742,57616,False
93742,57616,False
93743,57616,False
93744,57616,False
93745,57616,False
93746,57616,False
93747,57616,False
93748,57616,False
93749,57616,False
93750,57616,False
93751,57616,False
93752,57616,False
