xtile,ytile,infra
93177,57599,False
93178,57599,False
93179,57599,False
93180,57599,False
93181,57599,False
93182,57599,False
93183,57599,False
93184,57599,False
93185,57599,False
93186,57599,False
93187,57599,False
93188,57599,False
93189,57599,False
93190,57599,False
93191,57599,False
93191,57599,False
93192,57599,False
93193,57599,False
93194,57599,False
93195,57599,False
93196,57599,False
93197,57599,False
93198,57599,False
93199,57599,False
93200,57599,False
93201,57599,False
93202,57599,False
93202,57599,False
93203,57599,False
93204,57599,False
93205,57599,False
93206,57599,False
93207,57599,False
93208,57599,False
93209,57599,False
93210,57599,False
93211,57599,False
93211,57599,False
93212,57599,False
93213,57599,False
93214,57599,False
93215,57599,False
93216,57599,False
93217,57599,False
93218,57599,False
93219,57599,False
93220,57599,False
93221,57599,False
93221,57599,False
93222,57599,False
93223,57599,False
93224,57599,False
93225,57599,False
93226,57599,False
93227,57599,False
93228,57599,False
93229,57599,False
93230,57599,False
93231,57599,False
93231,57599,False
93232,57599,False
93233,57599,False
93234,57599,False
93235,57599,False
93236,57599,False
93237,57599,False
93238,57599,False
93239,57599,False
93240,57599,False
93241,57599,False
93241,57599,False
93242,57599,False
93243,57599,False
93244,57599,False
93245,57599,False
93246,57599,False
93247,57599,False
93248,57599,False
93249,57599,False
93250,57599,False
93251,57599,False
93251,57599,False
93252,57599,False
93253,57599,False
93254,57599,False
93255,57599,False
93256,57599,False
93257,57599,False
93258,57599,False
93259,57599,False
93260,57599,False
93261,57599,False
93261,57599,False
93262,57599,False
93263,57599,False
93264,57599,False
93265,57599,False
93266,57599,False
93267,57599,False
93268,57599,False
93269,57599,False
93270,57599,False
93271,57599,False
93271,57599,False
93272,57599,False
93273,57599,False
93274,57599,False
93275,57599,False
93276,57599,False
93277,57599,False
93278,57599,False
93279,57599,False
93280,57599,False
93281,57599,False
93281,57599,False
93282,57599,False
93283,57599,False
93284,57599,False
93285,57599,False
93286,57599,False
93287,57599,False
93288,57599,False
93289,57599,False
93290,57599,False
93291,57599,False
93291,57599,False
93292,57599,False
93293,57599,False
93294,57599,False
93295,57599,False
93296,57599,False
93297,57599,False
93298,57599,False
93299,57599,False
93300,57599,False
93301,57599,False
93301,57599,False
93302,57599,False
93303,57599,False
93304,57599,False
93305,57599,False
93306,57599,False
93307,57599,False
93308,57599,False
93309,57599,False
93310,57599,False
93311,57599,False
93311,57599,False
93312,57599,False
93313,57599,False
93314,57599,False
93315,57599,False
93316,57599,False
93317,57599,False
93318,57599,False
93319,57599,False
93320,57599,False
93321,57599,False
93321,57599,False
93322,57599,False
93323,57599,False
93324,57599,False
93325,57599,False
93326,57599,False
93327,57599,False
93328,57599,False
93329,57599,False
93330,57599,False
93331,57599,False
93331,57599,False
93332,57599,False
93333,57599,False
93334,57599,False
93335,57599,False
93336,57599,False
93337,57599,False
93338,57599,False
93339,57599,False
93340,57599,False
93341,57599,False
93341,57599,False
93342,57599,False
93343,57599,False
93344,57599,False
93345,57599,False
93346,57599,False
93347,57599,False
93348,57599,False
93349,57599,False
93350,57599,False
93351,57599,False
93351,57599,False
93352,57599,False
93353,57599,False
93354,57599,False
93355,57599,False
93356,57599,False
93357,57599,False
93358,57599,False
93359,57599,False
93360,57599,False
93361,57599,False
93361,57599,False
93362,57599,False
93363,57599,False
93364,57599,False
93365,57599,False
93366,57599,False
93367,57599,False
93368,57599,False
93369,57599,False
93370,57599,False
93371,57599,False
93371,57599,False
93372,57599,False
93373,57599,False
93374,57599,False
93375,57599,False
93376,57599,False
93377,57599,False
93378,57599,False
93379,57599,False
93380,57599,False
93381,57599,False
93381,57599,False
93382,57599,False
93383,57599,False
93384,57599,False
93385,57599,False
93386,57599,False
93387,57599,False
93388,57599,False
93389,57599,False
93390,57599,False
93391,57599,False
93391,57599,False
93392,57599,False
93393,57599,False
93394,57599,False
93395,57599,False
93396,57599,False
93397,57599,False
93398,57599,False
93399,57599,False
93400,57599,False
93401,57599,False
93401,57599,False
93402,57599,False
93403,57599,False
93404,57599,False
93405,57599,False
93406,57599,False
93407,57599,False
93408,57599,False
93409,57599,False
93410,57599,False
93411,57599,False
93411,57599,False
93412,57599,False
93413,57599,False
93414,57599,False
93415,57599,False
93416,57599,False
93417,57599,False
93418,57599,False
93419,57599,False
93420,57599,False
93421,57599,False
93421,57599,False
93422,57599,False
93423,57599,False
93424,57599,False
93425,57599,False
93426,57599,False
93427,57599,False
93428,57599,False
93429,57599,False
93430,57599,False
93431,57599,False
93431,57599,False
93432,57599,False
93433,57599,False
93434,57599,False
93435,57599,False
93436,57599,False
93437,57599,False
93438,57599,False
93439,57599,False
93440,57599,False
93440,57599,False
93441,57599,False
93442,57599,False
93443,57599,False
93444,57599,False
93445,57599,False
93446,57599,False
93447,57599,False
93448,57599,False
93449,57599,False
93450,57599,False
93450,57599,False
93451,57599,False
93452,57599,False
93453,57599,False
93454,57599,False
93455,57599,False
93456,57599,False
93457,57599,False
93458,57599,False
93459,57599,False
93460,57599,False
93460,57599,False
93461,57599,False
93462,57599,False
93463,57599,False
93464,57599,False
93465,57599,False
93466,57599,False
93467,57599,False
93468,57599,False
93469,57599,False
93470,57599,False
93470,57599,False
93471,57599,False
93472,57599,False
93473,57599,False
93474,57599,False
93475,57599,False
93476,57599,False
93477,57599,False
93478,57599,False
93479,57599,False
93480,57599,False
93480,57599,False
93481,57599,False
93482,57599,False
93483,57599,False
93484,57599,False
93485,57599,False
93486,57599,False
93487,57599,False
93488,57599,False
93489,57599,False
93490,57599,False
93490,57599,False
93491,57599,False
93492,57599,False
93493,57599,False
93494,57599,False
93495,57599,False
93496,57599,False
93497,57599,False
93498,57599,False
93499,57599,False
93500,57599,False
93500,57599,False
93501,57599,False
93502,57599,False
93503,57599,False
93504,57599,False
93505,57599,False
93506,57599,False
93507,57599,False
93177,57600,False
93178,57600,False
93179,57600,False
93180,57600,False
93181,57600,False
93182,57600,False
93183,57600,False
93184,57600,False
93185,57600,False
93186,57600,False
93187,57600,False
93188,57600,False
93189,57600,False
93190,57600,False
93191,57600,False
93191,57600,False
93192,57600,False
93193,57600,False
93194,57600,False
93195,57600,False
93196,57600,False
93197,57600,False
93198,57600,False
93199,57600,False
93200,57600,False
93201,57600,False
93202,57600,False
93202,57600,False
93203,57600,False
93204,57600,False
93205,57600,False
93206,57600,False
93207,57600,False
93208,57600,False
93209,57600,False
93210,57600,False
93211,57600,False
93211,57600,False
93212,57600,False
93213,57600,False
93214,57600,False
93215,57600,False
93216,57600,False
93217,57600,False
93218,57600,False
93219,57600,False
93220,57600,False
93221,57600,False
93221,57600,False
93222,57600,False
93223,57600,False
93224,57600,False
93225,57600,False
93226,57600,False
93227,57600,False
93228,57600,False
93229,57600,False
93230,57600,False
93231,57600,False
93231,57600,False
93232,57600,False
93233,57600,False
93234,57600,False
93235,57600,False
93236,57600,False
93237,57600,False
93238,57600,False
93239,57600,False
93240,57600,False
93241,57600,False
93241,57600,False
93242,57600,False
93243,57600,False
93244,57600,False
93245,57600,False
93246,57600,False
93247,57600,False
93248,57600,False
93249,57600,False
93250,57600,False
93251,57600,False
93251,57600,False
93252,57600,False
93253,57600,False
93254,57600,False
93255,57600,False
93256,57600,False
93257,57600,False
93258,57600,False
93259,57600,False
93260,57600,False
93261,57600,False
93261,57600,False
93262,57600,False
93263,57600,False
93264,57600,False
93265,57600,False
93266,57600,False
93267,57600,False
93268,57600,False
93269,57600,False
93270,57600,False
93271,57600,False
93271,57600,False
93272,57600,False
93273,57600,False
93274,57600,False
93275,57600,False
93276,57600,False
93277,57600,False
93278,57600,False
93279,57600,False
93280,57600,False
93281,57600,False
93281,57600,False
93282,57600,False
93283,57600,False
93284,57600,False
93285,57600,False
93286,57600,False
93287,57600,False
93288,57600,False
93289,57600,False
93290,57600,False
93291,57600,False
93291,57600,False
93292,57600,False
93293,57600,False
93294,57600,False
93295,57600,False
93296,57600,False
93297,57600,False
93298,57600,False
93299,57600,False
93300,57600,False
93301,57600,False
93301,57600,False
93302,57600,False
93303,57600,False
93304,57600,False
93305,57600,False
93306,57600,False
93307,57600,False
93308,57600,False
93309,57600,False
93310,57600,False
93311,57600,False
93311,57600,False
93312,57600,False
93313,57600,False
93314,57600,False
93315,57600,False
93316,57600,False
93317,57600,False
93318,57600,False
93319,57600,False
93320,57600,False
93321,57600,False
93321,57600,False
93322,57600,False
93323,57600,False
93324,57600,False
93325,57600,False
93326,57600,False
93327,57600,False
93328,57600,False
93329,57600,False
93330,57600,False
93331,57600,False
93331,57600,False
93332,57600,False
93333,57600,False
93334,57600,False
93335,57600,False
93336,57600,False
93337,57600,False
93338,57600,False
93339,57600,False
93340,57600,False
93341,57600,False
93341,57600,False
93342,57600,False
93343,57600,False
93344,57600,False
93345,57600,False
93346,57600,False
93347,57600,False
93348,57600,False
93349,57600,False
93350,57600,False
93351,57600,False
93351,57600,False
93352,57600,False
93353,57600,False
93354,57600,False
93355,57600,False
93356,57600,False
93357,57600,False
93358,57600,False
93359,57600,False
93360,57600,False
93361,57600,False
93361,57600,False
93362,57600,False
93363,57600,False
93364,57600,False
93365,57600,False
93366,57600,False
93367,57600,False
93368,57600,False
93369,57600,False
93370,57600,False
93371,57600,False
93371,57600,False
