xtile,ytile,infra
92426,57465,False
92427,57465,False
92428,57465,False
92429,57465,False
92430,57465,False
92431,57465,False
92432,57465,False
92432,57465,False
92433,57465,False
92434,57465,False
92435,57465,False
92436,57465,False
92437,57465,False
92438,57465,False
92439,57465,False
92440,57465,False
92441,57465,False
92442,57465,False
92442,57465,False
92443,57465,False
92444,57465,False
92445,57465,False
92446,57465,False
92447,57465,False
92448,57465,False
92449,57465,False
92450,57465,False
92451,57465,False
92452,57465,False
92452,57465,False
92453,57465,False
92454,57465,False
92455,57465,False
92456,57465,False
92457,57465,False
92458,57465,False
92459,57465,False
92460,57465,False
92461,57465,False
92462,57465,False
92462,57465,False
92463,57465,False
92464,57465,False
92465,57465,False
92466,57465,False
92467,57465,False
92468,57465,False
92469,57465,False
92470,57465,False
92471,57465,False
92472,57465,False
92472,57465,False
92473,57465,False
92474,57465,False
92475,57465,False
92476,57465,False
92477,57465,False
92478,57465,False
92479,57465,False
92480,57465,False
92481,57465,False
92482,57465,False
92482,57465,False
92483,57465,False
92484,57465,False
92485,57465,False
92486,57465,False
92487,57465,False
92488,57465,False
92489,57465,False
92490,57465,False
92491,57465,False
92492,57465,False
92492,57465,False
92493,57465,False
92494,57465,False
92495,57465,False
92496,57465,False
92497,57465,False
92498,57465,False
92499,57465,False
92500,57465,False
92501,57465,False
92502,57465,False
92502,57465,False
92503,57465,False
92504,57465,False
92505,57465,False
92506,57465,False
92507,57465,False
92508,57465,False
92509,57465,False
92510,57465,False
92511,57465,False
92512,57465,False
92512,57465,False
92513,57465,False
92514,57465,False
92515,57465,False
92516,57465,False
92517,57465,False
92518,57465,False
92519,57465,False
92520,57465,False
92521,57465,False
92521,57465,False
92522,57465,False
92523,57465,False
92524,57465,False
92525,57465,False
92526,57465,False
92527,57465,False
92528,57465,False
92529,57465,False
92530,57465,False
92531,57465,False
92531,57465,False
92532,57465,False
92533,57465,False
92534,57465,False
92535,57465,False
92536,57465,False
92537,57465,False
92538,57465,False
92539,57465,False
92540,57465,False
92541,57465,False
92541,57465,False
92542,57465,False
92543,57465,False
92544,57465,False
92545,57465,False
92546,57465,False
92547,57465,False
92548,57465,False
92549,57465,False
92550,57465,False
92551,57465,False
92551,57465,False
92552,57465,False
92553,57465,False
92554,57465,False
92555,57465,False
92556,57465,False
92557,57465,False
92558,57465,False
92559,57465,False
92560,57465,False
92561,57465,False
92561,57465,False
92562,57465,False
92563,57465,False
92564,57465,False
92565,57465,False
92566,57465,False
92567,57465,False
92568,57465,False
92569,57465,False
92570,57465,False
92571,57465,False
92571,57465,False
92572,57465,False
92573,57465,False
92574,57465,False
92575,57465,False
92576,57465,False
92577,57465,False
92578,57465,False
92579,57465,False
92580,57465,False
92581,57465,False
92581,57465,False
92582,57465,False
92583,57465,False
92584,57465,False
92585,57465,False
92586,57465,False
92587,57465,False
92588,57465,False
92589,57465,False
92590,57465,False
92591,57465,False
92591,57465,False
92592,57465,False
92593,57465,False
92594,57465,False
92595,57465,False
92596,57465,False
92597,57465,False
92598,57465,False
92599,57465,False
92600,57465,False
92601,57465,False
92601,57465,False
92602,57465,False
92603,57465,False
92604,57465,False
92605,57465,False
92606,57465,False
92607,57465,False
92608,57465,False
92609,57465,False
92610,57465,False
92611,57465,False
92611,57465,False
92612,57465,False
92613,57465,False
92614,57465,False
92615,57465,False
92616,57465,False
92617,57465,False
92618,57465,False
92619,57465,False
92620,57465,False
92621,57465,False
92621,57465,False
92622,57465,False
92623,57465,False
92624,57465,False
92625,57465,False
92626,57465,False
92627,57465,False
92628,57465,False
92629,57465,False
92630,57465,False
92631,57465,False
92631,57465,False
92632,57465,False
92633,57465,False
92634,57465,False
92635,57465,False
92636,57465,False
92637,57465,False
92638,57465,False
92639,57465,False
92640,57465,False
92641,57465,False
92641,57465,False
92642,57465,False
92643,57465,False
92644,57465,False
92645,57465,False
92646,57465,False
92647,57465,False
92648,57465,False
92649,57465,False
92650,57465,False
92651,57465,False
92651,57465,False
92652,57465,False
92653,57465,False
92654,57465,False
92655,57465,False
92656,57465,False
92657,57465,False
92658,57465,False
92659,57465,False
92660,57465,False
92661,57465,False
92661,57465,False
92662,57465,False
92663,57465,False
92664,57465,False
92665,57465,False
92666,57465,False
92667,57465,False
92668,57465,False
92669,57465,False
92670,57465,False
92671,57465,False
92671,57465,False
92672,57465,False
92673,57465,False
92674,57465,False
92675,57465,False
92676,57465,False
92677,57465,False
92678,57465,False
92679,57465,False
92680,57465,False
92681,57465,False
92681,57465,False
92682,57465,False
92683,57465,False
92684,57465,False
92685,57465,False
92686,57465,False
92687,57465,False
92688,57465,False
92689,57465,False
92690,57465,False
92691,57465,False
92691,57465,False
92692,57465,False
92693,57465,False
92694,57465,False
92695,57465,False
92696,57465,False
92697,57465,False
92698,57465,False
92699,57465,False
92700,57465,False
92701,57465,False
92701,57465,False
92702,57465,False
92703,57465,False
92704,57465,False
92705,57465,False
92706,57465,False
92707,57465,False
92708,57465,False
92709,57465,False
