xtile,ytile,infra
94587,57464,False
94588,57464,False
94589,57464,False
94590,57464,False
94590,57464,False
94591,57464,False
94592,57464,False
94593,57464,False
94594,57464,False
94595,57464,False
94596,57464,False
94597,57464,False
94598,57464,False
94599,57464,False
94600,57464,False
94601,57464,False
94601,57464,False
94602,57464,False
94603,57464,False
94604,57464,False
94605,57464,False
94606,57464,False
94607,57464,False
94608,57464,False
94609,57464,False
94610,57464,False
94611,57464,False
94611,57464,False
94612,57464,False
94613,57464,False
94614,57464,False
94615,57464,False
94616,57464,False
94617,57464,False
94618,57464,False
94619,57464,False
94620,57464,False
94621,57464,False
94621,57464,False
94622,57464,False
94623,57464,False
94624,57464,False
94625,57464,False
94626,57464,False
94627,57464,False
94628,57464,False
94629,57464,False
94630,57464,False
94631,57464,False
94631,57464,False
94632,57464,False
94633,57464,False
94634,57464,False
94635,57464,False
94636,57464,False
94637,57464,False
94638,57464,False
94639,57464,False
94640,57464,False
94641,57464,False
94641,57464,False
94642,57464,False
94643,57464,False
94644,57464,False
94645,57464,False
94646,57464,False
94647,57464,False
94648,57464,False
94649,57464,False
94650,57464,False
94651,57464,False
94651,57464,False
94652,57464,False
94653,57464,False
94654,57464,False
94655,57464,False
94656,57464,False
94657,57464,False
94658,57464,False
94659,57464,False
94660,57464,False
94661,57464,False
94661,57464,False
94662,57464,False
94663,57464,False
94664,57464,False
94665,57464,False
94666,57464,False
94667,57464,False
94668,57464,False
94669,57464,False
94670,57464,False
94671,57464,False
94671,57464,False
94672,57464,False
94673,57464,False
94674,57464,False
94675,57464,False
94676,57464,False
94677,57464,False
94678,57464,False
94679,57464,False
94680,57464,False
94681,57464,False
94681,57464,False
94682,57464,False
94683,57464,False
94684,57464,False
94685,57464,False
94686,57464,False
94687,57464,False
94688,57464,False
94689,57464,False
94690,57464,False
94691,57464,False
94691,57464,False
94692,57464,False
94693,57464,False
94694,57464,False
94695,57464,False
94696,57464,False
94697,57464,False
94698,57464,False
94699,57464,False
94700,57464,False
94701,57464,False
94701,57464,False
94702,57464,False
94703,57464,False
94704,57464,False
94705,57464,False
94706,57464,False
94707,57464,False
94708,57464,False
94709,57464,False
94710,57464,False
94711,57464,False
94711,57464,False
94712,57464,False
94713,57464,False
94714,57464,False
94715,57464,False
94716,57464,False
94717,57464,False
94718,57464,False
94719,57464,False
94720,57464,False
94721,57464,False
94721,57464,False
94722,57464,False
94723,57464,False
94724,57464,False
94725,57464,False
94726,57464,False
94727,57464,False
94728,57464,False
94729,57464,False
94730,57464,False
94731,57464,False
94731,57464,False
94732,57464,False
94733,57464,False
94734,57464,False
94735,57464,False
94736,57464,False
94737,57464,False
94738,57464,False
94739,57464,False
94740,57464,False
94741,57464,False
94741,57464,False
94742,57464,False
94743,57464,False
94744,57464,False
94745,57464,False
94746,57464,False
94747,57464,False
94748,57464,False
94749,57464,False
94750,57464,False
94751,57464,False
94751,57464,False
94752,57464,False
94753,57464,False
94754,57464,False
94755,57464,False
94756,57464,False
94757,57464,False
94758,57464,False
94759,57464,False
94760,57464,False
94761,57464,False
94761,57464,False
94762,57464,False
94763,57464,False
94764,57464,False
94765,57464,False
94766,57464,False
94767,57464,False
94768,57464,False
94769,57464,False
94770,57464,False
94771,57464,False
94771,57464,False
94772,57464,False
94773,57464,False
94774,57464,False
94775,57464,False
94776,57464,False
94777,57464,False
94778,57464,False
94779,57464,False
94780,57464,False
94781,57464,False
94781,57464,False
94782,57464,False
94783,57464,False
94784,57464,False
94785,57464,False
94786,57464,False
94787,57464,False
94788,57464,False
94789,57464,False
94790,57464,False
94791,57464,False
94791,57464,False
94792,57464,False
94793,57464,False
94794,57464,False
94795,57464,False
94796,57464,False
94797,57464,False
94798,57464,False
94799,57464,False
94800,57464,False
94801,57464,False
94801,57464,False
94802,57464,False
94803,57464,False
94804,57464,False
94805,57464,False
94806,57464,False
94807,57464,False
94808,57464,False
94809,57464,False
94810,57464,False
94811,57464,False
94811,57464,False
94812,57464,False
94813,57464,False
94814,57464,False
94815,57464,False
94816,57464,False
94817,57464,False
94818,57464,False
94819,57464,False
94820,57464,False
94820,57464,False
94821,57464,False
94822,57464,False
94823,57464,False
94824,57464,False
94825,57464,False
94826,57464,False
94827,57464,False
94828,57464,False
94829,57464,False
94830,57464,False
94830,57464,False
94831,57464,False
94832,57464,False
94833,57464,False
94834,57464,False
94835,57464,False
94836,57464,False
94837,57464,False
94838,57464,False
94839,57464,False
94840,57464,False
94840,57464,False
94841,57464,False
94842,57464,False
94843,57464,False
94844,57464,False
94845,57464,False
94846,57464,False
94847,57464,False
94848,57464,False
94849,57464,False
94850,57464,False
94850,57464,False
94851,57464,False
94852,57464,False
94853,57464,False
94854,57464,False
94855,57464,False
94856,57464,False
94857,57464,False
94858,57464,False
94859,57464,False
94860,57464,False
94860,57464,False
94861,57464,False
94862,57464,False
94863,57464,False
94864,57464,False
94587,57465,False
94588,57465,False
94589,57465,False
94590,57465,False
94590,57465,False
94591,57465,False
94592,57465,False
94593,57465,False
94594,57465,False
94595,57465,False
94596,57465,False
94597,57465,False
94598,57465,False
94599,57465,False
94600,57465,False
94601,57465,False
94601,57465,False
94602,57465,False
94603,57465,False
94604,57465,False
94605,57465,False
94606,57465,False
94607,57465,False
94608,57465,False
94609,57465,False
94610,57465,False
94611,57465,False
94611,57465,False
94612,57465,False
94613,57465,False
94614,57465,False
94615,57465,False
94616,57465,False
94617,57465,False
94618,57465,False
94619,57465,False
94620,57465,False
94621,57465,False
94621,57465,False
94622,57465,False
94623,57465,False
94624,57465,False
94625,57465,False
94626,57465,False
94627,57465,False
94628,57465,False
94629,57465,False
94630,57465,False
94631,57465,False
94631,57465,False
94632,57465,False
94633,57465,False
94634,57465,False
94635,57465,False
94636,57465,False
94637,57465,False
94638,57465,False
94639,57465,False
94640,57465,False
94641,57465,False
94641,57465,False
94642,57465,False
94643,57465,False
94644,57465,False
94645,57465,False
94646,57465,False
94647,57465,False
94648,57465,False
94649,57465,False
94650,57465,False
94651,57465,False
94651,57465,False
94652,57465,False
94653,57465,False
94654,57465,False
94655,57465,False
94656,57465,False
94657,57465,False
94658,57465,False
94659,57465,False
94660,57465,False
94661,57465,False
94661,57465,False
94662,57465,False
94663,57465,False
94664,57465,False
94665,57465,False
94666,57465,False
94667,57465,False
94668,57465,False
94669,57465,False
94670,57465,False
94671,57465,False
94671,57465,False
94672,57465,False
94673,57465,False
94674,57465,False
94675,57465,False
94676,57465,False
94677,57465,False
94678,57465,False
94679,57465,False
94680,57465,False
94681,57465,False
94681,57465,False
