xtile,ytile,infra
93452,58094,False
93453,58094,False
93454,58094,False
93455,58094,False
93456,58094,False
93457,58094,False
93458,58094,False
93459,58094,False
93460,58094,False
93461,58094,False
93462,58094,False
93462,58094,False
93463,58094,False
93464,58094,False
93465,58094,False
93466,58094,False
93467,58094,False
93468,58094,False
93469,58094,False
93470,58094,False
93471,58094,False
93472,58094,False
93473,58094,False
93474,58094,False
93474,58094,False
93475,58094,False
93476,58094,False
93477,58094,False
93478,58094,False
93479,58094,False
93480,58094,False
93481,58094,False
93482,58094,False
93483,58094,False
93484,58094,False
93484,58094,False
93485,58094,False
93486,58094,False
93487,58094,False
93488,58094,False
93489,58094,False
93490,58094,False
93491,58094,False
93492,58094,False
93493,58094,False
93494,58094,False
93494,58094,False
93495,58094,False
93496,58094,False
93497,58094,False
93498,58094,False
93499,58094,False
93500,58094,False
93501,58094,False
93502,58094,False
93503,58094,False
93504,58094,False
93504,58094,False
93505,58094,False
93506,58094,False
93507,58094,False
93508,58094,False
93509,58094,False
93510,58094,False
93511,58094,False
93512,58094,False
93513,58094,False
93514,58094,False
93514,58094,False
93515,58094,False
93516,58094,False
93517,58094,False
93518,58094,False
93519,58094,False
93520,58094,False
93521,58094,False
93522,58094,False
93523,58094,False
93524,58094,False
93524,58094,False
93525,58094,False
93526,58094,False
93527,58094,False
93528,58094,False
93529,58094,False
93530,58094,False
93531,58094,False
93532,58094,False
93533,58094,False
93534,58094,False
93534,58094,False
93535,58094,False
93536,58094,False
93537,58094,False
93538,58094,False
93539,58094,False
93540,58094,False
93541,58094,False
93542,58094,False
93543,58094,False
93544,58094,False
93544,58094,False
93545,58094,False
93546,58094,False
93547,58094,False
93548,58094,False
93549,58094,False
93550,58094,False
93551,58094,False
93552,58094,False
93553,58094,False
93554,58094,False
93554,58094,False
93555,58094,False
93556,58094,False
93557,58094,False
93558,58094,False
93559,58094,False
93560,58094,False
93561,58094,False
93562,58094,False
93563,58094,False
93564,58094,False
93564,58094,False
93565,58094,False
93566,58094,False
93567,58094,False
93568,58094,False
93569,58094,False
93570,58094,False
93571,58094,False
93572,58094,False
93573,58094,False
93574,58094,False
93574,58094,False
93575,58094,False
93576,58094,False
93577,58094,False
93578,58094,False
93579,58094,False
93580,58094,False
93581,58094,False
93582,58094,False
93583,58094,False
93584,58094,False
93584,58094,False
93585,58094,False
93586,58094,False
93587,58094,False
93588,58094,False
93589,58094,False
93590,58094,False
93591,58094,False
93592,58094,False
93593,58094,False
93594,58094,False
93594,58094,False
93595,58094,False
93596,58094,False
93597,58094,False
93598,58094,False
93599,58094,False
93600,58094,False
93601,58094,False
93602,58094,False
93603,58094,False
93604,58094,False
93604,58094,False
93605,58094,False
93606,58094,False
93607,58094,False
93608,58094,False
93609,58094,False
93610,58094,False
93611,58094,False
93612,58094,False
93613,58094,False
93614,58094,False
93614,58094,False
93615,58094,False
93616,58094,False
93617,58094,False
93618,58094,False
93619,58094,False
93620,58094,False
93621,58094,False
93622,58094,False
93623,58094,False
93624,58094,False
93624,58094,False
93625,58094,False
93626,58094,False
93627,58094,False
93628,58094,False
93629,58094,False
93630,58094,False
93631,58094,False
93632,58094,False
93633,58094,False
93634,58094,False
93634,58094,False
93635,58094,False
93636,58094,False
93637,58094,False
93638,58094,False
93639,58094,False
93640,58094,False
93641,58094,False
93642,58094,False
93643,58094,False
93644,58094,False
93644,58094,False
93645,58094,False
93646,58094,False
93647,58094,False
93648,58094,False
93649,58094,False
93650,58094,False
93651,58094,False
93652,58094,False
93653,58094,False
93654,58094,False
93654,58094,False
93655,58094,False
93656,58094,False
93657,58094,False
93658,58094,False
93659,58094,False
93660,58094,False
93661,58094,False
93662,58094,False
93663,58094,False
93664,58094,False
93664,58094,False
93665,58094,False
93666,58094,False
93667,58094,False
93668,58094,False
93669,58094,False
93670,58094,False
93671,58094,False
93672,58094,False
93673,58094,False
93674,58094,False
93674,58094,False
93675,58094,False
93676,58094,False
93677,58094,False
93678,58094,False
93679,58094,False
93680,58094,False
93681,58094,False
93682,58094,False
93683,58094,False
93684,58094,False
93684,58094,False
93685,58094,False
93686,58094,False
93687,58094,False
93688,58094,False
93689,58094,False
93690,58094,False
93691,58094,False
93692,58094,False
93693,58094,False
93693,58094,False
93694,58094,False
93695,58094,False
93696,58094,False
93697,58094,False
93698,58094,False
93699,58094,False
93700,58094,False
93701,58094,False
93702,58094,False
93703,58094,False
93703,58094,False
93704,58094,False
93705,58094,False
93706,58094,False
93707,58094,False
93708,58094,False
93709,58094,False
93710,58094,False
93711,58094,False
93712,58094,False
93713,58094,False
93713,58094,False
93714,58094,False
93715,58094,False
93716,58094,False
93717,58094,False
93718,58094,False
93719,58094,False
93720,58094,False
93721,58094,False
93722,58094,False
93723,58094,False
93723,58094,False
93724,58094,False
93725,58094,False
93726,58094,False
93727,58094,False
93728,58094,False
93729,58094,False
93730,58094,False
93731,58094,False
93732,58094,False
93733,58094,False
93733,58094,False
93734,58094,False
93735,58094,False
93736,58094,False
93737,58094,False
93738,58094,False
93739,58094,False
93740,58094,False
93741,58094,False
93742,58094,False
93743,58094,False
93743,58094,False
93744,58094,False
93745,58094,False
93746,58094,False
93747,58094,False
93748,58094,False
93452,58095,False
93453,58095,False
93454,58095,False
93455,58095,False
93456,58095,False
93457,58095,False
93458,58095,False
93459,58095,False
93460,58095,False
93461,58095,False
93462,58095,False
93462,58095,False
93463,58095,False
93464,58095,False
93465,58095,False
93466,58095,False
93467,58095,False
93468,58095,False
93469,58095,False
93470,58095,False
93471,58095,False
93472,58095,False
93473,58095,False
93474,58095,False
93474,58095,False
93475,58095,False
93476,58095,False
93477,58095,False
93478,58095,False
93479,58095,False
93480,58095,False
93481,58095,False
93482,58095,False
93483,58095,False
93484,58095,False
93484,58095,False
93485,58095,False
93486,58095,False
93487,58095,False
93488,58095,False
93489,58095,False
93490,58095,False
93491,58095,False
93492,58095,False
93493,58095,False
93494,58095,False
93494,58095,False
93495,58095,False
93496,58095,False
93497,58095,False
93498,58095,False
93499,58095,False
93500,58095,False
93501,58095,False
93502,58095,False
93503,58095,False
93504,58095,False
93504,58095,False
93505,58095,False
93506,58095,False
