xtile,ytile,infra
93057,57850,False
93058,57850,False
93059,57850,False
93060,57850,False
93061,57850,False
93062,57850,False
93063,57850,False
93064,57850,False
93065,57850,False
93066,57850,False
93067,57850,False
93068,57850,False
93068,57850,False
93069,57850,False
93070,57850,False
93071,57850,False
93072,57850,False
93073,57850,False
93074,57850,False
93075,57850,False
93076,57850,False
93077,57850,False
93078,57850,False
93078,57850,False
93079,57850,False
93080,57850,False
93081,57850,False
93082,57850,False
93083,57850,False
93084,57850,False
93085,57850,False
93086,57850,False
93087,57850,False
93088,57850,False
93088,57850,False
93089,57850,False
93090,57850,False
93091,57850,False
93092,57850,False
93093,57850,False
93094,57850,False
93095,57850,False
93096,57850,False
93097,57850,False
93098,57850,False
93098,57850,False
93099,57850,False
93100,57850,False
93101,57850,False
93102,57850,False
93103,57850,False
93104,57850,False
93105,57850,False
93106,57850,False
93107,57850,False
93108,57850,False
93108,57850,False
93109,57850,False
93110,57850,False
93111,57850,False
93112,57850,False
93113,57850,False
93114,57850,False
93115,57850,False
93116,57850,False
93117,57850,False
93118,57850,False
93118,57850,False
93119,57850,False
93120,57850,False
93121,57850,False
93122,57850,False
93123,57850,False
93124,57850,False
93125,57850,False
93126,57850,False
93127,57850,False
93128,57850,False
93128,57850,False
93129,57850,False
93130,57850,False
93131,57850,False
93132,57850,False
93133,57850,False
93134,57850,False
93135,57850,False
93136,57850,False
93137,57850,False
93138,57850,False
93138,57850,False
93139,57850,False
93140,57850,False
93141,57850,False
93142,57850,False
93143,57850,False
93144,57850,False
93145,57850,False
93146,57850,False
93147,57850,False
93148,57850,False
93148,57850,False
93149,57850,False
93150,57850,False
93151,57850,False
93152,57850,False
93153,57850,False
93154,57850,False
93155,57850,False
93156,57850,False
93157,57850,False
93158,57850,False
93158,57850,False
93159,57850,False
93160,57850,False
93161,57850,False
93162,57850,False
93163,57850,False
93164,57850,False
93165,57850,False
93166,57850,False
93167,57850,False
93168,57850,False
93168,57850,False
93169,57850,False
93170,57850,False
93171,57850,False
93172,57850,False
93173,57850,False
93174,57850,False
93175,57850,False
93176,57850,False
93177,57850,False
93178,57850,False
93178,57850,False
93179,57850,False
93180,57850,False
93181,57850,False
93182,57850,False
93183,57850,False
93184,57850,False
93185,57850,False
93186,57850,False
93187,57850,False
93188,57850,False
93188,57850,False
93189,57850,False
93190,57850,False
93191,57850,False
93192,57850,False
93193,57850,False
93194,57850,False
93195,57850,False
93196,57850,False
93197,57850,False
93198,57850,False
93198,57850,False
93199,57850,False
93200,57850,False
93201,57850,False
93202,57850,False
93203,57850,False
93204,57850,False
93205,57850,False
93206,57850,False
93207,57850,False
93208,57850,False
93208,57850,False
93209,57850,False
93210,57850,False
93211,57850,False
93212,57850,False
93213,57850,False
93214,57850,False
93215,57850,False
93216,57850,False
93217,57850,False
93218,57850,False
93218,57850,False
93219,57850,False
93220,57850,False
93221,57850,False
93222,57850,False
93223,57850,False
93224,57850,False
93225,57850,False
93226,57850,False
93227,57850,False
93228,57850,False
93228,57850,False
93229,57850,False
93230,57850,False
93231,57850,False
93232,57850,False
93233,57850,False
93234,57850,False
93235,57850,False
93236,57850,False
93237,57850,False
93238,57850,False
93238,57850,False
93239,57850,False
93240,57850,False
93241,57850,False
93242,57850,False
93243,57850,False
93244,57850,False
93245,57850,False
93246,57850,False
93247,57850,False
93248,57850,False
93248,57850,False
93249,57850,False
93250,57850,False
93251,57850,False
93252,57850,False
93253,57850,False
93254,57850,False
93255,57850,False
93256,57850,False
93257,57850,False
93258,57850,False
93258,57850,False
93259,57850,False
93260,57850,False
93261,57850,False
93262,57850,False
93263,57850,False
93264,57850,False
93265,57850,False
93266,57850,False
93267,57850,False
93268,57850,False
93268,57850,False
93269,57850,False
93270,57850,False
93271,57850,False
93272,57850,False
93273,57850,False
93274,57850,False
93275,57850,False
93276,57850,False
93277,57850,False
93277,57850,False
93278,57850,False
93279,57850,False
93280,57850,False
93281,57850,False
93282,57850,False
93283,57850,False
93284,57850,False
93285,57850,False
93286,57850,False
93287,57850,False
93287,57850,False
93288,57850,False
93289,57850,False
93290,57850,False
93291,57850,False
93292,57850,False
93293,57850,False
93294,57850,False
93295,57850,False
93296,57850,False
93297,57850,False
93297,57850,False
93298,57850,False
93299,57850,False
93300,57850,False
93301,57850,False
93302,57850,False
93303,57850,False
93304,57850,False
93305,57850,False
93306,57850,False
93307,57850,False
93307,57850,False
93308,57850,False
93309,57850,False
93310,57850,False
93311,57850,False
93312,57850,False
93313,57850,False
93314,57850,False
93315,57850,False
93316,57850,False
93317,57850,False
93317,57850,False
93318,57850,False
93319,57850,False
93320,57850,False
93321,57850,False
93322,57850,False
93323,57850,False
93324,57850,False
93325,57850,False
93326,57850,False
93327,57850,False
93327,57850,False
93328,57850,False
93329,57850,False
93330,57850,False
93331,57850,False
93332,57850,False
93333,57850,False
93334,57850,False
93335,57850,False
93336,57850,False
93337,57850,False
93337,57850,False
93338,57850,False
93339,57850,False
93340,57850,False
93341,57850,False
93342,57850,False
93343,57850,False
93344,57850,False
93345,57850,False
93346,57850,False
93347,57850,False
93347,57850,False
93348,57850,False
93349,57850,False
93350,57850,False
93351,57850,False
93352,57850,False
93353,57850,False
93354,57850,False
93355,57850,False
93356,57850,False
93357,57850,False
93357,57850,False
93358,57850,False
93359,57850,False
93360,57850,False
93361,57850,False
93362,57850,False
93363,57850,False
93364,57850,False
93365,57850,False
93366,57850,False
93367,57850,False
93367,57850,False
93368,57850,False
93369,57850,False
93370,57850,False
93371,57850,False
93372,57850,False
93373,57850,False
93374,57850,False
93375,57850,False
93376,57850,False
93377,57850,False
93377,57850,False
93378,57850,False
93379,57850,False
93380,57850,False
93381,57850,False
93382,57850,False
93383,57850,False
93384,57850,False
93385,57850,False
93386,57850,False
93387,57850,False
93387,57850,False
93388,57850,False
93389,57850,False
93390,57850,False
93391,57850,False
93392,57850,False
93393,57850,False
93394,57850,False
93395,57850,False
93396,57850,False
93397,57850,False
93397,57850,False
93398,57850,False
93399,57850,False
93057,57851,False
93058,57851,False
93059,57851,False
93060,57851,False
93061,57851,False
93062,57851,False
93063,57851,False
93064,57851,False
93065,57851,False
93066,57851,False
93067,57851,False
93068,57851,False
93068,57851,False
93069,57851,False
93070,57851,False
93071,57851,False
93072,57851,False
93073,57851,False
93074,57851,False
93075,57851,False
93076,57851,False
93077,57851,False
93078,57851,False
93078,57851,False
93079,57851,False
93080,57851,False
93081,57851,False
93082,57851,False
93083,57851,False
93084,57851,False
93085,57851,False
93086,57851,False
93087,57851,False
93088,57851,False
93088,57851,False
93089,57851,False
