xtile,ytile,infra
92368,59185,False
92369,59185,False
92370,59185,False
92371,59185,False
92372,59185,False
92373,59185,False
92374,59185,False
92375,59185,False
92376,59185,False
92377,59185,False
92378,59185,False
92379,59185,False
92380,59185,False
92381,59185,False
92382,59185,False
92383,59185,False
92383,59185,False
92384,59185,False
92385,59185,False
92386,59185,False
92387,59185,False
92388,59185,False
92389,59185,False
92390,59185,False
92391,59185,False
92392,59185,False
92393,59185,False
92393,59185,False
92394,59185,False
92395,59185,False
92396,59185,False
92397,59185,False
92398,59185,False
92399,59185,False
92400,59185,False
92401,59185,False
92402,59185,False
92403,59185,False
92403,59185,False
92404,59185,False
92405,59185,False
92406,59185,False
92407,59185,False
92408,59185,False
92409,59185,False
92410,59185,False
92411,59185,False
92412,59185,False
92413,59185,False
92413,59185,False
92414,59185,False
92415,59185,False
92416,59185,False
92417,59185,False
92418,59185,False
92419,59185,False
92420,59185,False
92421,59185,False
92422,59185,False
92423,59185,False
92423,59185,False
92424,59185,False
92425,59185,False
92426,59185,False
92427,59185,False
92428,59185,False
92429,59185,False
92430,59185,False
92431,59185,False
92432,59185,False
92433,59185,False
92433,59185,False
92434,59185,False
92435,59185,False
92436,59185,False
92437,59185,False
92438,59185,False
92439,59185,False
92440,59185,False
92441,59185,False
92442,59185,False
92443,59185,False
92443,59185,False
92444,59185,False
92445,59185,False
92446,59185,False
92447,59185,False
92448,59185,False
92449,59185,False
92450,59185,False
92451,59185,False
92452,59185,False
92453,59185,False
92453,59185,False
92454,59185,False
92455,59185,False
92456,59185,False
92457,59185,False
92458,59185,False
92459,59185,False
92460,59185,False
92461,59185,False
92462,59185,False
92462,59185,False
92463,59185,False
92464,59185,False
92465,59185,False
92466,59185,False
92467,59185,False
92468,59185,False
92469,59185,False
92470,59185,False
92471,59185,False
92472,59185,False
92472,59185,False
92473,59185,False
92474,59185,False
92475,59185,False
92476,59185,False
92477,59185,False
92478,59185,False
92479,59185,False
92480,59185,False
92481,59185,False
92482,59185,False
92482,59185,False
92483,59185,False
92484,59185,False
92485,59185,False
92486,59185,False
92487,59185,False
92488,59185,False
92489,59185,False
92490,59185,False
92491,59185,False
92492,59185,False
92492,59185,False
92493,59185,False
92494,59185,False
92495,59185,False
92496,59185,False
92497,59185,False
92498,59185,False
92499,59185,False
92500,59185,False
92501,59185,False
92502,59185,False
92502,59185,False
92503,59185,False
92504,59185,False
92505,59185,False
92506,59185,False
92507,59185,False
92508,59185,False
92509,59185,False
92510,59185,False
92511,59185,False
92512,59185,False
92512,59185,False
92513,59185,False
92514,59185,False
92515,59185,False
92516,59185,False
92517,59185,False
92518,59185,False
92519,59185,False
92520,59185,False
92521,59185,False
92522,59185,False
92522,59185,False
92523,59185,False
92524,59185,False
92525,59185,False
92526,59185,False
92527,59185,False
92528,59185,False
92529,59185,False
92530,59185,False
92531,59185,False
92532,59185,False
92532,59185,False
92533,59185,False
92534,59185,False
92535,59185,False
92536,59185,False
92537,59185,False
92538,59185,False
92539,59185,False
92540,59185,False
92541,59185,False
92542,59185,False
92542,59185,False
92543,59185,False
92544,59185,False
92545,59185,False
92546,59185,False
92547,59185,False
92548,59185,False
92549,59185,False
92550,59185,False
92551,59185,False
92552,59185,False
92552,59185,False
92553,59185,False
92554,59185,False
92555,59185,False
92556,59185,False
92557,59185,False
92558,59185,False
92559,59185,False
92560,59185,False
92561,59185,False
92562,59185,False
92562,59185,False
92563,59185,False
92564,59185,False
92565,59185,False
92566,59185,False
92567,59185,False
92568,59185,False
92569,59185,False
92570,59185,False
92571,59185,False
92572,59185,False
92572,59185,False
92573,59185,False
92574,59185,False
92575,59185,False
92576,59185,False
92577,59185,False
92578,59185,False
92579,59185,False
92580,59185,False
92581,59185,False
92582,59185,False
92582,59185,False
92583,59185,False
92584,59185,False
92585,59185,False
92586,59185,False
92587,59185,False
92588,59185,False
92589,59185,False
92590,59185,False
92591,59185,False
92592,59185,False
92592,59185,False
92593,59185,False
92594,59185,False
92595,59185,False
92596,59185,False
92597,59185,False
92598,59185,False
92599,59185,False
92600,59185,False
92601,59185,False
92602,59185,False
92602,59185,False
92603,59185,False
92604,59185,False
92605,59185,False
92606,59185,False
92607,59185,False
92608,59185,False
92609,59185,False
92610,59185,False
92611,59185,False
92612,59185,False
92612,59185,False
92613,59185,False
92614,59185,False
92615,59185,False
92616,59185,False
92617,59185,False
92618,59185,False
92619,59185,False
92620,59185,False
92621,59185,False
92622,59185,False
92622,59185,False
92623,59185,False
92624,59185,False
92625,59185,False
92626,59185,False
92627,59185,False
92628,59185,False
92629,59185,False
92630,59185,False
92631,59185,False
92632,59185,False
92632,59185,False
92633,59185,False
92634,59185,False
92635,59185,False
92636,59185,False
92637,59185,False
92638,59185,False
92639,59185,False
92640,59185,False
92641,59185,False
92642,59185,False
92642,59185,False
92643,59185,False
92644,59185,False
92645,59185,False
92646,59185,False
92647,59185,False
92648,59185,False
92649,59185,False
92650,59185,False
92651,59185,False
92652,59185,False
92652,59185,False
92653,59185,False
92654,59185,False
92655,59185,False
92656,59185,False
92657,59185,False
92658,59185,False
92659,59185,False
92660,59185,False
92661,59185,False
92662,59185,False
92662,59185,False
92663,59185,False
92664,59185,False
92665,59185,False
92666,59185,False
92667,59185,False
92668,59185,False
92669,59185,False
92670,59185,False
92671,59185,False
