xtile,ytile,infra
93279,58551,False
93280,58551,False
93281,58551,False
93282,58551,False
93283,58551,False
93284,58551,False
93285,58551,False
93286,58551,False
93287,58551,False
93288,58551,False
93289,58551,False
93290,58551,False
93290,58551,False
93291,58551,False
93292,58551,False
93293,58551,False
93294,58551,False
93295,58551,False
93296,58551,False
93297,58551,False
93298,58551,False
93299,58551,False
93300,58551,False
93301,58551,False
93302,58551,False
93303,58551,False
93304,58551,False
93304,58551,False
93305,58551,False
93306,58551,False
93307,58551,False
93308,58551,False
93309,58551,False
93310,58551,False
93311,58551,False
93312,58551,False
93313,58551,False
93314,58551,False
93314,58551,False
93315,58551,False
93316,58551,False
93317,58551,False
93318,58551,False
93319,58551,False
93320,58551,False
93321,58551,False
93322,58551,False
93323,58551,False
93324,58551,False
93324,58551,False
93325,58551,False
93326,58551,False
93327,58551,False
93328,58551,False
93329,58551,False
93330,58551,False
93331,58551,False
93332,58551,False
93333,58551,False
93334,58551,False
93334,58551,False
93335,58551,False
93336,58551,False
93337,58551,False
93338,58551,False
93339,58551,False
93340,58551,False
93341,58551,False
93342,58551,False
93343,58551,False
93344,58551,False
93344,58551,False
93345,58551,False
93346,58551,False
93347,58551,False
93348,58551,False
93349,58551,False
93350,58551,False
93351,58551,False
93352,58551,False
93353,58551,False
93354,58551,False
93354,58551,False
93355,58551,False
93356,58551,False
93357,58551,False
93358,58551,False
93359,58551,False
93360,58551,False
93361,58551,False
93362,58551,False
93363,58551,False
93364,58551,False
93364,58551,False
93365,58551,False
93366,58551,False
93367,58551,False
93368,58551,False
93369,58551,False
93370,58551,False
93371,58551,False
93372,58551,False
93373,58551,False
93374,58551,False
93374,58551,False
93375,58551,False
93376,58551,False
93377,58551,False
93378,58551,False
93379,58551,False
93380,58551,False
93381,58551,False
93382,58551,False
93383,58551,False
93384,58551,False
93384,58551,False
93385,58551,False
93386,58551,False
93387,58551,False
93388,58551,False
93389,58551,False
93390,58551,False
93391,58551,False
93392,58551,False
93393,58551,False
93394,58551,False
93394,58551,False
93395,58551,False
93396,58551,False
93397,58551,False
93398,58551,False
93399,58551,False
93400,58551,False
93401,58551,False
93402,58551,False
93403,58551,False
93404,58551,False
93404,58551,False
93405,58551,False
93406,58551,False
93407,58551,False
93408,58551,False
93409,58551,False
93410,58551,False
93411,58551,False
93412,58551,False
93413,58551,False
93414,58551,False
93414,58551,False
93415,58551,False
93416,58551,False
93417,58551,False
93418,58551,False
93419,58551,False
93420,58551,False
93421,58551,False
93422,58551,False
93423,58551,False
93424,58551,False
93424,58551,False
93425,58551,False
93426,58551,False
93427,58551,False
93428,58551,False
93429,58551,False
93430,58551,False
93431,58551,False
93432,58551,False
93433,58551,False
93433,58551,False
93434,58551,False
93435,58551,False
93436,58551,False
93437,58551,False
93438,58551,False
93439,58551,False
93440,58551,False
93441,58551,False
93442,58551,False
93443,58551,False
93443,58551,False
93444,58551,False
93445,58551,False
93446,58551,False
93447,58551,False
93448,58551,False
93449,58551,False
93450,58551,False
93451,58551,False
93452,58551,False
93453,58551,False
93453,58551,False
93454,58551,False
93455,58551,False
93456,58551,False
93457,58551,False
93458,58551,False
93459,58551,False
93460,58551,False
93461,58551,False
93462,58551,False
93463,58551,False
93463,58551,False
93464,58551,False
93465,58551,False
93466,58551,False
93467,58551,False
93468,58551,False
93469,58551,False
93470,58551,False
93471,58551,False
93472,58551,False
93473,58551,False
93473,58551,False
93474,58551,False
93475,58551,False
93476,58551,False
93477,58551,False
93478,58551,False
93479,58551,False
93480,58551,False
93481,58551,False
93482,58551,False
93483,58551,False
93483,58551,False
93484,58551,False
93485,58551,False
93486,58551,False
93487,58551,False
93488,58551,False
93489,58551,False
93490,58551,False
93491,58551,False
93492,58551,False
93493,58551,False
93493,58551,False
93494,58551,False
93495,58551,False
93496,58551,False
93497,58551,False
93498,58551,False
93499,58551,False
93500,58551,False
93501,58551,False
93502,58551,False
93503,58551,False
93503,58551,False
93504,58551,False
93505,58551,False
93506,58551,False
93507,58551,False
93508,58551,False
93509,58551,False
93510,58551,False
93511,58551,False
93512,58551,False
93513,58551,False
93513,58551,False
93514,58551,False
93515,58551,False
93516,58551,False
93517,58551,False
93518,58551,False
93519,58551,False
93520,58551,False
93521,58551,False
93522,58551,False
93523,58551,False
93523,58551,False
93524,58551,False
93525,58551,False
93526,58551,False
93527,58551,False
93528,58551,False
93529,58551,False
93530,58551,False
93531,58551,False
93532,58551,False
93533,58551,False
93533,58551,False
93534,58551,False
93535,58551,False
93536,58551,False
93537,58551,False
93538,58551,False
93539,58551,False
93540,58551,False
93541,58551,False
93542,58551,False
93543,58551,False
93543,58551,False
93544,58551,False
93545,58551,False
93546,58551,False
93547,58551,False
93548,58551,False
93549,58551,False
93550,58551,False
93551,58551,False
93552,58551,False
93553,58551,False
93553,58551,False
93554,58551,False
93555,58551,False
93556,58551,False
93557,58551,False
93558,58551,False
93559,58551,False
93560,58551,False
93561,58551,False
93562,58551,False
93563,58551,False
93563,58551,False
93564,58551,False
93565,58551,False
93566,58551,False
93567,58551,False
93568,58551,False
93569,58551,False
93570,58551,False
93571,58551,False
93572,58551,False
93573,58551,False
93573,58551,False
93574,58551,False
93575,58551,False
93576,58551,False
93577,58551,False
93578,58551,False
93579,58551,False
93580,58551,False
93581,58551,False
93582,58551,False
93583,58551,False
93583,58551,False
93584,58551,False
93585,58551,False
93586,58551,False
93587,58551,False
93588,58551,False
93589,58551,False
93590,58551,False
93591,58551,False
93592,58551,False
93593,58551,False
93593,58551,False
93594,58551,False
93595,58551,False
93596,58551,False
93597,58551,False
93598,58551,False
93599,58551,False
93600,58551,False
93601,58551,False
93602,58551,False
93603,58551,False
93603,58551,False
93604,58551,False
93605,58551,False
93606,58551,False
93607,58551,False
93608,58551,False
93609,58551,False
93610,58551,False
93611,58551,False
93612,58551,False
93613,58551,False
93613,58551,False
93614,58551,False
93615,58551,False
93616,58551,False
93617,58551,False
93618,58551,False
93619,58551,False
93620,58551,False
93621,58551,False
93622,58551,False
93623,58551,False
93623,58551,False
93624,58551,False
93625,58551,False
93626,58551,False
93627,58551,False
93628,58551,False
93629,58551,False
93630,58551,False
93631,58551,False
93632,58551,False
93633,58551,False
93633,58551,False
93634,58551,False
93635,58551,False
93636,58551,False
93637,58551,False
93638,58551,False
93639,58551,False
93640,58551,False
93641,58551,False
93642,58551,False
93643,58551,False
93643,58551,False
93644,58551,False
93645,58551,False
93646,58551,False
93647,58551,False
93648,58551,False
93649,58551,False
93650,58551,False
93651,58551,False
93652,58551,False
93653,58551,False
93653,58551,False
93654,58551,False
93655,58551,False
93656,58551,False
93657,58551,False
93658,58551,False
93659,58551,False
93660,58551,False
93661,58551,False
93662,58551,False
93662,58551,False
93663,58551,False
93664,58551,False
93665,58551,False
93666,58551,False
93667,58551,False
93668,58551,False
93669,58551,False
93670,58551,False
93671,58551,False
93672,58551,False
93672,58551,False
93673,58551,False
93674,58551,False
93675,58551,False
93676,58551,False
93677,58551,False
93678,58551,False
93279,58552,False
93280,58552,False
93281,58552,False
93282,58552,False
93283,58552,False
93284,58552,False
93285,58552,False
93286,58552,False
93287,58552,False
93288,58552,False
93289,58552,False
93290,58552,False
93290,58552,False
93291,58552,False
93292,58552,False
93293,58552,False
93294,58552,False
93295,58552,False
93296,58552,False
93297,58552,False
93298,58552,False
93299,58552,False
93300,58552,False
93301,58552,False
93302,58552,False
93303,58552,False
93304,58552,False
93304,58552,False
93305,58552,False
93306,58552,False
93307,58552,False
93308,58552,False
93309,58552,False
93310,58552,False
93311,58552,False
93312,58552,False
93313,58552,False
93314,58552,False
93314,58552,False
93315,58552,False
93316,58552,False
93317,58552,False
93318,58552,False
93319,58552,False
93320,58552,False
93321,58552,False
93322,58552,False
93323,58552,False
93324,58552,False
93324,58552,False
93325,58552,False
93326,58552,False
93327,58552,False
93328,58552,False
93329,58552,False
93330,58552,False
93331,58552,False
93332,58552,False
93333,58552,False
93334,58552,False
93334,58552,False
93335,58552,False
93336,58552,False
93337,58552,False
93338,58552,False
93339,58552,False
93340,58552,False
93341,58552,False
93342,58552,False
93343,58552,False
93344,58552,False
93344,58552,False
93345,58552,False
93346,58552,False
93347,58552,False
93348,58552,False
93349,58552,False
93350,58552,False
93351,58552,False
93352,58552,False
93353,58552,False
93354,58552,False
93354,58552,False
93355,58552,False
93356,58552,False
93357,58552,False
93358,58552,False
93359,58552,False
93360,58552,False
93361,58552,False
93362,58552,False
93363,58552,False
93364,58552,False
93364,58552,False
93365,58552,False
93366,58552,False
93367,58552,False
93368,58552,False
93369,58552,False
93370,58552,False
93371,58552,False
93372,58552,False
93373,58552,False
93374,58552,False
93374,58552,False
93375,58552,False
93376,58552,False
93377,58552,False
93378,58552,False
93379,58552,False
93380,58552,False
93381,58552,False
93382,58552,False
93383,58552,False
93384,58552,False
93384,58552,False
93385,58552,False
93386,58552,False
93387,58552,False
93388,58552,False
93389,58552,False
93390,58552,False
93391,58552,False
93392,58552,False
93393,58552,False
93394,58552,False
93394,58552,False
93395,58552,False
93396,58552,False
93397,58552,False
93398,58552,False
93399,58552,False
