xtile,ytile,infra
92038,58466,False
92039,58466,False
92040,58466,False
92041,58466,False
92042,58466,False
92043,58466,False
92044,58466,False
92045,58466,False
92046,58466,False
92047,58466,False
92047,58466,False
92048,58466,False
92049,58466,False
92050,58466,False
92051,58466,False
92052,58466,False
92053,58466,False
92054,58466,False
92055,58466,False
92056,58466,False
92057,58466,False
92057,58466,False
92058,58466,False
92059,58466,False
92060,58466,False
92061,58466,False
92062,58466,False
92063,58466,False
92064,58466,True
92065,58466,True
92066,58466,False
92067,58466,False
92067,58466,False
92068,58466,False
92069,58466,False
92070,58466,False
92071,58466,False
92038,58467,False
92039,58467,False
92040,58467,False
92041,58467,False
92042,58467,False
92043,58467,False
92044,58467,False
92045,58467,False
92046,58467,False
92047,58467,False
92047,58467,False
92048,58467,False
92049,58467,False
92050,58467,False
92051,58467,False
92052,58467,False
92053,58467,False
92054,58467,False
92055,58467,False
92056,58467,False
92057,58467,False
92057,58467,False
92058,58467,False
92059,58467,False
92060,58467,False
92061,58467,True
92062,58467,True
92063,58467,True
92064,58467,True
92065,58467,True
92066,58467,True
92067,58467,True
92067,58467,False
92068,58467,False
92069,58467,False
92070,58467,False
92071,58467,False
92038,58468,False
92039,58468,False
92040,58468,False
92041,58468,False
92042,58468,False
92043,58468,False
92044,58468,False
92045,58468,False
92046,58468,False
92047,58468,False
92047,58468,False
92048,58468,False
92049,58468,False
92050,58468,False
92051,58468,False
92052,58468,False
92053,58468,False
92054,58468,False
92055,58468,False
92056,58468,False
92057,58468,False
92057,58468,False
92058,58468,False
92059,58468,True
92060,58468,True
92061,58468,True
92062,58468,True
92063,58468,True
92064,58468,True
92065,58468,True
92066,58468,True
92067,58468,True
92067,58468,True
92068,58468,True
92069,58468,False
92070,58468,False
92071,58468,False
92038,58469,False
92039,58469,False
92040,58469,False
92041,58469,False
92042,58469,False
92043,58469,False
92044,58469,False
92045,58469,False
92046,58469,False
92047,58469,False
92047,58469,False
92048,58469,False
92049,58469,False
92050,58469,False
92051,58469,False
92052,58469,False
92053,58469,False
92054,58469,False
92055,58469,True
92056,58469,True
92057,58469,True
92057,58469,True
92058,58469,True
92059,58469,True
92060,58469,True
92061,58469,True
92062,58469,True
92063,58469,True
92064,58469,True
92065,58469,True
92066,58469,True
92067,58469,True
92067,58469,True
92068,58469,True
92069,58469,False
92070,58469,False
92071,58469,False
92038,58470,False
92039,58470,False
92040,58470,False
92041,58470,False
92042,58470,False
92043,58470,False
92044,58470,False
92045,58470,False
92046,58470,False
92047,58470,False
92047,58470,False
92048,58470,False
92049,58470,False
92050,58470,False
92051,58470,False
92052,58470,False
92053,58470,False
92054,58470,False
92055,58470,True
92056,58470,True
92057,58470,True
92057,58470,True
92058,58470,True
92059,58470,True
92060,58470,True
92061,58470,True
92062,58470,True
92063,58470,True
92064,58470,True
92065,58470,True
92066,58470,True
92067,58470,True
92067,58470,True
92068,58470,True
92069,58470,False
92070,58470,False
92071,58470,False
92038,58471,False
92039,58471,False
92040,58471,False
92041,58471,False
92042,58471,False
92043,58471,False
92044,58471,False
92045,58471,False
92046,58471,False
92047,58471,False
92047,58471,False
92048,58471,False
92049,58471,False
92050,58471,False
92051,58471,False
92052,58471,False
92053,58471,False
92054,58471,False
92055,58471,True
92056,58471,True
92057,58471,True
92057,58471,True
92058,58471,True
92059,58471,True
92060,58471,True
92061,58471,True
92062,58471,True
92063,58471,True
92064,58471,True
92065,58471,True
92066,58471,True
92067,58471,True
92067,58471,True
92068,58471,True
92069,58471,False
92070,58471,False
92071,58471,False
92038,58472,False
92039,58472,False
