xtile,ytile,infra
92032,58384,False
92033,58384,False
92034,58384,False
92035,58384,False
92036,58384,False
92037,58384,False
92038,58384,False
92039,58384,False
92040,58384,False
92041,58384,False
92042,58384,False
92043,58384,False
92044,58384,False
92045,58384,False
92046,58384,False
92047,58384,False
92047,58384,False
92048,58384,False
92049,58384,False
92050,58384,False
92051,58384,False
92052,58384,False
92053,58384,False
92054,58384,False
92055,58384,False
92056,58384,False
92057,58384,False
92058,58384,False
92058,58384,False
92059,58384,False
92060,58384,False
92061,58384,False
92062,58384,False
92063,58384,False
92064,58384,False
92065,58384,True
92066,58384,True
92067,58384,True
92068,58384,True
92068,58384,False
92069,58384,False
92070,58384,False
92071,58384,False
92072,58384,False
92073,58384,False
92074,58384,False
92075,58384,False
92076,58384,False
92077,58384,False
92078,58384,False
92078,58384,False
92079,58384,False
92080,58384,False
92081,58384,False
92082,58384,False
92083,58384,False
92084,58384,False
92085,58384,False
92086,58384,False
92087,58384,False
92088,58384,False
92088,58384,False
92089,58384,False
92090,58384,False
92091,58384,False
92092,58384,False
92093,58384,False
92094,58384,False
92095,58384,False
92096,58384,False
92097,58384,False
92098,58384,False
92098,58384,False
92099,58384,False
92100,58384,False
92101,58384,False
92102,58384,False
92103,58384,False
92104,58384,False
92105,58384,False
92106,58384,False
92107,58384,False
92108,58384,False
92032,58385,False
92033,58385,False
92034,58385,False
92035,58385,False
92036,58385,False
92037,58385,False
92038,58385,False
92039,58385,False
92040,58385,False
92041,58385,False
92042,58385,False
92043,58385,False
92044,58385,False
92045,58385,False
92046,58385,False
92047,58385,False
92047,58385,False
92048,58385,False
92049,58385,False
92050,58385,False
92051,58385,False
92052,58385,False
92053,58385,False
92054,58385,False
92055,58385,False
92056,58385,False
92057,58385,False
92058,58385,False
92058,58385,False
92059,58385,False
92060,58385,False
92061,58385,False
92062,58385,True
92063,58385,False
92064,58385,False
92065,58385,True
92066,58385,True
92067,58385,True
92068,58385,True
92068,58385,True
92069,58385,True
92070,58385,False
92071,58385,False
92072,58385,False
92073,58385,False
92074,58385,False
92075,58385,False
92076,58385,False
92077,58385,False
92078,58385,False
92078,58385,False
92079,58385,False
92080,58385,False
92081,58385,False
92082,58385,False
92083,58385,False
92084,58385,False
92085,58385,False
92086,58385,False
92087,58385,False
92088,58385,False
92088,58385,False
92089,58385,False
92090,58385,False
92091,58385,False
92092,58385,False
92093,58385,False
92094,58385,False
92095,58385,False
92096,58385,False
92097,58385,False
92098,58385,False
92098,58385,False
92099,58385,False
92100,58385,False
92101,58385,False
92102,58385,False
92103,58385,False
92104,58385,False
92105,58385,False
92106,58385,False
92107,58385,False
92108,58385,False
92032,58386,False
92033,58386,False
92034,58386,False
92035,58386,False
92036,58386,True
92037,58386,True
92038,58386,True
92039,58386,True
92040,58386,False
92041,58386,False
92042,58386,False
92043,58386,False
92044,58386,False
92045,58386,False
92046,58386,False
92047,58386,False
92047,58386,False
92048,58386,False
92049,58386,False
92050,58386,False
92051,58386,False
92052,58386,False
92053,58386,False
92054,58386,False
92055,58386,False
92056,58386,False
92057,58386,False
92058,58386,False
92058,58386,False
92059,58386,True
92060,58386,True
92061,58386,True
92062,58386,True
92063,58386,True
92064,58386,True
92065,58386,True
92066,58386,True
92067,58386,True
92068,58386,True
92068,58386,True
92069,58386,True
92070,58386,True
92071,58386,False
92072,58386,False
92073,58386,False
92074,58386,False
92075,58386,False
92076,58386,False
92077,58386,False
92078,58386,False
92078,58386,False
92079,58386,False
92080,58386,False
92081,58386,False
92082,58386,False
92083,58386,False
92084,58386,False
92085,58386,False
92086,58386,False
92087,58386,False
92088,58386,False
92088,58386,False
92089,58386,False
92090,58386,False
92091,58386,False
92092,58386,False
92093,58386,False
92094,58386,False
92095,58386,False
92096,58386,False
92097,58386,False
92098,58386,False
92098,58386,False
92099,58386,False
92100,58386,False
92101,58386,False
92102,58386,False
92103,58386,False
92104,58386,False
92105,58386,False
92106,58386,False
92107,58386,False
92108,58386,False
92032,58387,False
92033,58387,False
92034,58387,True
92035,58387,True
92036,58387,True
92037,58387,True
92038,58387,True
92039,58387,True
92040,58387,True
92041,58387,False
92042,58387,False
92043,58387,False
92044,58387,False
92045,58387,False
92046,58387,False
92047,58387,False
92047,58387,False
92048,58387,False
92049,58387,False
92050,58387,False
92051,58387,False
92052,58387,False
92053,58387,False
92054,58387,False
92055,58387,False
92056,58387,False
92057,58387,False
92058,58387,False
92058,58387,True
92059,58387,True
92060,58387,True
92061,58387,True
92062,58387,True
92063,58387,True
92064,58387,True
92065,58387,True
92066,58387,True
92067,58387,True
92068,58387,True
92068,58387,True
92069,58387,True
92070,58387,False
92071,58387,False
92072,58387,False
92073,58387,False
92074,58387,False
92075,58387,False
92076,58387,False
92077,58387,False
92078,58387,False
92078,58387,False
92079,58387,False
92080,58387,False
92081,58387,False
92082,58387,False
92083,58387,False
92084,58387,False
92085,58387,False
92086,58387,False
92087,58387,False
92088,58387,False
92088,58387,False
92089,58387,False
92090,58387,False
92091,58387,False
92092,58387,False
92093,58387,False
92094,58387,False
92095,58387,False
92096,58387,False
92097,58387,False
92098,58387,False
92098,58387,False
92099,58387,False
92100,58387,False
92101,58387,False
92102,58387,False
92103,58387,False
92104,58387,False
92105,58387,False
92106,58387,False
92107,58387,False
92108,58387,False
92032,58388,False
92033,58388,False
92034,58388,True
92035,58388,False
92036,58388,True
92037,58388,True
92038,58388,True
92039,58388,True
92040,58388,True
92041,58388,False
92042,58388,False
92043,58388,False
92044,58388,False
92045,58388,False
92046,58388,False
92047,58388,False
92047,58388,False
92048,58388,False
92049,58388,False
92050,58388,False
92051,58388,False
92052,58388,False
92053,58388,False
92054,58388,False
92055,58388,False
92056,58388,False
92057,58388,True
92058,58388,True
92058,58388,True
92059,58388,True
92060,58388,True
92061,58388,True
92062,58388,True
92063,58388,True
92064,58388,True
92065,58388,True
92066,58388,True
92067,58388,True
92068,58388,True
92068,58388,True
92069,58388,False
92070,58388,False
92071,58388,False
92072,58388,False
92073,58388,False
92074,58388,False
92075,58388,False
92076,58388,False
92077,58388,False
92078,58388,False
92078,58388,False
92079,58388,False
92080,58388,False
92081,58388,False
92082,58388,False
92083,58388,False
92084,58388,False
92085,58388,False
92086,58388,False
92087,58388,False
92088,58388,False
92088,58388,False
92089,58388,False
92090,58388,False
92091,58388,False
92092,58388,False
92093,58388,False
92094,58388,False
92095,58388,False
92096,58388,False
92097,58388,False
92098,58388,False
92098,58388,False
92099,58388,False
92100,58388,False
92101,58388,False
92102,58388,False
