xtile,ytile,infra
92328,57309,False
92329,57309,False
92330,57309,False
92331,57309,False
92332,57309,False
92333,57309,False
92334,57309,False
92334,57309,False
92335,57309,False
92336,57309,False
92337,57309,False
92338,57309,False
92339,57309,False
92340,57309,False
92341,57309,False
92342,57309,False
92343,57309,False
92344,57309,False
92344,57309,False
92345,57309,False
92346,57309,False
92347,57309,False
92348,57309,False
92349,57309,False
92350,57309,False
92351,57309,False
92352,57309,False
92353,57309,False
92354,57309,False
92354,57309,False
92355,57309,False
92356,57309,False
92357,57309,False
92358,57309,False
92359,57309,False
92360,57309,False
92361,57309,False
92362,57309,False
92363,57309,False
92364,57309,False
92364,57309,False
92365,57309,False
92366,57309,False
92367,57309,False
92368,57309,False
92369,57309,False
92370,57309,False
92371,57309,False
92372,57309,False
92373,57309,False
92374,57309,False
92374,57309,False
92375,57309,False
92376,57309,False
92377,57309,False
92378,57309,False
92379,57309,False
92380,57309,False
92381,57309,False
92382,57309,False
92383,57309,False
92384,57309,False
92384,57309,False
92385,57309,False
92386,57309,False
92387,57309,False
92388,57309,False
92389,57309,False
92390,57309,False
92391,57309,False
92392,57309,False
92393,57309,False
92394,57309,False
92394,57309,False
92395,57309,False
92396,57309,False
92397,57309,False
92398,57309,False
92399,57309,False
92400,57309,False
92401,57309,False
92402,57309,False
92403,57309,False
92404,57309,False
92404,57309,False
92405,57309,False
92406,57309,False
92407,57309,False
92408,57309,False
92409,57309,False
92410,57309,False
92411,57309,False
92412,57309,False
92413,57309,False
92414,57309,False
92414,57309,False
92415,57309,False
92416,57309,False
92417,57309,False
92418,57309,False
92419,57309,False
92420,57309,False
92421,57309,False
92422,57309,False
92423,57309,False
92424,57309,False
92424,57309,False
92425,57309,False
92426,57309,False
92427,57309,False
92428,57309,False
92429,57309,False
92430,57309,False
92431,57309,False
92432,57309,False
92433,57309,False
92434,57309,False
92434,57309,False
92435,57309,False
92436,57309,False
92437,57309,False
92438,57309,False
92439,57309,False
92440,57309,False
92441,57309,False
92442,57309,False
92443,57309,False
92444,57309,False
92444,57309,False
92445,57309,False
92446,57309,False
92447,57309,False
92448,57309,False
92449,57309,False
92450,57309,False
92451,57309,False
92452,57309,False
92453,57309,False
92454,57309,False
92454,57309,False
92455,57309,False
92456,57309,False
92457,57309,False
92458,57309,False
92459,57309,False
92460,57309,False
92461,57309,False
92462,57309,False
92463,57309,False
92464,57309,False
92464,57309,False
92465,57309,False
92466,57309,False
92467,57309,False
92468,57309,False
92469,57309,False
92470,57309,False
92471,57309,False
92472,57309,False
92473,57309,False
92474,57309,False
92474,57309,False
92475,57309,False
92476,57309,False
92477,57309,False
92478,57309,False
92479,57309,False
92480,57309,False
92481,57309,False
92482,57309,False
92483,57309,False
92483,57309,False
92484,57309,False
92485,57309,False
92486,57309,False
92487,57309,False
92488,57309,False
92489,57309,False
92490,57309,False
92491,57309,False
92492,57309,False
92493,57309,False
92493,57309,False
92494,57309,False
92495,57309,False
92496,57309,False
92497,57309,False
92498,57309,False
92499,57309,False
92500,57309,False
92501,57309,False
92502,57309,False
92503,57309,False
92503,57309,False
92504,57309,False
92505,57309,False
92506,57309,False
92507,57309,False
92508,57309,False
92509,57309,False
92510,57309,False
92511,57309,False
92512,57309,False
92513,57309,False
92513,57309,False
92514,57309,False
92515,57309,False
92516,57309,False
92517,57309,False
92518,57309,False
92519,57309,False
92520,57309,False
92521,57309,False
92522,57309,False
92523,57309,False
92523,57309,False
92524,57309,False
92525,57309,False
92526,57309,False
92527,57309,False
92528,57309,False
92529,57309,False
92530,57309,False
92531,57309,False
92532,57309,False
92533,57309,False
92533,57309,False
92534,57309,False
92535,57309,False
92536,57309,False
92537,57309,False
92538,57309,False
92539,57309,False
92540,57309,False
92541,57309,False
92542,57309,False
92543,57309,False
92543,57309,False
92544,57309,False
92545,57309,False
92546,57309,False
92547,57309,False
92548,57309,False
92549,57309,False
