xtile,ytile,infra
91987,58013,False
91988,58013,False
91989,58013,False
91990,58013,False
91991,58013,False
91992,58013,False
91992,58013,False
91993,58013,False
91994,58013,False
91995,58013,False
91996,58013,False
91997,58013,False
91998,58013,False
91999,58013,False
92000,58013,False
92001,58013,False
92002,58013,False
92003,58013,False
92004,58013,False
92005,58013,False
92006,58013,False
92007,58013,False
92007,58013,False
92008,58013,False
92009,58013,False
92010,58013,False
92011,58013,False
92012,58013,False
92013,58013,False
92014,58013,False
92015,58013,False
92016,58013,False
92017,58013,False
92017,58013,False
92018,58013,False
92019,58013,False
92020,58013,False
92021,58013,False
92022,58013,False
92023,58013,False
92024,58013,False
92025,58013,False
92026,58013,False
92027,58013,False
92027,58013,False
92028,58013,False
92029,58013,False
92030,58013,False
92031,58013,False
92032,58013,False
92033,58013,False
92034,58013,False
92035,58013,False
92036,58013,False
92037,58013,False
92037,58013,False
92038,58013,False
92039,58013,False
92040,58013,False
92041,58013,False
92042,58013,False
92043,58013,False
92044,58013,False
92045,58013,False
92046,58013,False
92047,58013,False
92047,58013,False
92048,58013,False
92049,58013,False
92050,58013,False
92051,58013,False
92052,58013,False
92053,58013,False
92054,58013,False
92055,58013,False
92056,58013,False
92057,58013,False
92057,58013,False
92058,58013,False
92059,58013,False
92060,58013,False
92061,58013,False
92062,58013,False
92063,58013,False
92064,58013,False
92065,58013,False
92066,58013,False
92067,58013,False
92067,58013,False
92068,58013,True
92069,58013,True
92070,58013,True
92071,58013,True
92072,58013,False
92073,58013,False
92074,58013,False
92075,58013,False
92076,58013,False
92077,58013,False
92077,58013,False
92078,58013,False
92079,58013,False
92080,58013,False
92081,58013,False
92082,58013,False
92083,58013,False
92084,58013,False
92085,58013,False
92086,58013,False
92087,58013,False
92087,58013,False
92088,58013,False
92089,58013,False
92090,58013,False
92091,58013,False
92092,58013,False
92093,58013,False
92094,58013,False
92095,58013,False
92096,58013,False
92097,58013,False
92097,58013,False
92098,58013,False
92099,58013,False
92100,58013,False
92101,58013,False
92102,58013,False
92103,58013,False
92104,58013,False
92105,58013,False
92106,58013,False
92107,58013,False
92107,58013,False
92108,58013,False
92109,58013,False
92110,58013,False
92111,58013,False
92112,58013,False
92113,58013,False
92114,58013,False
92115,58013,False
92116,58013,False
92117,58013,False
92117,58013,False
92118,58013,False
92119,58013,False
92120,58013,False
92121,58013,False
92122,58013,False
92123,58013,False
92124,58013,False
92125,58013,False
92126,58013,False
92127,58013,False
92127,58013,False
92128,58013,False
92129,58013,False
92130,58013,False
92131,58013,False
92132,58013,False
92133,58013,False
92134,58013,False
92135,58013,False
92136,58013,False
92136,58013,False
92137,58013,False
92138,58013,False
92139,58013,False
92140,58013,False
92141,58013,False
92142,58013,False
92143,58013,False
92144,58013,False
92145,58013,False
92146,58013,False
92146,58013,False
92147,58013,False
92148,58013,False
92149,58013,False
92150,58013,False
92151,58013,False
92152,58013,False
92153,58013,False
92154,58013,False
92155,58013,False
92156,58013,False
92156,58013,False
92157,58013,False
92158,58013,False
92159,58013,False
92160,58013,False
92161,58013,False
92162,58013,False
92163,58013,False
92164,58013,False
92165,58013,False
92166,58013,False
92166,58013,False
92167,58013,False
92168,58013,False
92169,58013,False
92170,58013,False
92171,58013,False
92172,58013,False
92173,58013,False
92174,58013,False
92175,58013,False
92176,58013,False
92176,58013,False
92177,58013,False
92178,58013,False
92179,58013,False
92180,58013,False
92181,58013,False
92182,58013,False
92183,58013,False
92184,58013,False
92185,58013,False
92186,58013,False
92186,58013,False
92187,58013,False
92188,58013,False
92189,58013,False
92190,58013,False
92191,58013,False
92192,58013,False
92193,58013,False
92194,58013,False
92195,58013,False
92196,58013,False
92196,58013,False
92197,58013,False
92198,58013,False
92199,58013,False
92200,58013,False
92201,58013,False
92202,58013,False
92203,58013,False
92204,58013,False
92205,58013,False
92206,58013,False
92206,58013,False
92207,58013,False
92208,58013,False
92209,58013,False
92210,58013,False
92211,58013,False
92212,58013,False
92213,58013,False
92214,58013,False
92215,58013,False
92216,58013,False
92216,58013,False
92217,58013,False
92218,58013,False
92219,58013,False
92220,58013,False
92221,58013,False
92222,58013,False
92223,58013,False
92224,58013,False
92225,58013,False
92226,58013,False
92226,58013,False
92227,58013,False
92228,58013,False
92229,58013,False
92230,58013,False
92231,58013,False
92232,58013,False
92233,58013,False
92234,58013,False
92235,58013,False
92236,58013,False
92236,58013,False
92237,58013,False
92238,58013,False
92239,58013,False
92240,58013,False
92241,58013,False
92242,58013,False
92243,58013,False
92244,58013,False
92245,58013,False
92246,58013,False
92246,58013,False
92247,58013,False
92248,58013,False
92249,58013,False
92250,58013,False
92251,58013,False
92252,58013,False
92253,58013,False
92254,58013,False
92255,58013,False
92256,58013,False
92256,58013,False
92257,58013,False
92258,58013,False
92259,58013,False
92260,58013,False
92261,58013,False
92262,58013,False
92263,58013,False
92264,58013,False
92265,58013,False
92266,58013,False
92266,58013,False
92267,58013,False
92268,58013,False
92269,58013,False
92270,58013,False
92271,58013,False
92272,58013,False
92273,58013,False
92274,58013,False
92275,58013,False
92276,58013,False
92276,58013,False
92277,58013,False
92278,58013,False
92279,58013,False
92280,58013,False
92281,58013,False
92282,58013,False
92283,58013,False
92284,58013,False
92285,58013,False
92286,58013,False
92286,58013,False
92287,58013,False
92288,58013,False
92289,58013,False
92290,58013,False
92291,58013,False
92292,58013,False
92293,58013,False
92294,58013,False
92295,58013,False
92296,58013,False
92296,58013,False
92297,58013,False
92298,58013,False
92299,58013,False
92300,58013,False
92301,58013,False
91987,58014,False
91988,58014,False
91989,58014,False
91990,58014,False
91991,58014,False
91992,58014,False
91992,58014,False
91993,58014,False
91994,58014,False
91995,58014,False
91996,58014,False
91997,58014,False
91998,58014,False
