xtile,ytile,infra
93282,58152,False
93283,58152,False
93284,58152,False
93285,58152,False
93286,58152,False
93287,58152,False
93288,58152,False
93289,58152,False
93290,58152,False
93291,58152,False
93292,58152,False
93293,58152,False
93294,58152,False
93294,58152,False
93295,58152,False
93296,58152,False
93297,58152,False
93298,58152,False
93299,58152,False
93300,58152,False
93301,58152,False
93302,58152,False
93303,58152,False
93304,58152,False
93304,58152,False
93305,58152,False
93306,58152,False
93307,58152,False
93308,58152,False
93309,58152,False
93310,58152,False
93311,58152,False
93312,58152,False
93313,58152,False
93314,58152,False
93314,58152,False
93315,58152,False
93316,58152,False
93317,58152,False
93318,58152,False
93319,58152,False
93320,58152,False
93321,58152,False
93322,58152,False
93323,58152,False
93324,58152,False
93324,58152,False
93325,58152,False
93326,58152,False
93327,58152,False
93328,58152,False
93329,58152,False
93330,58152,False
93331,58152,False
93332,58152,False
93333,58152,False
93334,58152,False
93334,58152,False
93335,58152,False
93336,58152,False
93337,58152,False
93338,58152,False
93339,58152,False
93340,58152,False
93341,58152,False
93342,58152,False
93343,58152,False
93343,58152,False
93344,58152,False
93345,58152,False
93346,58152,False
93347,58152,False
93348,58152,False
93349,58152,False
93350,58152,False
93351,58152,False
93352,58152,False
93353,58152,False
93353,58152,False
93354,58152,False
93355,58152,False
93356,58152,False
93357,58152,False
93358,58152,False
93359,58152,False
93360,58152,False
93361,58152,False
93362,58152,False
93363,58152,False
93363,58152,False
93364,58152,False
93365,58152,False
93366,58152,False
93367,58152,False
93368,58152,False
93369,58152,False
93370,58152,False
93371,58152,False
93372,58152,False
93373,58152,False
93373,58152,False
93374,58152,False
93375,58152,False
93376,58152,False
93377,58152,False
93378,58152,False
93379,58152,False
93380,58152,False
93381,58152,False
93382,58152,False
93383,58152,False
93383,58152,False
93384,58152,False
93385,58152,False
93386,58152,False
93387,58152,False
93388,58152,False
93389,58152,False
93390,58152,False
93391,58152,False
93392,58152,False
93393,58152,False
93393,58152,False
93394,58152,False
93395,58152,False
93396,58152,False
93397,58152,False
93398,58152,False
93399,58152,False
93400,58152,False
93401,58152,False
93402,58152,False
93403,58152,False
93403,58152,False
93404,58152,False
93405,58152,False
93406,58152,False
93407,58152,False
93408,58152,False
93409,58152,False
93410,58152,False
93411,58152,False
93412,58152,False
93413,58152,False
93413,58152,False
93414,58152,False
93415,58152,False
93416,58152,False
93417,58152,False
93418,58152,False
93419,58152,False
93420,58152,False
93421,58152,False
93422,58152,False
93423,58152,False
93423,58152,False
93424,58152,False
93425,58152,False
93426,58152,False
93427,58152,False
93428,58152,False
93429,58152,False
93430,58152,False
93431,58152,False
93432,58152,False
93433,58152,False
93433,58152,False
93434,58152,False
93435,58152,False
93436,58152,False
93437,58152,False
93438,58152,False
93439,58152,False
93440,58152,False
93441,58152,False
93442,58152,False
93443,58152,False
93443,58152,False
93444,58152,False
93445,58152,False
93446,58152,False
93447,58152,False
93448,58152,False
93449,58152,False
93450,58152,False
93451,58152,False
93452,58152,False
93453,58152,False
93453,58152,False
93454,58152,False
93455,58152,False
93456,58152,False
93457,58152,False
93458,58152,False
93459,58152,False
93460,58152,False
93461,58152,False
93462,58152,False
93463,58152,False
93463,58152,False
93464,58152,False
