xtile,ytile,infra
92124,58845,False
92125,58845,False
92126,58845,False
92127,58845,False
92128,58845,False
92129,58845,False
92130,58845,False
92131,58845,False
92132,58845,False
92133,58845,False
92134,58845,False
92134,58845,False
92135,58845,False
92136,58845,False
92137,58845,False
92138,58845,False
92139,58845,False
92140,58845,False
92141,58845,False
92142,58845,False
92143,58845,False
92143,58845,False
92144,58845,False
92145,58845,False
92146,58845,False
92147,58845,False
92148,58845,False
92149,58845,False
92150,58845,False
92151,58845,False
92152,58845,False
92153,58845,False
92153,58845,False
92154,58845,False
92155,58845,False
92156,58845,False
92157,58845,False
92158,58845,False
92159,58845,False
92160,58845,False
92161,58845,False
92162,58845,False
92163,58845,False
92163,58845,False
92164,58845,False
92165,58845,False
92166,58845,False
92167,58845,False
92168,58845,False
92169,58845,False
92170,58845,False
92171,58845,False
92172,58845,False
92173,58845,False
92173,58845,False
92174,58845,False
92175,58845,False
92176,58845,False
92177,58845,False
92178,58845,False
92179,58845,False
92180,58845,False
92181,58845,False
92182,58845,False
92183,58845,False
92183,58845,False
92184,58845,False
92185,58845,False
92186,58845,False
92187,58845,False
92188,58845,False
92189,58845,False
92190,58845,False
92191,58845,False
92192,58845,False
92193,58845,False
92193,58845,False
92194,58845,False
92195,58845,False
92196,58845,False
92197,58845,False
92198,58845,False
92199,58845,False
92200,58845,False
92201,58845,False
92202,58845,False
92203,58845,False
92203,58845,False
92204,58845,False
92205,58845,False
92206,58845,False
92207,58845,False
92208,58845,False
92209,58845,False
92210,58845,False
92211,58845,False
92212,58845,False
92213,58845,False
92213,58845,False
92214,58845,False
92215,58845,False
92216,58845,False
92217,58845,False
92218,58845,False
92219,58845,False
92220,58845,False
92221,58845,False
92222,58845,False
92223,58845,False
92223,58845,False
92224,58845,False
92225,58845,False
92226,58845,False
92227,58845,False
92228,58845,False
92229,58845,False
92230,58845,False
92231,58845,False
92232,58845,False
92233,58845,False
92233,58845,False
92234,58845,False
92235,58845,False
92236,58845,False
92237,58845,False
92238,58845,False
92239,58845,False
92240,58845,False
92241,58845,False
92242,58845,False
92243,58845,False
92243,58845,False
92244,58845,False
92245,58845,False
92246,58845,False
92247,58845,False
92248,58845,False
92249,58845,False
92250,58845,False
92251,58845,False
92252,58845,False
92253,58845,False
92253,58845,False
92254,58845,False
92255,58845,False
92256,58845,False
92257,58845,False
92258,58845,False
92259,58845,False
92260,58845,False
92261,58845,False
92262,58845,False
92263,58845,False
92263,58845,False
92264,58845,False
92265,58845,False
92266,58845,False
92267,58845,False
92268,58845,False
92269,58845,False
92270,58845,False
92271,58845,False
92272,58845,False
92273,58845,False
92273,58845,False
92274,58845,False
92275,58845,False
92276,58845,False
92277,58845,False
92278,58845,False
92279,58845,False
92280,58845,False
92281,58845,False
92282,58845,False
92283,58845,False
92283,58845,False
92284,58845,False
92285,58845,False
92286,58845,False
92287,58845,False
92288,58845,False
92289,58845,False
92290,58845,False
92291,58845,False
92292,58845,False
92293,58845,False
92293,58845,False
92294,58845,False
92295,58845,False
92296,58845,False
92297,58845,False
92298,58845,False
92299,58845,False
92300,58845,False
92301,58845,False
92302,58845,False
92303,58845,False
92303,58845,False
92304,58845,False
92305,58845,False
92306,58845,False
92307,58845,False
92308,58845,False
92309,58845,False
92310,58845,False
92311,58845,False
92312,58845,False
92313,58845,False
92313,58845,False
92314,58845,False
92315,58845,False
92316,58845,False
92317,58845,False
92318,58845,False
92319,58845,False
92320,58845,False
92321,58845,False
92322,58845,False
92323,58845,False
92323,58845,False
92324,58845,False
92325,58845,False
92326,58845,False
92327,58845,False
92328,58845,False
92329,58845,False
92330,58845,False
92331,58845,False
92332,58845,False
92333,58845,False
92333,58845,False
92334,58845,False
92335,58845,False
92336,58845,False
92337,58845,False
92338,58845,False
92339,58845,False
92340,58845,False
92341,58845,False
92342,58845,False
92343,58845,False
92343,58845,False
92344,58845,False
92345,58845,False
92346,58845,False
92347,58845,False
92348,58845,False
92349,58845,False
92350,58845,False
92351,58845,False
92352,58845,False
92353,58845,False
92353,58845,False
92354,58845,False
92355,58845,False
92356,58845,False
92357,58845,False
92358,58845,False
92359,58845,False
92360,58845,False
92361,58845,False
92362,58845,False
92363,58845,False
92363,58845,False
92364,58845,False
92365,58845,False
92366,58845,False
92367,58845,False
92368,58845,False
92369,58845,False
92370,58845,False
92371,58845,False
92372,58845,False
92372,58845,False
92373,58845,False
92374,58845,False
92375,58845,False
92376,58845,False
92377,58845,False
92378,58845,False
