xtile,ytile,infra
92227,59382,False
92228,59382,False
92229,59382,False
92230,59382,False
92231,59382,False
92232,59382,False
92233,59382,False
92233,59382,False
92234,59382,False
92235,59382,False
92236,59382,False
92237,59382,False
92238,59382,False
92239,59382,False
92240,59382,False
92241,59382,False
92242,59382,False
92243,59382,False
92244,59382,False
92245,59382,False
92246,59382,False
92246,59382,False
92247,59382,False
92248,59382,False
92249,59382,False
92250,59382,False
92251,59382,False
92252,59382,False
92253,59382,False
92254,59382,False
92255,59382,False
92256,59382,False
92256,59382,False
92257,59382,False
92258,59382,False
92259,59382,False
92260,59382,False
92261,59382,False
92262,59382,False
92263,59382,False
92264,59382,False
92265,59382,False
92266,59382,False
92266,59382,False
92267,59382,False
92268,59382,False
92269,59382,False
92270,59382,False
92271,59382,False
92272,59382,False
92273,59382,False
92274,59382,False
92275,59382,False
92276,59382,False
92276,59382,False
92277,59382,False
92278,59382,False
92279,59382,False
92280,59382,False
92281,59382,False
92282,59382,False
92283,59382,False
92284,59382,False
92285,59382,False
92286,59382,False
92286,59382,False
92287,59382,False
92288,59382,False
92289,59382,False
92290,59382,False
92291,59382,False
92292,59382,False
92293,59382,False
92294,59382,False
92295,59382,False
92296,59382,False
92296,59382,False
92297,59382,False
92298,59382,False
92299,59382,False
92300,59382,False
92301,59382,False
92302,59382,False
92303,59382,False
92304,59382,False
92305,59382,False
92306,59382,False
92306,59382,False
92307,59382,False
92308,59382,False
92309,59382,False
92310,59382,False
92311,59382,False
92312,59382,False
92313,59382,False
92314,59382,False
92315,59382,False
92316,59382,False
92316,59382,False
92317,59382,False
92318,59382,False
92319,59382,False
92320,59382,False
92321,59382,False
92322,59382,False
92323,59382,False
92324,59382,False
92325,59382,False
92326,59382,False
92326,59382,False
92327,59382,False
92328,59382,False
92329,59382,False
92330,59382,False
92331,59382,False
92332,59382,False
92333,59382,False
92334,59382,False
92335,59382,False
92336,59382,False
92336,59382,False
92337,59382,False
92338,59382,False
92339,59382,False
92340,59382,False
92341,59382,False
92342,59382,False
92343,59382,False
92344,59382,False
92345,59382,False
92346,59382,False
92346,59382,False
92347,59382,False
92348,59382,False
92349,59382,False
92350,59382,False
92351,59382,False
92352,59382,False
92353,59382,False
92354,59382,False
92355,59382,False
92356,59382,False
92356,59382,False
92357,59382,False
92358,59382,False
92359,59382,False
92360,59382,False
92361,59382,False
92362,59382,False
92363,59382,False
92364,59382,False
92365,59382,False
92365,59382,False
92366,59382,False
92367,59382,False
92368,59382,False
92369,59382,False
