xtile,ytile,infra
92033,58209,False
92034,58209,False
92035,58209,False
92036,58209,False
92037,58209,False
92038,58209,False
92039,58209,False
92040,58209,False
92041,58209,False
92042,58209,False
92043,58209,False
92044,58209,False
92045,58209,False
92045,58209,False
92046,58209,False
92047,58209,False
92048,58209,False
92049,58209,False
92050,58209,False
92051,58209,False
92052,58209,False
92053,58209,False
92054,58209,False
92055,58209,False
92056,58209,False
92057,58209,False
92058,58209,False
92059,58209,False
92059,58209,False
92060,58209,False
92061,58209,False
92062,58209,False
92063,58209,False
92064,58209,False
92065,58209,False
92066,58209,False
92067,58209,False
92068,58209,False
92069,58209,False
92069,58209,False
92070,58209,False
92071,58209,False
92072,58209,False
92073,58209,False
92074,58209,False
92075,58209,False
92076,58209,False
92077,58209,False
92078,58209,False
92079,58209,False
92079,58209,False
92080,58209,False
92081,58209,False
92082,58209,False
92083,58209,False
92084,58209,False
92085,58209,False
92086,58209,False
92087,58209,False
92088,58209,False
92089,58209,False
92089,58209,False
92090,58209,False
92091,58209,False
92092,58209,False
92093,58209,False
92094,58209,False
92095,58209,False
92096,58209,False
92097,58209,False
92098,58209,False
92098,58209,False
92099,58209,False
92100,58209,False
92101,58209,False
92102,58209,False
92103,58209,False
92104,58209,False
92105,58209,False
92106,58209,False
92107,58209,False
92108,58209,False
92108,58209,False
92109,58209,False
92110,58209,False
92111,58209,False
92112,58209,False
92113,58209,False
92114,58209,False
92115,58209,False
92116,58209,False
92117,58209,False
92118,58209,False
92118,58209,False
92119,58209,False
92120,58209,False
92121,58209,False
92122,58209,False
92123,58209,False
92124,58209,False
92125,58209,False
92126,58209,False
92127,58209,False
92128,58209,False
92128,58209,False
92129,58209,False
92130,58209,False
92131,58209,False
92132,58209,False
92133,58209,False
92134,58209,False
92135,58209,False
92136,58209,False
92137,58209,False
92138,58209,False
92138,58209,False
92139,58209,False
92140,58209,False
92141,58209,False
92142,58209,False
92143,58209,False
92144,58209,False
92145,58209,False
92146,58209,False
92147,58209,False
92148,58209,False
92148,58209,False
92149,58209,False
92150,58209,False
92151,58209,False
92152,58209,False
92153,58209,False
92154,58209,False
92155,58209,False
92156,58209,False
92157,58209,False
92158,58209,False
92158,58209,False
92159,58209,False
92160,58209,False
92161,58209,False
92162,58209,False
92163,58209,False
92164,58209,False
92165,58209,False
92166,58209,False
92167,58209,False
92168,58209,False
92168,58209,False
92169,58209,False
92170,58209,False
92171,58209,False
92172,58209,False
92173,58209,False
92174,58209,False
92175,58209,False
92176,58209,False
92177,58209,False
92178,58209,False
92178,58209,False
92179,58209,False
92180,58209,False
92181,58209,False
92182,58209,False
92183,58209,False
92184,58209,False
92185,58209,False
92186,58209,False
92187,58209,False
92188,58209,False
92188,58209,False
92189,58209,False
92190,58209,False
92191,58209,False
92192,58209,False
92193,58209,False
92194,58209,False
92195,58209,False
92196,58209,False
92197,58209,False
92198,58209,False
92198,58209,False
92199,58209,False
92200,58209,False
92201,58209,False
92202,58209,False
92203,58209,False
92204,58209,False
92205,58209,False
92206,58209,False
92207,58209,False
92208,58209,False
92208,58209,False
92209,58209,False
92210,58209,False
92211,58209,False
92212,58209,False
92213,58209,False
92214,58209,False
92215,58209,False
92216,58209,False
92217,58209,False
92218,58209,False
92218,58209,False
92219,58209,False
92220,58209,False
92221,58209,False
92222,58209,False
92223,58209,False
92224,58209,False
92225,58209,False
92226,58209,False
92227,58209,False
92228,58209,False
92228,58209,False
92229,58209,False
92230,58209,False
92231,58209,False
92232,58209,False
92233,58209,False
92234,58209,False
92235,58209,False
