xtile,ytile,infra
93427,57806,False
93428,57806,False
93429,57806,False
93430,57806,False
93430,57806,False
93431,57806,False
93432,57806,False
93433,57806,False
93434,57806,False
93435,57806,False
93436,57806,False
93437,57806,False
93438,57806,False
93439,57806,False
93440,57806,False
93441,57806,False
93442,57806,False
93443,57806,False
93444,57806,False
93444,57806,False
93445,57806,False
93446,57806,False
93447,57806,False
93448,57806,False
93449,57806,False
93450,57806,False
93451,57806,False
93452,57806,False
93453,57806,False
93454,57806,False
93454,57806,False
93455,57806,False
93456,57806,False
93457,57806,False
93458,57806,False
93459,57806,False
93460,57806,False
93461,57806,False
93462,57806,False
93463,57806,False
93464,57806,False
93464,57806,False
93465,57806,False
93466,57806,False
93467,57806,False
93468,57806,False
93469,57806,False
93470,57806,False
93471,57806,False
93472,57806,False
93473,57806,False
93474,57806,False
93474,57806,False
93475,57806,False
93476,57806,False
93477,57806,False
93478,57806,False
93479,57806,False
93480,57806,False
93481,57806,False
93482,57806,False
93483,57806,False
93484,57806,False
93484,57806,False
93485,57806,False
93486,57806,False
93487,57806,False
93488,57806,False
93489,57806,False
93490,57806,False
93491,57806,False
93492,57806,False
93493,57806,False
93494,57806,False
93494,57806,False
93495,57806,False
93496,57806,False
93497,57806,False
93498,57806,False
93499,57806,False
93500,57806,False
93501,57806,False
93502,57806,False
93503,57806,False
93504,57806,False
93504,57806,False
93505,57806,False
93506,57806,False
93507,57806,False
93508,57806,False
93509,57806,False
93510,57806,False
93511,57806,False
93512,57806,False
93513,57806,False
93514,57806,False
93514,57806,False
93515,57806,False
93516,57806,False
93517,57806,False
93518,57806,False
93519,57806,False
93520,57806,False
93521,57806,False
93522,57806,False
93523,57806,False
93524,57806,False
93524,57806,False
93525,57806,False
93526,57806,False
93527,57806,False
93528,57806,False
93529,57806,False
93530,57806,False
93531,57806,False
93532,57806,False
93533,57806,False
93534,57806,False
93534,57806,False
93535,57806,False
93536,57806,False
93537,57806,False
93538,57806,False
93539,57806,False
93540,57806,False
93541,57806,False
93542,57806,False
93543,57806,False
93544,57806,False
93544,57806,False
93545,57806,False
93546,57806,False
93547,57806,False
93548,57806,False
93549,57806,False
93550,57806,False
93551,57806,False
93552,57806,False
93553,57806,False
93554,57806,False
93554,57806,False
93555,57806,False
93556,57806,False
93557,57806,False
93558,57806,False
93559,57806,False
93560,57806,False
93561,57806,False
93562,57806,False
93563,57806,False
93564,57806,False
93564,57806,False
93565,57806,False
93566,57806,False
93567,57806,False
93568,57806,False
93569,57806,False
93570,57806,False
93571,57806,False
93572,57806,False
93573,57806,False
93574,57806,False
93574,57806,False
93575,57806,False
93576,57806,False
93577,57806,False
93578,57806,False
93579,57806,False
93580,57806,False
93581,57806,False
93582,57806,False
93583,57806,False
93584,57806,False
93584,57806,False
93585,57806,False
93586,57806,False
93587,57806,False
93588,57806,False
93589,57806,False
93590,57806,False
93591,57806,False
93592,57806,False
93593,57806,False
93594,57806,False
93594,57806,False
93595,57806,False
93596,57806,False
93597,57806,False
93598,57806,False
93599,57806,False
93600,57806,False
93601,57806,False
93602,57806,False
93603,57806,False
93603,57806,False
93604,57806,False
93605,57806,False
93606,57806,False
93607,57806,False
93608,57806,False
93609,57806,False
93610,57806,False
93611,57806,False
93612,57806,False
93613,57806,False
93613,57806,False
93614,57806,False
93615,57806,False
93616,57806,False
93617,57806,False
93618,57806,False
93619,57806,False
93620,57806,False
93621,57806,False
93622,57806,False
93623,57806,False
93623,57806,False
93624,57806,False
93625,57806,False
93626,57806,False
93627,57806,False
93628,57806,False
93629,57806,False
93630,57806,False
93631,57806,False
93632,57806,False
93633,57806,False
93633,57806,False
93634,57806,False
93635,57806,False
93636,57806,False
93637,57806,False
93638,57806,False
93639,57806,False
93640,57806,False
93641,57806,False
93642,57806,False
93643,57806,False
93643,57806,False
93644,57806,False
93645,57806,False
93646,57806,False
93647,57806,False
93648,57806,False
93649,57806,False
93650,57806,False
93651,57806,False
93652,57806,False
93653,57806,False
93653,57806,False
93654,57806,False
93655,57806,False
93656,57806,False
93657,57806,False
93658,57806,False
93659,57806,False
93660,57806,False
93661,57806,False
93662,57806,False
93663,57806,False
93663,57806,False
93664,57806,False
93665,57806,False
93666,57806,False
93667,57806,False
93668,57806,False
93669,57806,False
93670,57806,False
93671,57806,False
93672,57806,False
