,place_name,address,place_id,latitude,longitude,types,city
0,"Sub District Hospital, Achalpur","Road, Bilanpura, Achalpur, Maharashtra 444806, India",ChIJxSnKn6jz1jsRkkj93ol5Wz8,21.2579714,77.5119352,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
1,Akbari Hospital,"Akbari Chowk,Biyabani, Achalpur, Maharashtra 444806, India",ChIJU4zTeajz1jsRy3oHiP3QCzM,21.2579714,77.5139737,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
2,Dr. Sami's Clinic,"Lohar Line, Road, Achalpur, Maharashtra 444806, India",ChIJ8-fBSa_z1jsRwRuL3UzKiUU,21.2565103,77.5098941,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
3,Life Care Hospital,"Road, Bilanpura, Achalpur, Maharashtra 444806, India",ChIJa_i92aHz1jsRKNxS4IO9ChQ,21.267246,77.5107678,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
4,Aastha Hospital,"Bilanpura, Achalpur, Maharashtra 444806, India",ChIJHZNZ2aDz1jsRSbtoQ_WfuwU,21.265051,77.5135516,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
5,Sawalkar Hospital,"Bilanpura, Achalpur, Maharashtra 444806, India",ChIJ4QsUzafz1jsRbh-3DxtXjho,21.2589997,77.5133226,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
6,HAIDER HOSPITAL,"Thasil Rd, Bilanpura, Achalpur, Maharashtra 444806, India",ChIJ05Zs1q7z1jsRCMREixD7vww,21.2548749,77.5099226,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
7,Bhamkar Hospital,"Amt.Road, 444806, Harde Nagar, Paratwada, Maharashtra 444805, India",ChIJbTD5YXHz1jsR9wLhYrimsXo,21.2765271,77.52359009999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
8,Mate Hospital,"Chawalmandi, Achalpur, Maharashtra 444806, India",ChIJ78e6EaPz1jsRuj0Vtg7SQgw,21.2654769,77.50662919999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
9,Ali Hospital,"Biyabani, Achalpur, Maharashtra 444806, India",ChIJ_ehJ26fz1jsRQ6Qh6JKF_WA,21.2687234,77.51751229999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
10,Ubhad Accidental and Maternity Hospital,"Paratwada, Amravati, MSH-6, Paratwada Amravati Road, Achalpur, Achalpur, Maharashtra 444805, India",ChIJXTPIBnnz1jsRWuS2JxPhi0A,21.285242,77.51933799999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
11,Gotmare Hospital,"Achalpur - Paratwada Connecting Rd, Harde Nagar, Paratwada, Maharashtra 444805, India",ChIJOc4EgX_z1jsRQhu4YtALDD0,21.2908289,77.5162885,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
12,Dr.Anhar's Clinic,"Road, Chawalmandi, Achalpur, Maharashtra 444806, India",ChIJUYhehqbz1jsR8OcXs4IJKlQ,21.2611679,77.51090119999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
13,Rawat Orthopadic Hospital,"Achalpur - Paratwada Connecting Rd, opposite cotton market, Harde Nagar, Paratwada, Maharashtra 444805, India",ChIJW1pCbnjz1jsRRJk5xZJLK3E,21.2829848,77.5168879,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
14,Salkar hospital,"Bilanpura, Achalpur, Maharashtra 444806, India",ChIJFekyI5_z1jsRwtzj2yK4X9k,21.2592903,77.5133742,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
15,Government Animal Hospital,"Bilanpura, Achalpur, Maharashtra 444806, India",ChIJs1dYjqjz1jsRZbzshc___Gc,21.2571359,77.51266509999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
16,Noor Polyclinic,"mominpura,, Achalpur, Maharashtra, India",ChIJaw8bvKPz1jsRIhO_oyCNF2U,21.2654319,77.5085221,"['hospital', 'health', 'point_of_interest', 'establishment']",Achalpur
