,place_name,address,place_id,latitude,longitude,types,city
0,Anandrishiji Hospital,"124, Kothi - Yash Palace Rd, beside Maniknagar, Maniknagar, Ahmednagar, Maharashtra 414001, India",ChIJPfmVtvew3DsRUJENaMGSR60,19.0807146,74.7322494,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
1,Asian Noble Hospital Pvt Ltd,"Shirdi Manmad Road, Chowk, opp. Premdan, Savedi, Ahmednagar, Maharashtra 414003, India",ChIJNfC-kX663DsR6Xt6VxED3l4,19.1177765,74.7300063,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Ahmednagar
2,Khalkar Hospital,"Station Road, Sattha Colony, Near Patel Hospital, Ahmednagar, Maharashtra 414001, India",ChIJu3srxl2w3DsR8lU_6pouC1Y,19.088618,74.7408298,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
3,Anbhule Hospital | Eye Specialist in Ahmednagar & Gynaecologist in Ahmednagar,"Permdan Chowk, Savedi Rd, Ahmednagar, Maharashtra 414003, India",ChIJ2VDS63663DsRDbtvcwsmn44,19.1170522,74.729608,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
4,"Saideep Hospital,Ahmednagar.","Viraj Estate, Ahmednagar, Maharashtra 414003, India",ChIJnX6rIHqw3DsR2P02ez85e1w,19.1085123,74.7432086,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
5,Evangeline Booth Hospital,"College Area, Ahmednagar, Maharashtra 414001, India",ChIJTRNTXmiw3DsR9tg7Cyqm5d0,19.0941733,74.7469287,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
6,CITY CARE HOSPITAL,"bus stand, Viraj Estate Nagar-Manmad Road near tarakpur, Tarakpur, Ahmednagar, Maharashtra 414001, India",ChIJ71Rdznuw3DsRsY1Xw6Ih7xA,19.1073748,74.742027,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
7,Shraddha Hospital,"448, Chitale Rd, near Merchants co-op. Bank, Nalegaon, Ahmednagar, Maharashtra 414001, India",ChIJJXpz8Imw3DsRm3MLf0MOjUc,19.0964524,74.73350239999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
8,Sai hospital,"Adarsha Colony, Bishop Lloyd Colony, Ahmednagar, Maharashtra 414003, India",ChIJ80ptG3-63DsRDut-bzxLj-0,19.115441,74.72998419999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
9,Vahadane Hospital,"SH 142 Laltaki, Road, Ahmednagar, Maharashtra 414001, India",ChIJz-HOoX2w3DsRJUdSvpZCDf4,19.105314,74.73529769999999,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Ahmednagar
10,Patil Hospital,"Vasant-Vihar, Balikashram Rd, Tarakpur, Ahmednagar, Maharashtra 414001, India",ChIJoYK_yIew3DsRl8F3Vx-PR-M,19.1027877,74.73145939999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
11,"Civil District Hospital, Ahmednagar","Tarakpur Rd, opp. Sarda College, Patrakarchowk, Ahmednagar, Maharashtra 414001, India",ChIJ4-wSE36w3DsRDSbagUbr3iI,19.1084298,74.7353627,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
12,Zaware Multispeciality Hospital,"Opp Bombay Bakery, Juna Mangalwar Bazar, near Bengal chauk, Ahmednagar, Maharashtra 414001, India",ChIJPTQotmCw3DsRYBlLxITjagc,19.0920666,74.73909309999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
13,Pranav Hospital Multispeciality & ICU Center,"shahu Nagar, Infront Of Bus Stop, Kedgaon, Ahmednagar, Maharashtra 414001, India",ChIJ6fDCESix3DsRLNt9ALiFafU,19.062963,74.69779199999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
14,Morya Children's Hospital,"Station Road,Swastik Chowk,Kashid Heights,2 nd Floor, near Fatake Patil Hospital, Maharashtra 414001, India",ChIJ0yWlE2-x3DsRNLGqgQYthpo,19.0834327,74.7327482,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
15,BHAIRAVNATH HOSPITAL,"Bolhegaon Suburban, Ahmednagar, Maharashtra 414111, India",ChIJieNplUe63DsRGBMG4soShQc,19.144632,74.7116611,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
16,"Patil Hospital- Multispeciality Hospital, Ahmednagar","S.N. -5, Kothi, Station Rd, Patil Hospital, Ahmednagar, Maharashtra 414001, India",ChIJt1lcgl2w3DsRdVBLMa1GXVY,19.090389,74.742379,"['hospital', 'health', 'point_of_interest', 'establishment']",Ahmednagar
