,place_name,address,place_id,latitude,longitude,types,city
0,ICON Hospital Akola,"Kedia Plot, Mothi Umri Main Rd, Akola, Maharashtra 444002, India",ChIJ9evcSx4u1zsRcJStjzjDAHE,20.7134196,77.01199799999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
1,Sunnah Hospital,"Hingoli - Washim - Akola Rd, Afzal Colony, Ganga Nagar, Dahigaon Gawande, Akola, Maharashtra 444002, India",ChIJWd0dAiEy1zsRLMqf5j3gUcA,20.6883351,76.98409860000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
2,Muktai Hospital,"Ramdaspeth, Akola, Maharashtra 444001, India",ChIJ-Qxgp98x1zsR2IgdQT1H88M,20.7194531,77.0084768,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
3,Ozone Multispeciality Hospital,"Holy Cross Convent Road, Kedia Plots, Akola, Maharashtra 444001, India",ChIJs7ZTPB4u1zsRii1sl5Lcdtc,20.7127657,77.0114122,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
4,City Hospital,"GG Agarkar Marg, Near railway station, Ramdaspeth, Akola, Maharashtra 444001, India",ChIJVVVVFdwx1zsRIW7pUeMtE7g,20.7183353,77.0065953,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
5,Ekveera Hospital,"Durga Chowk, Sanghvi Colony, akola, near Jain Lawns, Akola, Maharashtra 444001, India",ChIJzYvZ3B8u1zsRCRDUwEtB9r8,20.715136,77.01105299999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
6,Bhagirathi Memorial Hospital,"Jatharpeth Road, Near Lady Harding Hospital, Durga Chawk, Akola, Maharashtra 444005, India",ChIJhbnmL-Ax1zsRC4Hb_jLxvu8,20.7145531,77.00971009999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
7,"Govt Medical College & Multispeciality Hospital, Akola","Bhandaraj BK, Akola, Maharashtra 444002, India",ChIJzSk7jfox1zsRbGiJRFWBWiU,20.7018985,77.0002009,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
8,Agrawal Hospital,"New Radhakisan Plots, Akola, Maharashtra 444001, India",ChIJl7JwTOMx1zsRm8IeaWbTc5M,20.704929,77.00568299999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
9,Heda Hospital,"Akola,, Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJzTtqRh4u1zsR2XlWs-ztlYs,20.713082,77.0121236,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
10,Laddha Hospital,"Unnamed Road, Jatharpeth, Akola, Maharashtra 444005, India",ChIJWVVVFSIu1zsRrd_nX0HBjZg,20.7187626,77.0176204,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
11,ZAHOOR HOSPITAL,"Opp. Society Petrol Pump, Ummeed Hospital, Akot Stand Gaulistand, Maharashtra, India",ChIJsdjs5nUx1zsRzNojUWiYjTw,20.7164422,76.9975164,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
12,Ozone Multi Speciality Hospital Critical Care Centre,"Holy Cross Convent Road Kedia Plots, Akola, Maharashtra 444001, India",ChIJAQAAAAQu1zsRMMHL-JE6fqI,20.6996477,77.01614359999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
13,Akola Accidental Clinic,"Kirti Nagar, Akola, Maharashtra 444001, India",ChIJecTimgEu1zsRCLd9fEIDjro,20.6984975,77.0127912,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
14,Vitthal Hospital,"Jatharpeth Rd, Tapadia Nagar, Akola, Maharashtra 444001, India",ChIJDQlJsR8u1zsRm4rJC5A1ghU,20.7141201,77.01335449999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
15,Rajeshwar Hospital,"Birla road, opp. mahashabde hospital, Ramdaspeth, Akola, Maharashtra 444005, India",ChIJH7fjJKIx1zsRMesXtJipV2k,20.7192032,77.0098033,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
16,Fatema Charitable Hospital,"Complex, Mahatma Gandhi Rd, Kala Chabutra, Baid Pura, Akola, Maharashtra 444001, India",ChIJobHWIPAx1zsRUWvvKXnFGaY,20.7086483,76.9981919,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
17,Neuron Hospital,"11, Gorakshan Rd, MSEB Colony, Sindhi Colony, Akola, Maharashtra 444004, India",ChIJ45hYtwEu1zsRZB-RkOblusM,20.6974985,77.0118004,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
18,Tamane Hospital,"Kirti Nagar, Akola, Maharashtra 444001, India",ChIJpf77CQcu1zsR4qu93NpGh3g,20.695869,77.018999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
19,Indira Hospital,"Behind Harsh Sankul Society, oppo SA college, Akola, Maharashtra 444001, India",ChIJj25CNeMx1zsRR29MDrD05vc,20.7048159,77.0061812,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
20,Sahara Life Care Hospital & Critical Care Centre,"Bhagwat Plot, Durga Chowk, Jatharpeth Road, Akola, Maharashtra 444001, India",ChIJbZUi1h8u1zsR8JpAAv2Rnvs,20.714274,77.010443,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
21,Aadhar Hospital,"Near Shubhkarta Lawns, Hotel Venus, Akola, Maharashtra 444001, India",ChIJRwk3b-Mx1zsRm0W9pgOOLiA,20.7065452,77.0054483,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
22,Agrawal Children & Maternity Hospital,"Near Bilala Bhavan, New Radhakisan Plots, Akola, Maharashtra 444002, India",ChIJEW4VI-Ux1zsRpUmQmsga_vs,20.7054995,77.00111849999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
23,Deshmukh Multispeciality Hospital,"Birla Road, Panchavati Nagari, Tapadia Nagar, Akola, Maharashtra 444005, India",ChIJVVVVFdwx1zsR1JFVfAXmtFs,20.7190207,77.0121431,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
24,Gajanan Hospital,"Near LRT College, near sanskruti garden Resto, Ram Nagar, Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJ578Kfh0u1zsR4y19-7WQVWc,20.7076282,77.0104849,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
25,Sanjeevani Hospital,"Ramdaspeth, Akola, Maharashtra 444001, India",ChIJP1ZbBd8x1zsRy3qbqQ7ets8,20.7201703,77.0081822,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
26,Akola Burn Care Unit,"MSEB Colony, Sindhi Colony, Akola, Maharashtra 444001, India",ChIJ_8xJuAEu1zsRtmibTPqxRtA,20.6972001,77.0120298,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
27,Maa Hospi,"Unnamed Road, 444001, Tapadia Nagar, Akola, Maharashtra 444001, India",ChIJZdLRIyAu1zsRrWFRxrwBfVk,20.7174891,77.0114883,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
28,SONONE HOSPITAL,"Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJoSINPjIv1zsRFKookayRw4c,20.7113591,77.01091400000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
29,Malokar Hospital,"Gorakshan Rd, Kirti Nagar, Akola, Maharashtra 444001, India",ChIJ_VUIICMv1zsROuR6YbVCgwo,20.6943333,77.01411720000002,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
30,Singi Hospital,"New Radhakisan Plots, Akola, Maharashtra 444002, India",ChIJgeUa3eQx1zsRi9XTugqynPQ,20.7057618,77.00233159999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
31,Radha Smriti Hospital,"Tapadia Nagar, Akola, Maharashtra 444001, India",ChIJg9FxHSAu1zsRqXgyKZ_IHFE,20.7169114,77.0110042,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
32,Noble Hospital Dr. S. S Bilala,"New Radhakisan Plots, Akola, Maharashtra 444001, India",ChIJdbL7Z-Mx1zsRALYsNGOPYw4,20.706128,77.0051197,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
33,Narayan Hospital,"Civil Line Rd, opp. RLT college, New Radhakisan Plots, Akola, Maharashtra 444001, India",ChIJZd5SSuMx1zsR6YO3biAZDlc,20.7049316,77.0058909,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
34,Ratnalikar Hospital,"Ramdaspeth, Birla Road, near SBI Bank, Akola, Maharashtra 444005, India",ChIJ8QPSQB8u1zsRcm0U-42_rXY,20.718555,77.01249,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
35,Laul Hospital,"backless road, near Icici Bank, Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJk7s9IeAx1zsR69fCQjEbel4,20.7134277,77.0096061,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
36,Harish Hospital,"Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJETwtRR4u1zsRYGmDQhc8cdU,20.7132981,77.0129742,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
37,Bhambhurkar Hospital,"tapdia, Tapadia Nagar, Akola, Maharashtra 444001, India",ChIJVVVVFSAu1zsR6U6cyTmWNZA,20.7183431,77.01146109999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
38,Shah Hospital,"Ramdaspeth, Akola, Maharashtra 444003, India",ChIJV_PNHNwx1zsR08QBQ1TT3fY,20.7213184,77.0047852,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
39,Tirthankar Superspeciality Hospital,"Bajirao Peshwe Marg, Gaddam Plot Rd, near Railway Station, Akola, Maharashtra 444001, India",ChIJCZHTYN8x1zsRW4jhsGdry1Q,20.7211077,77.0100544,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
40,GR Children Hospital,"Balapur Rd, Nafees Bagh, Dahigaon Gawande, Akola, Maharashtra 444002, India",ChIJmS6RjIox1zsR25qwZyf0l5k,20.6927606,76.9848858,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
41,Lote hospital,"Shastri Nagar, Akola, Maharashtra 444001, India",ChIJXWv2KB0u1zsRegZdVG8UlrU,20.7057539,77.0132418,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
42,MJ EYE HOSPITAL,"Ramdaspeth, Akola, Maharashtra 444001, India",ChIJ4V-H_N4x1zsRmo-K2sD3CvY,20.7199791,77.0071737,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
43,City Central Hospital,"Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJRUMplhwu1zsRKHn1ZcyXsaM,20.7069072,77.0152177,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
44,Dehankar Hospital,"Civil Line Rd, New Radhakisan Plots, Akola, Maharashtra 444001, India",ChIJOfPAXOMx1zsR-l17gWT34Ko,20.7058332,77.00524879999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
45,Ravankar Hospital,"Unnamed Road, Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJhzDjhOEx1zsR7krYKlcFIU4,20.7138014,77.01021,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
46,Dr.S.M.Agrawal Hospital,"swaraj peth old radha kisan plot, Maharashtra 444001, India",ChIJqZPCteAx1zsRahwLm1p6NN4,20.7151381,77.0049686,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
47,Shubhamkaroti Hospital,"Ramdaspeth, Akola, Maharashtra 444001, India",ChIJRR9A4t4x1zsRq8-Bk2A4rDA,20.7204485,77.0074144,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
48,Shiv Hospital,"Kediya plots, Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJO3VhXh4u1zsRm-8gotQEZzw,20.7127346,77.0129766,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
49,Lahole Eye Hospital,"Kediya plot, near janta homeopathic college, Akola, Maharashtra 444001, India",ChIJdy_whx4u1zsRPoy971tAfAs,20.7117317,77.01321300000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
50,Agrawal Hospital,"Unnamed Road, New Radhakisan Plots, Akola, Maharashtra 444001, India",ChIJtaG3e2Mx1zsR5k8QnxkYC6w,20.7150829,77.0051731,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
51,Gupta Hospital,"Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJ2Yi0eR0u1zsR3okT-bfB_aQ,20.7076413,77.0110528,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
52,Dr. Waichal's Chaitanya Hospital,"Tapadia Nagar, Akola, Maharashtra 444001, India",ChIJ9Yk7gR8u1zsRaYQaSCH7X30,20.7167051,77.0129716,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
53,Gandhi Hospital,"Dabki Road, Gulzarpura, Old City, Akola, Maharashtra 444002, India",ChIJu-nDppQx1zsRUqLME0uOKwE,20.7092987,76.9860841,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
54,Joshi Hospital,"Durga Chowk New Tapdiya Nagar,Necklace Road, Tapadia Nagar, Akola, Maharashtra 444001, India",ChIJsSqAF-Ax1zsRxrlZF1e3EDs,20.7154166,77.009654,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
55,"District Women Hospital, Akola","New Radhakisan Plots, Akola, Maharashtra 444001, India",ChIJz78t5eAx1zsRE8sboMnMmRQ,20.7140877,77.00660570000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
56,Shankar Hospital,"Road, Nehru Park, Bhandaraj BK, Akola, Maharashtra 444002, India",ChIJCYh6sf0x1zsRFxc_AnS051k,20.7009259,77.00809860000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
57,Samarth Hospital (Dr. Fundkar),"Ranpise Nagar, Akola, Maharashtra 444001, India",ChIJQVMIVR4u1zsRUBYdZVtCdlY,20.7141396,77.0128921,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
58,Main Goverment Hospital In Akola,"in akola city, Maharashtra, India",ChIJJ1z8O-gt1zsRaP7nSUTPc1w,20.6864396,77.02068190000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
59,Rathi Hospital,"Dabki Rd, Dnyaneshwar Nagar, Ganesh Nagar, Old City, Akola, Maharashtra 444002, India",ChIJjbeugJQx1zsRXFy-jGnUzgM,20.7092636,76.98449289999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Akola
