,place_name,address,place_id,latitude,longitude,types,city
0,Sanjeevani Hospital,"Plot No.40, Suryodaya Society, Ambernath East, Ambernath, Maharashtra 421501, India",ChIJ9x5JjoCT5zsRt5LWpuERfME,19.2094946,73.1830999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
1,Gautam Hospital,"491, near Mohanpuram, Kansai Section, Ambernath, Maharashtra 421501, India",ChIJIWvP03-U5zsRCs-814Vt50I,19.2061735,73.1795121,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
2,Shobha Hospital,"2/3, Shiv Mandir Road, Basav Kalyan Nagar, Kher, Ambernath, Maharashtra 421501, India",ChIJ7QgpzIGT5zsROeLlaGYv958,19.2064187,73.1849969,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
3,Ayurya Hospital,"477, Kansai Section, Ambernath, Maharashtra 421501, India",ChIJCbTGyH-U5zsRfbB8akzf6zo,19.2068327,73.1798391,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
4,Shivkripa Hospital,"Mayflower Garden,Tulip Plaza, Shivganga Nagar,, Shiv Mandir Road, Ambernath, Maharashtra 421501, India",ChIJG-ZUQYCU5zsRnPLnPEfJ76k,19.2031343,73.1803635,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
5,Shree Seva Hospital,"Housing Board Colony, Ambernath, Maharashtra 421505, India",ChIJs_0LF5uT5zsRVIWjyCPXQ4E,19.2157299,73.1955092,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
6,Ashwini Hospital,"Ladinaka, New Balaji Nagar, Ambernath, Maharashtra 421505, India",ChIJCWuD3nWT5zsR2LWTuLAb7Ms,19.2059414,73.2002112,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
7,Prabha Hospital,"Shiv Mandir Road, Ambernath East, Kansai Section, Ambernath, Maharashtra 421501, India",ChIJV87xVYCT5zsR6MYauvDTLpM,19.20899,73.184803,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
8,Jeevan Jyot Multispeciality And ICCU Hospital,"Shop Number 13 Kailash Nagar Fatima School Road Ambernath West, Ambernath, Maharashtra 421501, India",ChIJyebNOpyT5zsRv-dxTzAAXfM,19.211933,73.1900172,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
9,Sushrut Hospital,"38, Lokmanya Tilak Rd, MIDC East, Ambernath, Maharashtra 421501, India",ChIJnS_TWoGT5zsRgCZOdd8xlhM,19.2112623,73.1871943,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
10,Dr Chaudhari's Polyclinic And Hospital,"Navare Nagar, Ambernath, Maharashtra 421501, India",ChIJmTU6pW2T5zsRD-swCFGAWIs,19.1942237,73.2021293,"['hospital', 'health', 'point_of_interest', 'establishment']",Ambarnath
11,Ashirwad Hospital,"Ground Floor, Ganesh Ashish Appt., (E, Vadavali Section, Ambernath, Maharashtra 421501, India",ChIJ_ddiXn-T5zsR-JoJTqZoUsE,19.2060053,73.1867662,"['beauty_salon', 'hair_care', 'doctor', 'health', 'point_of_interest', 'establishment']",Ambarnath
