,place_name,address,place_id,latitude,longitude,types,city
0,Yadgire Super Specialty Hospital,"Vijay Colony, Congress Nagar Road, Amravati, Maharashtra 444606, India",ChIJFcjzkaKk1jsRuBkrV58HNf8,20.9271913,77.7673408,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
1,Radiant Superspeciality Hospital,"Sabnis Plot, Near Kalyan Nagar Chowk, Vivekanand Colony, Amravati, Maharashtra 444606, India",ChIJeykDlLuk1jsRIJXfgNgx4uA,20.9205299,77.7614303,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
2,Getlife laser piles clinic,"Vijay Colony Rd, near Maratha sporting club, Vivekanand Colony, Amravati, Maharashtra 444606, India",ChIJISrj1aKk1jsR593ZU3GIxxU,20.9249416,77.7661282,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
3,Super Speciality Hospital Amravati,"Shrikrishna Peth, Amravati, Maharashtra 444601, India",ChIJRVDB3Fij1jsRvvi7sbiTtA4,20.9387598,77.761167,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
4,Hitech Multispeciality Hospital & Research Center,"48 - 3/4, Dastur Nagar Road, Nanda Market, Rajapeth, sabnis plot, Amravati, Maharashtra 444601, India",ChIJj8ajO7qk1jsRNOCPIN8QEsE,20.9196873,77.758611,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
5,Zenith Hospital Tertiary Care Center,"Walcut Compound, Amravati, Maharashtra 444601, India",ChIJse0z4Kek1jsRDPXSwQWAt4M,20.9348933,77.756716,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Amravati
6,Parashree Speciality Hospital,"Masjid-Irwin Road, Khaparde Garden, Maltekdi, Amravati, Maharashtra 444601, India",ChIJc3NHBqSk1jsRimPEDSkez3E,20.9300815,77.7620395,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
7,"Apex Hospital, Morshi Road,Arjun Nagar,Amravati","Arjun Nagar, Amravati, Maharashtra 444604, India",ChIJSYwcfm6j1jsRFkj41-kFm64,20.9548871,77.7769254,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
8,Sai Multispeciality Hospital Amravati - Dr.Pankaj & Dr.Aditi Barabde,"Vijay Colony Rd, Rajendra Colony, Vivekanand Colony, Amravati, Maharashtra 444606, India",ChIJ97ONO6Ok1jsRwxtjV9ePS_E,20.9262644,77.7636337,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
9,"District General Hospital, Amravati","Mother Teresa Rd, Khaparde Bagicha, Maltekdi, Amravati, Maharashtra 444606, India",ChIJQwS43qak1jsRf7d2Pu6KmKE,20.933264,77.7607687,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
10,VIMSS HOSPITAL,"Behind Santosh medical, Prashant Nagar square, near hanuman mandir, Amravati, Maharashtra 444606, India",ChIJ-wgRaL2k1jsRxmAL5D1E40w,20.9236273,77.7672943,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
11,Shubham Hi-Tech Hospital,"Badnera Rd, opp. Mantri Motors, Deorankar Nagar, Amravati, Maharashtra 444605, India",ChIJlQl00rak1jsRG1VgrnZzKqQ,20.9182075,77.75266479999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
12,Dr Barabde Hospital,"Camp Rd, Paranjpe Colony, Amravati, Maharashtra 444602, India",ChIJZ5V356Ck1jsRdW0LwAT2lVs,20.9343231,77.7638544,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
13,Hi-tech Multispeciality Hospital & Research Center Amravati,"Rajapeth, Vivekanand Colony, Amravati, Maharashtra 444606, India",ChIJ6Q1IAUql1jsRi91lPsQrxqM,20.9197164,77.7586512,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
14,Dayasagar Hospital,"Camp Road,, Maltekdi, Amravati, Maharashtra 444606, India",ChIJw7QN0p-k1jsRHyAYvUxeiac,20.9364102,77.770707,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
15,Chintamani Hospital,"Lane No.2, Bhau Colony, Radha Nagar, Amravati, Maharashtra 444604, India",ChIJ6a_bamej1jsRgXOBdlZcaFg,20.9446412,77.7691722,"['hospital', 'health', 'point_of_interest', 'establishment']",Amravati
