,place_name,address,place_id,latitude,longitude,types,city
0,JJ Plus Hospitals Aurangabad & NEURON International,"Plot No.25, Opp District Court, Adalat, Jalna Road, Aurangabad, Maharashtra 431001, India",ChIJWznyrGmY2zsRo4GwfLRAn5g,19.8734494,75.32037129999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
1,United CIIGMA Hospital,"Plot no 6, 7, Darga Rd, Shahnoorwadi, Aurangabad, Maharashtra 431005, India",ChIJAQAApYCY2zsRATGDKYhyILI,19.8593755,75.3362985,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
2,ASHISH HOSPITAL : Multi specialist Hospital In Aurangabad,"Plot No.10 J' Sector, Ranjanvan Hsg. Society, N 9, Cidco, Aurangabad, Maharashtra 431003, India",ChIJKVwLeLGi2zsRPXo1cGbsVfI,19.9015788,75.3558362,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
3,MIT Hospital and Research Institute,"Plot No. F-144, N-4 Near, Kamgar Chowk, Cidco, Aurangabad, Maharashtra 431003, India",ChIJkXFpVIui2zsREnm16O_c0R4,19.8677795,75.36447319999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
4,Chhabda Multispeciality Hospital,"Shanthi, Opp. Eknath Rang Mandir, New Usmanpura, Aurangabad, Maharashtra 431005, India",ChIJVVVVcXyY2zsR9YscsOVRLsw,19.8698256,75.3285061,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
5,Joshi Hospital,"opposite Varad Ganesh Mandir, Samarth Nagar, Aurangabad, Maharashtra 431001, India",ChIJHeafZGqY2zsR1gHRwA0C3NM,19.8783359,75.3186531,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Aurangabad
6,Apex Superspeciality Hospital,"5-8 Bassayye nagar, Opposite SFS School, Jalna Road, Sanjay Nagar, Aurangabad, Maharashtra 431001, India",ChIJr9IL1Zii2zsRpumDRwBHkMc,19.8812498,75.34715430000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
7,Kamalnayan Bajaj Hospital,"Bajaj Marg, Gut No 43, Beed Bypass Rd, Satara Parisar, Aurangabad, Maharashtra 431005, India",ChIJR1ShnPOY2zsRLKSq4jImbAk,19.851538,75.314769,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
8,Manik Hospital And Research Centre,"Jawahar Nagar Rd, Beside Police Station, Shivneri Nagar, Ashok Nagar, Garkheda, Aurangabad, Maharashtra 431003, India",ChIJN7LNtoai2zsRjGeslm-D9FE,19.8655779,75.3478039,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
9,Navdip Superspeciality Hospital,"Agnihotra Chowk, Ulkanagari, Ashok Nagar, Garkheda, near Chetak Ghoda, Aurangabad, Maharashtra 431009, India",ChIJZU3U-IOi2zsRWZbe0qMCwWA,19.8664169,75.34472099999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
10,Asian Citicare Superspeciality Hospital,"Motiwala Square, Jalna Road, Akashwani Chowk, Aurangabad, Maharashtra 431001, India",ChIJa9K6_m-Y2zsRd3QazsYX7go,19.8712716,75.3292483,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
11,Krishna Hospital And ICU,"Jalna Road, Motiwala Nagar, Venkatesh Nagar, M G M, Aurangabad, Maharashtra 431005, India",ChIJs2Yhv3aY2zsRi6l1IqT_8VQ,19.8761109,75.3365341,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
12,Hitec Aadhar Hospital,"Adalat Rd, Opp Chunnilal Petrol Pump, Kotla Colony, Samta Nagar, Aurangabad, Maharashtra 431001, India",ChIJY7xpoxWY2zsRHmrkHPT3fGQ,19.8724835,75.32332269999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
13,The Pacific Hospital,"Plot No.16, N/12, Sector F, Near SBH Bank, Himayat Bagh, Cidco, Aurangabad, Maharashtra 431001, India",ChIJGyq4faqi2zsReqWMf1BZnh0,19.9036617,75.3418075,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
14,"Sakolkar Charitable Hospital & Research Centre, Aurangabad","Jalgaon Rd, Bhakti Nagar, N 1, Cidco, Aurangabad, Maharashtra 431006, India",ChIJ2wIH2eqi2zsRV1GAiEpMpG8,19.8829065,75.3654586,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
15,Century Multispeciality Hospital ( Aurangabad ) Pvt Ltd,"Plot Number 21 Baba Petrol Pump, opposite Central Bus Stand, Samarth Nagar, Aurangabad, Maharashtra 431001, India",ChIJeUrjl2qY2zsR1eUlegjHlmc,19.8774327,75.31733779999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
16,Tirupati Hospital,"X-278, MIDC, Waluj, Aurangabad, Maharashtra 431133, India",ChIJB-GwgzWa2zsRe00bWMbfzeE,19.8373188,75.2481817,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
17,Kodlikeri Memorial Hospital,"8, 9 Jalna Road, Opp. Akashwani, Manjeet Nagar, Aurangabad, Maharashtra 431001, India",ChIJY7xpoxWY2zsRqJLVPqCm160,19.8780721,75.34480359999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
18,Sahyadri Clinic,"R.M. 190, Alfonsa Highschool Road, Jay Bhawani Chowk, Bajaj Nagar, Aurangabad, Maharashtra 431133, India",ChIJvQnW686b2zsRybi3jMju_9w,19.843556,75.232068,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
19,Ekveera Hospital,"Ekveera Hospital, behind Sohamm motors, D -23,, Jalna Road, N 2, Cidco, Aurangabad, Maharashtra 431007, India",ChIJY7xpoxWY2zsRtH4vVO7phow,19.870233,75.374515,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
20,Sawangikar Multi-speciality Hospital.,"Soham Motors Pvt Ltd 2&3, Maharashtra 431005, India",ChIJ73R4h_Ci2zsRA0lojSwJNe4,19.871883,75.3756496,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
21,Alpine Superspeciality Hospital,"Sukhmani Complex, Beed Bypass Rd, PWD Colony, Aurangabad, Maharashtra 431005, India",ChIJ7e_dr46Y2zsRQvzwxhKdQyc,19.8523684,75.3244642,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
22,E.S.I.S. Hospital,"P16, Naregaon Road, Near Garware Stadium, Chilkalthana, MIDC, Aurangabad, Maharashtra 431006, India",ChIJ0X0D3cGi2zsR1N0dnaM-iVE,19.886454,75.3687489,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
23,Sai Hospital,"Plot No.9, ST Work Shop, Shriram Colony, Near, Aurangabad, Maharashtra 431001, India",ChIJL-EEJ2qY2zsRCeku1xZFMlQ,19.8761,75.319975,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
24,Dr. Hedgewar Rugnalaya,"Near Gajanand Maharaj Mandir, Jawahar Colony Rd, Garkheda, Aurangabad, Maharashtra 431005, India",ChIJieDuZISi2zsRSbjP8z6xe2U,19.8692712,75.3478556,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
25,AMC Hospital Aurangabad,"Cidco Rd, Kaiser Colony, Shahgunj, Aurangabad, Maharashtra 431003, India",ChIJWXlXCaGi2zsR9FR9EGNuE3Q,19.887127,75.345212,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
26,Saoji Prathishthan & Research Centre,"B-11, Jalna Road, Rokda Hanuman Colony, Mondha, Aurangabad, Maharashtra 431001, India",ChIJVWnrAXSY2zsRobOFk0r4A7U,19.8766156,75.33608579999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
27,Maxcare Hospital Aurangabad,"to Ambedkar road, Baliram Patil School Rd, Parshwant Chowk, N 7, Aurangabad, Maharashtra, India",ChIJQytl3Lmi2zsRROwuH1L8slY,19.8969329,75.3604174,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
28,Endoworld Hospital Pvt Ltd,"New Sumananjali Medical, Jalna Road, Maya Nagar, N 2, Chilkalthana, Aurangabad, Maharashtra 431007, India",ChIJE5gnjwij2zsR_UQuxO9J_2Y,19.8725225,75.375018,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
29,Aurangabad Hospital Mother And Child Care,"Juna Bazar Rd, near Head Post Office, Town Hall, Buddi lane, Naralibag, Aurangabad, Maharashtra 431001, India",ChIJMy3acxGY2zsRqj38QX7CcbQ,19.889236,75.326152,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
30,Dunakhe Hospital Pvt. Ltd.,"Chintamani Colony, Aurangabad, Maharashtra 431005, India",ChIJoXdxA2mY2zsRCl244wH-bMM,19.8734069,75.3213979,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
31,Shraddha Hospital Critical Care Unit,"Plot No 27, Bhartiya Hospital Building, Akaeshwari Singal, Jalna Road, Manjit Nagar, Jalna Road, Aurangabad, Maharashtra 431001, India",ChIJSUPtyGiY2zsR6ueQm52FTP8,19.8721221,75.32325209999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
32,Pendkar Hospital,"Khadkeshwar, Aurangabad, Maharashtra 431001, India",ChIJ49IhMxSY2zsRZ3v_Lz4VdVU,19.8867619,75.3208997,"['hospital', 'health', 'point_of_interest', 'establishment']",Aurangabad
