,place_name,address,place_id,latitude,longitude,types,city
0,more hospital,"Adhyapak Colony, Siddheshwar Nagar, Barshi, Maharashtra 413401, India",ChIJf8CN5RlVxDsRGiZ0PJX8DIo,18.2277686,75.6854646,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
1,"Dr More Hospital, Barshi","Mangalwar Peth, Mangire Mala, Barshi, Maharashtra 413401, India",ChIJmZtGfzZVxDsR7ObLuiCXvn8,18.2353992,75.6900022,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
2,Shraddha Hospital,"Kasarwadi Road, Siddheshwar Nagar, Barshi, Maharashtra 413411, India",ChIJA-gCihdVxDsRhcy95-SQX04,18.2285636,75.6888366,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
3,Jagdale Mama Hospital,"Dr. Mamasaheb Jagdale Road, Shivaji Nagar, Karmaveer Nagar, Barshi, Maharashtra 413411, India",ChIJ72NAsBBVxDsR046DMTBaCPQ,18.2292013,75.68413819999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
4,BARBOLE HOSPITAL,"Mangire Mala, Barshi, Maharashtra 413401, India",ChIJgXKYkSRVxDsRfEqxnxwHee4,18.2333856,75.6941478,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
5,Dr. Tambare Hospital,"Station Rd, Sambhaji Nagar, Barshi, Maharashtra 413401, India",ChIJEUzdwzhVxDsRI3cZR3R_iIg,18.2389268,75.6975928,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
6,Somani Hospital,"Mangire Mala, Barshi, Maharashtra 413401, India",ChIJz_82kT5VxDsRj52MBbNYMtE,18.2357208,75.6945891,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
7,Dr Lukade Hospital Pediatrics.,"2517, Barshi Rd, Anandnagar Housing Society, Barshi, Maharashtra 413401, India",ChIJEXHhOzlVxDsRyRnqD9xHtGw,18.2367781,75.6974591,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
8,Sahayog Hospital,"1099, A, Raut lane, Kasba Peth, Barshi, Maharashtra 413401, India",ChIJAWM4IxRVxDsRy2zqe-dErnc,18.2347945,75.68653069999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
9,Hiremath Hospital,"Barshi Rd, Jawali Plots, Barshi, Maharashtra 413401, India",ChIJSRRkuUZVxDsRFuEaaUyIddM,18.2452925,75.69771279999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
10,Tuljai Hospital,"Mangalwar Peth, Mangire Mala, Barshi, Maharashtra 413401, India",ChIJqygt0xVVxDsRBMamY8eySDs,18.2347241,75.6877186,"['hospital', 'health', 'point_of_interest', 'establishment']",Barshi
