,place_name,address,place_id,latitude,longitude,types,city
0,"District Hospital, Beed","Bir, Beed, Maharashtra 431122, India",ChIJ88iPXecqxTsRlM1ag85ipZg,18.9869199,75.75332019999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
1,Shri Kripalu Hospital,"behind Civil Hospital, Asef Nagar, Beed, Maharashtra 431122, India",ChIJeci6VecqxTsRW4f_I_ZK8jk,18.9874158,75.75436210000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
2,Ostwal Hospital,"Shahunagar, Beed, Maharashtra 431122, India",ChIJI0GdH9oqxTsROsMHxQafshY,18.9977619,75.7544151,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
3,Yashwant Maternity hospital and diagnostic Centre Beed,"Swaraj Nagar, Beed, Maharashtra 431122, India",ChIJtzIiBOcqxTsRzeoH3jPABms,18.9849284,75.7520742,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
4,"Deep Hospital, Beed","Navghan College Rd, Bir, Beed, Maharashtra 431122, India",ChIJo842POcqxTsRyBygD9EcRjU,18.9854825,75.7533922,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
5,Giri Hospital,"Adarsh nagar, Kranti Nagar, Beed, Maharashtra 431122, India",ChIJWXoCtsQqxTsRw_UpuHHWZ5U,18.994283,75.7484237,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
6,Alane Hospital(Multispeciality Hospital),"Jalana Rd, Shahunagar, Beed, Maharashtra 431122, India",ChIJJ1ImKtoqxTsRXTmLsOwmWA4,18.9968013,75.7542022,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
7,Spandan Hospital beed,"Spandan hospital, Swaraj Nagar, Beed, Maharashtra 431122, India",ChIJH8PkrfMrxTsRzE_v7Fj1IKk,18.9787019,75.7557103,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
8,Prashant Hospital,"Beed, Bir, Beed, Maharashtra 431122, India",ChIJzXDvNd8qxTsRiZb2_j0F_fc,18.9933754,75.7588881,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
9,GAIKWAD HOSPITAL,"Maharashtra, Chatrapati Colony, Kranti Nagar, Beed, Maharashtra 431122, India",ChIJI4s9aNsqxTsR3q0UxBRErp8,18.9938521,75.7502935,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
10,Lotus Multispecility Hospital,"Bhagya Nagar Rd, Chanakyapuri Scoiety, Datta Nagar, Beed, Maharashtra 431122, India",ChIJN1OCfMIqxTsRS0nML-XUNqU,18.9875471,75.7455744,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
11,"Panchshil Hospital,Beed","Shahinshah Nagar Rd, Bir, Beed, Maharashtra 431122, India",ChIJhS3HIlYrxTsRoehfOIXtVow,18.9848814,75.7531482,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
12,Hake Hospital | Multispeciality Hospital in Beed,"Omkar Tea Center Building, Samrat Chowk, Pangari Rd, Kranti Nagar, Beed, Maharashtra 431122, India",ChIJf7qGrgArxTsRUeZWROpu3eE,18.9942451,75.7525919,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
13,VEER HOSPITAL,"Jalna Rd, Beed, Maharashtra 431122, India",ChIJDW-16RMrxTsRDwm6lTjHPwY,18.9957345,75.7547395,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
14,Kesona Homeopatic Hospital Navghan Hospital Beed,"Mitra Nagar, Datta Nagar, Beed, Maharashtra 431122, India",ChIJhyL25-cqxTsRCBej_-BtqDc,18.9857118,75.7494423,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
15,Renu Hospital,"Driving School St, near Mukta lawns, Tirupati Nagar, Bir, Beed, Maharashtra 431122, India",ChIJUdlLd-MqxTsRhJhN2wyqj6I,18.9790197,75.7556067,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
16,SHIVKAMAL HOSPITAL,"Jalna Rd, behind mantri bank, Vipra Nagar, Beed, Maharashtra 431122, India",ChIJD7GnHdoqxTsRxUKDmAKmEqM,18.9982834,75.7543611,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
17,Bhople Hospital,"NH 211, Shahunagar Area, Beed, Maharashtra 431122, India",ChIJRf4zO9oqxTsRsHoou3Pc9PY,18.997335,75.753844,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
18,Yash Hospital,"Bir, Beed, Maharashtra 431122, India",ChIJmbyUV20rxTsRWtF8AnYqy5s,18.989109,75.7600805,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
19,"Gurukrupa Hospital, Beed","Jalna Rd, Vipra Nagar, Beed, Maharashtra 431122, India",ChIJ9S-aGtoqxTsRqalT4VTku8Q,18.9982818,75.75390209999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
20,Sankalp Hospital,"Doctor Line, Front of Giri Hospital, DP Rd, Adarsh nagar, Beed, Maharashtra 431122, India",ChIJU1VVRtgqxTsR3ukYuDJOOl0,18.9936315,75.74792579999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
21,Lodha Hospital Beed,"Shahunagar, Beed, Maharashtra 431122, India",ChIJF_BoJtoqxTsRTr0OiMMan9A,18.9971054,75.7543055,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
22,Ghodke Hospital,"Bir, Beed, Maharashtra 431122, India",ChIJax2JWt8qxTsRAUpx3uY0x-w,18.9934169,75.7597778,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
23,Dhoot Hospital Beed,"Sneh Nagar, Beed, Maharashtra 431122, India",ChIJG3fiwtgqxTsR4y4hgDxTdHk,18.9949351,75.7583472,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
24,Tirupati Hospital,"Shivaji Chowk, Datta Nagar, Beed, Maharashtra 431122, India",ChIJ32E2pN0qxTsRbUdsurKHGhM,18.9893399,75.7521278,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
25,Nath Hospital Dp Road Beed,"Adarsh nagar, Kranti Nagar, Beed, Maharashtra 431122, India",ChIJU_NXStsqxTsRsMTKB8yjDkg,18.9942658,75.74904599999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
26,Shree Bhagwan Hospital,"In front of new S. P office, barshi, road, near, Shivaji Chowk, Beed, Maharashtra 431122, India",ChIJexZJH8IrxTsRRuBA28IJhcw,18.9881694,75.75231289999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
27,BARKUL HOSPITAL,"DP Rd, Adarsh nagar, Beed, Maharashtra 431122, India",ChIJe9knW9sqxTsRS0PxsRotRb0,18.9936248,75.7496927,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
28,Mundhe Hospital,"Nagar Road, Nera Goverment Rest House, Beed, Maharashtra 431122, India",ChIJxTsDJt0qxTsRiOJTUS1DlS4,18.9897495,75.7495201,"['hospital', 'health', 'point_of_interest', 'establishment']",Beed
