,place_name,address,place_id,latitude,longitude,types,city
0,Siraj Memorial Hospital,"Old Mumbai-Agra Rd, Vanjar Patti Naka, Avachit Pada, Bhiwandi, Maharashtra 421302, India",ChIJNS-sPWu95zsRaCgmNdbVUOk,19.3062389,73.0655364,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
1,Gavi Hospital,"421302, Ajay Nagar, Bazar Peth, Bhiwandi, Maharashtra 421302, India",ChIJHeTHj-295zsRv3VEgRtkftI,19.3068018,73.0563023,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
2,Mamta Hospital,"450, 4th Nizampur, Agra - Nashik Road, Bhiwandi, Maharashtra 421302, India",ChIJS0A03kG95zsR8yPRSuWDxww,19.3120587,73.06992749999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
3,VEDANT HOSPITAL(Orthopedic & Gynac Multispeciality Hosp.),"Ruby arcade house no 251 vanarpatti naka bhiwandi, Thane, Maharashtra 421302, India",ChIJl1xhOmu95zsRGu01dnhrEKM,19.30616,73.064949,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
4,Sai Leela Hospital,"Firdous Complex, Old Mumbai-Agra Rd, Vetal Pada, Gulzar Nagar, Bhiwandi, Maharashtra 421302, India",ChIJmz-4YWu95zsRQeDgkldqxSA,19.304433,73.065884,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
5,"Dr.Mohaddis Momin's, Empathy Hospital","1st floor, Rehman Complex, Agra Road Near Baug-e-Firdos Masjid, Bhiwandi, Maharashtra 421302, India",ChIJqdxtQ2u95zsRbaqh2Yn30Wc,19.305082,73.0653182,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
6,Dhange Hospital,"29, Mandai - Dhamankar Naka Rd, Navi Chal, Prabhu Ali, Mandai, Bhiwandi, Maharashtra 421302, India",ChIJZUoeqxG95zsRhLWy6JMSGUA,19.2993165,73.05715459999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
7,Afreen Hospital Bhiwandi,"101, Sirajul Uloom Road, Avachit Pada, Bhiwandi, Maharashtra 421302, India",ChIJv8ryS2m95zsRFmox8l9kFmE,19.3050624,73.0711889,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
8,Mahavir Hospital,"Shivaji Chowk Rd, Gokul Nagar, Bhiwandi, Maharashtra 421302, India",ChIJp454YlC95zsRRFagwU7OMtc,19.3058371,73.060017,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
9,Ashirwad Hospital,"2Nd Floor, R K Business Centre, Kalyan Naka, Bhiwandi, Maharashtra 421302, India",ChIJZ558aXO95zsRjwXttslrg9g,19.2974874,73.06362229999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
10,Central Hospital,"Maulana Azad Rd, Kacheri Pada, Old Zakat Naka, Gulzar Nagar, Bhiwandi, Maharashtra 421302, India",ChIJpfx3WG295zsRQp1hQZ47t7I,19.2984516,73.0650131,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
11,Rahat Hospital,"kaptalu kotergate, Bhiwandi, Maharashtra 421302, India",ChIJVxsHkRK95zsRb5-lfAt7fVw,19.2990953,73.0621,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
12,Orbit Hospital,"Navi Chal, Prabhu Ali, Mandai, Bhiwandi, Maharashtra 421302, India",ChIJy46inhG95zsR2rx95iRkJhg,19.3003122,73.0570855,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
13,Jayshree Hospital,"25.A, Wani Ali Rd, Zaitunpura, Samad Nagar, Kaneri, Bhiwandi, Maharashtra 421302, India",ChIJacUuQhG95zsRlTwZcpOriQM,19.3021697,73.0571562,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
14,FIRST CARE HOSPITAL,"4TH NIZAMPURA ASIF COMPOUND KHANDU PADA ROAD, above BABA Hotel, Bhiwandi, Maharashtra 421306, India",ChIJxd1xH3C95zsRAJQJNM2CaeM,19.3055829,73.0681683,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
15,Supreme Hospital,"Patel Nagar, Vanjar Patti Naka, Bhiwandi, Maharashtra 421302, India",ChIJo_IB7Gq95zsRx9ORainShyk,19.3082621,73.06600449999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
16,Prajakta Hospital,"Ajay Nagar Rd, Ajay Nagar, Kombad Pada, Gokul Nagar, Bhiwandi, Maharashtra 421302, India",ChIJa6Lvmha95zsRjEFZucMaFzQ,19.3055609,73.0576529,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
17,Jadhav Hospital,"Bhiwandi, Thane, Maharashtra 421302, India",ChIJmbam8my95zsRi2mHQzUlxLU,19.3027826,73.066377,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
18,khatoonbi Kazi Multispeciality Hospital,"Dargah Rd, Kahjoor Pura, Bhiwandi, Maharashtra 421302, India",ChIJw6aoRBC95zsR3e1kFMRUsYA,19.2995442,73.0542567,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
19,BMS Hospital,"Navi Chal, Kumbhar Ali, Mandai, Bhiwandi, Maharashtra 421302, India",ChIJgdN0vBG95zsRZ3LkgqOWgUU,19.2995217,73.0564052,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
20,Bhiwandi Government Hospital,"Bhiwandi, Ansari Rd, Near Panchayat Samiti, Kacheri Pada, Gulzar Nagar, Bhiwandi, Maharashtra 421302, India",ChIJz2KIgW295zsRRltjef0A__w,19.2989933,73.0672232,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
21,Huda Nursing Home,"Nashik Rd, Millat Nagar, Avachit Pada, Bhiwandi, Maharashtra 421302, India",ChIJmcAacWq95zsRavdhzJAACss,19.3097647,73.0680896,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
22,Masoom Hospital,"1st Floor, Tulsi Complex bus stop Yaseen appartment, near powerhouse, Bhiwandi, Maharashtra 421302, India",ChIJacgwyXW95zsRI5pioDB7Ut4,19.2898705,73.0688758,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
23,"Madhavbaug Clinic, Bhiwandi","Giriraj Complex, Opposite, Thane - Bhiwandi Rd, Vetal Pada, Gulzar Nagar, Bhiwandi, Maharashtra 421302, India",ChIJiZuJsxa95zsR0vjeupVCYu8,19.3024761,73.0662991,"['hospital', 'health', 'point_of_interest', 'store', 'establishment']",Bhivandi-Nizampur
24,Citizen Hospital,"New kaneri Agra road near citizen hospital bhiwandi Agra road, Thane - Bhiwandi Rd, Punit Sagar Complex, Bhiwandi, Maharashtra 421302, India",ChIJKaPuXQy95zsReQf6Oc1Tl0U,19.2937889,73.0607264,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
25,DRONE DIAGNOSTIC & SURGICARE CENTRE.,"233/ B first floor, Giriraj Shopping Complex, Bhiwandi - Wada Rd, opp. ST Stand, Vetal Pada, Gulzar Nagar, Bhiwandi, Maharashtra 421302, India",ChIJ26ov8my95zsRHOlb-qA47so,19.3025298,73.06638579999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
26,"Meher Hospital, ICCU & NICU","646, Nr. Payal Cinema, Thane Rd., Bhiwandi, Maharashtra 421302, India",ChIJo1S9Kw-95zsR14ktp415D9g,19.2919737,73.0554121,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
27,shree bhairav dental clinic,"Nakoda bldg,Shivaji chowk bhiwandi, near SBI ATM, Bhiwandi, Maharashtra 421302, India",ChIJjSvGJxS95zsRC7j0xEjCxUk,19.3059399,73.0583236,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
28,Ummeed Hospital,"Kaneri, Bhiwandi, Maharashtra 421302, India",ChIJZ_m_qhK95zsRauqeb-QvJ1M,19.2984474,73.0640492,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
29,Yash Nursing Home,"Near Pasik Bank, Samad Nagar, Kaneri, Bhiwandi, Maharashtra 421302, India",ChIJBUXLUwm95zsRmzlqkuqchpM,19.2917104,73.0576869,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
30,Taj hospital specialist children,"1st floor, opp. Taj hotel, Fandole Nagar, Gaibi Nagar Bhiwandi, Bhiwandi, Maharashtra 421302, India",ChIJVYdOxq695zsRMa8pnymkBXc,19.2962412,73.0708355,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
31,Dr Senapati Hospital,"Kaneri Road, Telipada, Dhamankar Naka, Kaneri, Bhiwandi, Maharashtra 421302, India",ChIJZxv1SQm95zsReO0nZ2VQEMc,19.2915252,73.05677870000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhivandi-Nizampur
