,place_name,address,place_id,latitude,longitude,types,city
0,"Arpan Hospital, Bhusawal","Kulkarni plot, behind court, Bhusawal, Maharashtra 425201, India",ChIJTTZtwiKm2TsRtAzmgPnCECg,21.0510748,75.78194359999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
1,Khanapurkar Maternity Hospital,"Shivshakti Hudco Colony, Near Nahata College, Jamner road Shivshakti Hudco Colony Opposite, Gorakshan, Bhusawal, Maharashtra 425201, India",ChIJa3kgy0Om2TsRAzJPQJu1C8Q,21.0308687,75.7808416,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
2,"Godavari Hospital, Bhusawal","G-14, Ring Rd, Rajeshvar Nagar phase 2, Ramdev Baba Nagar, Bhusawal, Maharashtra 425201, India",ChIJv97AEUCm2TsRt-nS-pwc_zM,21.0373033,75.78270499999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
3,"Davalbhakta Eye & woman care & Infertility Centre, Bhusawal","Jalgaon Road, opposite Panchmukhi Hanuman Mandir, Sahakar Nagar, Shanti Nagar, Bhusawal, Maharashtra 425201, India",ChIJD7xcAyOm2TsRM_7Z374BYn0,21.0519509,75.78041879999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
4,Cure Clinic,"Gadkari Nagar Rd, near GNG park, Usmaniya Colony, Gandhi Nagar, Gadkari Nagar, Bhusawal, Maharashtra 425201, India",ChIJyZ91o3Km2TsR5Ul5_JnJMFc,21.0380744,75.795834,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
5,Malti hospital,"Shivshakti Hudco Colony, Bhusawal, Maharashtra 425201, India",ChIJEfuY9D-m2TsRK0-mPdUrYbU,21.038431,75.78230599999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
6,Vishvanath Hospital,"Jamner Rd, behind Ashtabhuja Devi Mandir, Upasani Colony, Hanuman Nagar, Bhusawal, Maharashtra 425201, India",ChIJ3WZzAz-m2TsRmSEyDITaz_k,21.040647,75.78028700000002,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
7,chintamani hospital,"back side of maharana pratap school, Jamner Rd, near bhirud hospital, Bhusawal, Maharashtra 425201, India",ChIJwVKkvJqn2TsRm-Fqf3XvbgE,21.0385727,75.78013,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
8,Muktai Prasutigruha And Children Hospital,"K P Club, Behind Ashtbhuja Mandir, Jamner Road, near Datta Mandir, Bhusawal, Maharashtra 425201, India",ChIJ9ejyIj-m2TsRqVdh5ZaUI2I,21.040165,75.779202,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
9,"Saipushpa Accident Hospital, Bhusawal","Yawal Road, Anil Nagar, near Sushil Hospital, Bhusawal, Maharashtra 425201, India",ChIJyQpPAiKm2TsRT4baCsD1Orc,21.0555385,75.78328429999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
10,"Naik Surgical, Maternity Hospital and IVF center Bhusawal","Behind gurudwara Jalgaon road Nr new tahesil office, Bhusawal, Maharashtra 425201, India",ChIJ60xbUyKm2TsRDyobILYYE7g,21.0529498,75.7808167,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
11,"Dr Khemchandra Borole Hospital, Bhusawal","Sindhi Colony, Bhusawal, Maharashtra 425201, India",ChIJ4ZmR1_Kn2TsRUSTs0C3eoJI,21.0344183,75.7817847,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
12,"Sushil Nursing Home, Bhusawal","Jalgaon Rd, Tapi Nagar, Gurudwara, Anil Nagar, Bhusawal, Maharashtra 425201, India",ChIJX-6u-yGm2TsR8wfcc1660yc,21.0561675,75.7831442,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
13,ASHA HOSPITAL,"Jammer Rd, Anil Nagar, Bhusawal, Maharashtra 425201, India",ChIJW-TrlbCn2TsRC8ou81q9BcA,21.0415997,75.7784222,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
14,Patel Hospital,"Bhusawal,, Tulsi Nagar, Bhusawal, Maharashtra 425201, India",ChIJc14OODym2TsRTr8ZS4mUf6s,21.0446374,75.7791937,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
15,"Kelkar Hospital, Bhusawal","Vanjola Village Rd, near Hanuman Nagar, Wani Colony, Hanuman Nagar, Bhusawal, Maharashtra 425201, India",ChIJ5YILsECm2TsRdLSWLFDZXAE,21.0370949,75.7785272,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
16,Siddhivinayak hospital,"Near mamaji talkies, in front of Mahajan Medical, Bhusawal, Maharashtra 425201, India",ChIJVVVVhjym2TsRRtjHg39acVo,21.048055,75.778199,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
17,krishna Mulanche Hospital,"Tulsi Nagar, Bhusawal, Maharashtra 425201, India",ChIJ3aetLzym2TsRQIJmMPwRjr4,21.0443301,75.7801958,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
18,Bhole Hospital,"Hanuman Nagar, Bhusawal, Maharashtra 425201, India",ChIJ28rfkr2n2TsRcI99h-Icxl0,21.0408414,75.780053,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
19,Muskan Children's Hospital,"Khadka Rd, Usmaniya Colony, Gandhi Nagar, Gadkari Nagar, Bhusawal, Maharashtra 425201, India",ChIJp4PcQXKm2TsRCRzG_oQHnSM,21.0401174,75.7870612,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
20,Soniccha Accident Hospital,"In front of Bhirud Hospitl, soniccha wadi,Jammner Road, Bhusawal, Maharashtra 425201, India",ChIJx_UzfECm2TsRdzq2Yjp0Wd4,21.0376223,75.7809162,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
21,"Railway Hospital, Railway Road BHUSAWAL","Central Railway Hospital, RPD Rd, Anil Nagar, Bhusawal, Maharashtra 425203, India",ChIJAek1bRqm2TsRxN9R_25hNig,21.0519519,75.79261749999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
22,Lokhande Hospital,"Shashiprabha,Lokhande Hospital,New municipalstaff Colony, Jamner Rd, Bhusawal, Maharashtra 425201, India",ChIJFZGGeT-m2TsRFa0pSfh0TK0,21.0385877,75.7804077,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
23,"Manwatkar Hospital, Bhusawal","Datta-dham, Jamner Road, Anand Nagar, Opp Talathi Office, Bhusawal, Maharashtra 425201, India",ChIJzQQzNECm2TsRCVKoooGvjbU,21.035394,75.78242,"['doctor', 'health', 'point_of_interest', 'establishment']",Bhusawal
24,Jyoti Eye Hospital,"Municipal Staff Colony, Hanuman Nagar, Bhusawal, Maharashtra 425201, India",ChIJR8z8bj-m2TsREZRjkDLUWkk,21.0388115,75.7797999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
25,Life Care Hospital,"Shree Nagar, Bhusawal, Maharashtra 425201, India",ChIJKxD1qDOm2TsRvS97LBbLksA,21.0446128,75.76350219999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
26,Pooja Hospital,"Pooja Eye Hospital,Near TV centre , Hanumaan Nagar, bhusawal, Dist Jalgaon , Maharashtra, Bhusawal, Maharashtra 425201, India",ChIJdTwCukCm2TsR-scjaVoGnR8,21.0366983,75.77859920000002,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
27,"Kapoori Hospital,Anand nagar Bhusawal.","Sindhi Colony, Bhusawal, Maharashtra 425201, India",ChIJ7dPnl0Gm2TsRAK0fGdLXkFI,21.0336209,75.7815597,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
28,Usha hospital,"Jamner Rd, near tv tower ground, Municipal Staff Colony, Hanuman Nagar, Bhusawal, Maharashtra 425201, India",ChIJYeFIacun2TsRDD7gGb5UM54,21.0386036,75.7796094,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
29,konark hospital,"Shree Nagar, Bhusawal, Maharashtra 425201, India",ChIJicGNqDOm2TsRW6Kx6rm0mUc,21.0445886,75.7635336,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
30,Shree Sai Accident & ENT Hospital,"Kanhaiyyalal plot, Bhusawal, Maharashtra 425201, India",ChIJuY2Z9ban2TsR_uQF2u4586I,21.040053,75.780289,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
31,Kirti Hospital,"near Shivaji statue, timber market, Tulsi Nagar, Bhusawal, Maharashtra 425201, India",ChIJMWEVOjym2TsR5bd0c6AItbA,21.0447032,75.7799339,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
32,Bholane hospital,"Bholane Hospital, Behind Bazarpeth Police Station, Near Chhatrapati Shivaji Complex, Kanhaya Kunj, Bhusawal, Maharashtra 425201, India",ChIJI1JjeTqn2TsRXcv35bslCSI,21.04637,75.7818224,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
33,ENT CLINIC BHUSAWAL,"Khadka Rd, Usmaniya Colony, Gandhi Nagar, Gadkari Nagar, Bhusawal, Maharashtra 425201, India",ChIJyZ91o3Km2TsRNcklxpxTSPA,21.0380744,75.795834,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
34,Kolambe ENT & Eye Hospital,"Municipal High School, Jamner Road, Nr Ashtabhuja Mandir, Near, Upasani Colony, Hanuman Nagar, Bhusawal, Maharashtra 425201, India",ChIJz4A9Cj-m2TsRKxA6B5mFgqk,21.0397218,75.7806612,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Bhusawal
35,Dr. Rane Eye Hospital,"Ayurvedalaya, Navshakti Arcade Complex, Besides, Hanuman Nagar, Bhusawal, Maharashtra 425201, India",ChIJYRbZOD-m2TsREwEu5wvdrC8,21.0395447,75.7790291,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
36,Pratibha Clinik,"People Bank Colony, Prabhat Colony, Bhusawal, Maharashtra 425201, India",ChIJO4oKESSm2TsRUjeWV5xVmFg,21.0542066,75.7768706,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
37,Maher Hospital,"Prabhat Colony, Sahakar Nagar, Shanti Nagar, Bhusawal, Maharashtra 425201, India",ChIJoZ0McyOm2TsRjxG2wKTm5k4,21.051935,75.7791407,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
38,Seva Balrugnalaya,"behind Bala ji Mandir, Timber Market, Bhusawal, Maharashtra 425201, India",ChIJjxO5Pzym2TsRmBl1mpZ8j70,21.0450515,75.77940749999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
39,Dr Nilesh Bhirud,"near vasant theater, New Satara, Juna Satara, Bhusawal, Maharashtra 425201, India",ChIJaQY8NT2m2TsRswd7YbxT1gQ,21.0496655,75.7820898,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
40,Naik Surgical Maternity and general hospital with IVFcenter,"Behind Guru dwara, jalgaon Road, 425201, Bhusawal, Maharashtra, India",ChIJAQAAAAym2TsR8MePxvFuUuY,21.0455203,75.8010962,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
41,Ashwani Hospital,"Vrindavan Colony, Bhusawal, Maharashtra 425201, India",ChIJgWPLkCSm2TsRU0XieUru_mk,21.0511319,75.7770072,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
42,Excel Polyclinic & Hospital,"Near Kgn Trading Co, Gandhi Nagar, Ramdev Baba Nagar, Bhusawal, Maharashtra 425201, India",ChIJVWGgiRSm2TsRWXpu-XUOv2s,21.0413587,75.7884825,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
43,siddhivinayak hospital dr ingale,"425201, New Satara, Juna Satara, Bhusawal, Maharashtra 425201, India",ChIJHzuaoTym2TsRh_GUvQBhB0k,21.0480873,75.7781444,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
44,Pratibha Clinic,"नगरपालिका , गणेश डेअरी समोर, नवीन, गोपाळ नगर, Bhusawal, Maharashtra 425201, India",ChIJ____syOm2TsRJdIky0gUVCI,21.054266,75.776871,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
45,Casualty Railway Hospital,"Anil Nagar, Bhusawal, Maharashtra 425203, India",ChIJ-Xhm9Bqm2TsR6tas6bA-Q0s,21.0523086,75.7926724,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
46,Nilvasu Hospital,"Bhairavnath Mandir Rd, New Satara, Municipal Park, Bhusawal, Maharashtra 425201, India",ChIJ0RltFa2n2TsRiF4UFmAvvXc,21.0505,75.779845,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
47,Al-shifa Clinic,"Station Rd, Jam mohallah, Bhusawal, Maharashtra 425203, India",ChIJfxx8PBSm2TsR0ZEdbv9Wxu4,21.0434524,75.7876792,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhusawal
