,place_name,address,place_id,latitude,longitude,types,city
0,"Salphale Hospital- Orthopedic Doctor, Orthopedic surgeon(Chandrapur), Orthopedic Hospital in Chandrapur","Civil Lines, Chandrapur, Maharashtra 442402, India",ChIJBxavltTV0jsRcoEVkMHnQSI,19.9603282,79.2947767,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Chandrapur
1,"District General Hospital, Chandrapur","Jatpura Gate Rd, Hospital Ward, Chandrapur, Maharashtra 442402, India",ChIJR22sdCzU0jsRK6wEatqwlQA,19.9539683,79.29614629999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
2,Christ Hospital,"Jyoti Nagar, Tukum, Chandrapur, Maharashtra 442401, India",ChIJd7Hp-9jV0jsRe4-AyauGn-0,19.9726889,79.2926933,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
3,Sainani Hospital,"SP College, Ganj Ward, Sabji Mandi, Nawargoan, Bazar Ward, Chandrapur, Maharashtra 442402, India",ChIJw8_n1zHU0jsRmt_PgJ2nND4,19.9505145,79.30144469999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
4,MANWATKAR HOSPITAL,"Near Medicine Complex, Ekori, Ward, Chandrapur, Maharashtra 442402, India",ChIJ6cyIOynU0jsRyy14UTotc0Q,19.9499404,79.2934404,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
5,Dr Mundhada Bharti Hospital,"Dixit Wada, Chandrapur - Jatpura Gate Rd, behind Chandak Medical, Chandrapur, Maharashtra 442401, India",ChIJ9WGGEivU0jsR2GbCoKgDYHw,19.9560769,79.2942729,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
6,Kuber Multi Speciality Hospital,"Bhanapeth Ward, Opp SBI Main Branch, Chandrapur, Maharashtra 442402, India",ChIJlbCJqi_U0jsRuiXNtorK9C0,19.9495275,79.2987393,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
7,"CHL Multispeciality Hospital & Research Centre - Best Heart Hospital, Cardiology Hospital & Gynecology Hospital","Chandrapur - Mul - Saoli - Gadchiroli -MSH7, opposite Adarsh Petrol Pump, Sarkar Nagar, Tukum, Chandrapur, Maharashtra 442401, India",ChIJ0zJVt8jV0jsR6dpTVN9hCP8,19.9697357,79.3078264,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
8,Shweta Hospital,"behind haweli complex, jatpura gate road, sarai ward, opp.to zilha parishes, Chandrapur, Maharashtra 442402, India",ChIJAQAQg9TV0jsRHtrAOOmMZMs,19.9607309,79.29543249999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
9,Dr. Anande Hospital,"Datala Rd, Revenue Colony, Civil Lines, Chandrapur, Maharashtra 442402, India",ChIJ476m9dXV0jsRI3yzx74Sac8,19.9612285,79.2902783,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
10,Musale Hospital,"patel nagar ,civil lines, opposite hotel tandoor, Chandrapur, Maharashtra 442402, India",ChIJkyl3bNHV0jsR-xNWa4Mkz68,19.9655742,79.2975354,"['doctor', 'health', 'point_of_interest', 'establishment']",Chandrapur
11,Gulwade Hospital,"Bazar Ward, Chandrapur, Maharashtra 442402, India",ChIJYbSklyzU0jsRzK0okx5O8hM,19.956856,79.2965584,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
12,Bukkawar Hospital,"Civil Lines, Chandrapur, Maharashtra 442402, India",ChIJh048e9XV0jsRcrJhYnHvSxQ,19.9686593,79.2920054,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
13,Murkhe Hospital,"Ramnagar, Chandrapur, Maharashtra 442402, India",ChIJU2YLQX_W0jsR9l9pNObLcS4,19.96258,79.289722,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
14,Agrawal Nursing Home,"Kasturba Rd, near Government Hospital, behind Bazar Ward, Bazar Ward, Chandrapur, Maharashtra 442402, India",ChIJI933bizU0jsRBNzFqKsTP9M,19.9545057,79.2967321,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
15,Nagrale Hospital,"Chandrapur, Maharashtra 442401, India",ChIJLf2UFSnU0jsRIBAp3lgk_9Y,19.9506264,79.29422819999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
16,Mawani Hospital | Best Pediatrician In Chandrapur,"Chandrapur - Jatpura Gate Road, Ramnagar Rd, Babupeth, Chandrapur, Maharashtra 442402, India",ChIJqTSQQyvU0jsRcPHRnBYwfx0,19.9572348,79.2948511,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
17,Gurukrupa Clinic & Nursing Home,"Dr kolte's hospital, SBI Chandrapur Main Branch, Gandhi Chowk Rd, Bazar Ward, Chandrapur, Maharashtra 442402, India",ChIJ20BQGi_U0jsRiwiH73aicws,19.9487875,79.2977483,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
18,Anasuya Nursing Home,"Civil Lines, Chandrapur, Maharashtra 442402, India",ChIJFU5F69fV0jsRbWWeTOKjJek,19.9687087,79.2915752,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
19,Dr. Shastrakar Hospital,"Gandhi Chowk Rd, Hospital Ward, Chandrapur, Maharashtra 442402, India",ChIJ_fP1ZCzU0jsR7DLHD1H-T1U,19.954996,79.2967462,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
20,Dr. Madurwar Chandrapur C.T Scan and M.R.I. Centre,"Vivek Nagar, Chandrapur, Maharashtra 442402, India",ChIJNS8CIM_V0jsR9hpi_VqWFR0,19.9678018,79.3057195,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
21,Dhande Hospital,"Tadoba Rd, D.G.Tukum, Sharda Nagar, Tukum, Chandrapur, Maharashtra 442401, India",ChIJY_1LiNrV0jsRKIwrlwynNAQ,19.9710907,79.29888570000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
22,Mehra Hospital,"Nagpur Rd, Near Janata College, Civil Lines, Chandrapur, Maharashtra 442402, India",ChIJmej8wXbW0jsROQjxp7g6gRg,19.973536,79.2859642,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Chandrapur
23,Gandhi Hospital Chandrapur,"Pugalia nagar, Civil Lines, Chandrapur, Maharashtra 442402, India",ChIJBcIMd3fW0jsR9O37yPQwuNo,19.9704465,79.2871351,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
24,Dr. Sardeshpande Hospital,"Vivek Nagar, Chandrapur, Maharashtra 442502, India",ChIJm2-VIM_V0jsR7Dtey6WRovM,19.9678765,79.30597200000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
25,Bhalme Hospital,"Bazar Ward, Chandrapur, Maharashtra 442402, India",ChIJKR8k_jDU0jsRnRIsVCNjmQY,19.9499466,79.3044233,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandrapur
