,place_name,address,place_id,latitude,longitude,types,city
0,"Thakare Hospital,Deopur Dhule","Wadibhokar Rd, Deopur, Dhule, Maharashtra 424002, India",ChIJtQX1bIXF3jsR90dPzGEomeQ,20.9157738,74.77097719999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
1,Siddheshwar Multi Speciality Hospital,"Near Ganpati Bridge, Garud Colonly, Deopur, Dhule, Maharashtra 424005, India",ChIJvzLWA5LF3jsRKpdKqSICX68,20.9081056,74.7684658,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
2,"Om critical care center pvt. Ltd. Agrawal nagar, malegaon road, Dhule.424001","Dhule Moghan Rd, Agrawal Nagar, Dhule, Maharashtra 424001, India",ChIJlc7gQPnF3jsRS58EpwH1bB4,20.8870458,74.7760545,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
3,"District Hospital, Dhule","Sakri Road, Vidhya Vihar Colony, Dhule, Maharashtra 424001, India",ChIJCT2Fx_LF3jsR8aDtNchdLKU,20.901677,74.77096499999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
4,Yashoda Hospital And Netralay,"Datta Mandir Chowk, Shrirang Colony, Dhule, Maharashtra 424005, India",ChIJNX2La3_F3jsRI9b81J-dtn0,20.9276633,74.77647429999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
5,Dhandai Hospital,"51, Mayur Colony, Deopur, Dhule, Maharashtra 424002, India",ChIJn8tujo_F3jsRKGmQ1I1j6HE,20.9137242,74.7707203,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
6,Jaware Hospital,"Phule Colony, Dhule, Maharashtra 424001, India",ChIJR7txxfLF3jsRF-QJzawVhyw,20.9057346,74.77856,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
7,Bhatwal Surgical And Maternity Hospital,"111/A, Dhule Moghan Rd, Agrawal Nagar, Dhule, Maharashtra 424001, India",ChIJk8ASzvvF3jsROBP2MDnT1M0,20.8881189,74.7735989,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
8,Chirantan Hospital,"near, Jai Hind College Rd, Deopur, Dhule, Maharashtra 424002, India",ChIJw50hiI_F3jsRJKk41fnYAoE,20.9143369,74.7709091,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
9,Shree Vighnaharta Superspeciality Hospital,"Shree Vighnaharata Superspeciality Hospital, Nahata Nagar, Nakane Rd, Dhule, Maharashtra 424002, India",ChIJcbrx3I_F3jsRqvbHxEpBsHA,20.9098111,74.7465845,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
10,Seva Superspeciality Hospital And Critical Care Centre,"mission compound,, 15, Sakri Rd, Padmanabh Nagar, Kumar Nagar, Dhule, Maharashtra 424002, India",ChIJ5VafqJTF3jsRNmOpPAXnjFQ,20.9026736,74.76281949999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
11,Siddhi-Vinayak Hospital,"opp mission compound,, 15, Sakri Rd, Dhule, Maharashtra 424002, India",ChIJ8112WZPF3jsRC5UiouZJP6Q,20.902965,74.7632691,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
12,Anjana Heart Hospital,"25, Suyog Nagar, Mahindale, Sakri Rd, Shivar, Dhule, Maharashtra 424001, India",ChIJ7ZNhiyfF3jsR0hzSOrDjfug,20.9030842,74.74302759999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
13,Niramaya Hospital & Shwaas Criti Care Center,"80 Feet Road, Nityanand Nagar, Dhule, Maharashtra 424004, India",ChIJbbLzF1_P3jsR5JHipbUEeyU,20.8995062,74.78275889999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
14,Dhule EYE & ENT Hospital,"Parola Road, National Highway 6, Dhule, Maharashtra 424001, India",ChIJjZEq-V_P3jsROJ6w22vP3H0,20.9031252,74.78067709999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhule
