,place_name,address,place_id,latitude,longitude,types,city
0,B. J. Hospital & Research Institute,"Ganesh Nagar, Gondia, Maharashtra 441601, India",ChIJ0-9qdbeuKzoRUGvLs8TiFfo,21.4522976,80.1973649,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
1,"Gondia Care Hospital, Bahekar Super Speciality Hospital & Medical Research Center","Civil Lines, Bajaj Nagar, Gondia, Maharashtra 441601, India",ChIJq6qqNrmuKzoRtjGxLqbafo0,21.4570189,80.20545059999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
2,New Gondia Hospital,"Bajrang Nagar, Bajaj Nagar, Gondia, Maharashtra 441601, India",ChIJGci8TImvKzoRoUp-vdhtm_8,21.4486419,80.20025299999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
3,Shri KMJ Memorial Hospital And Research Centre,"Shastri Ward, Road, Panchayat Samiti Colony, Bajaj Nagar, Gondia, Maharashtra 441601, India",ChIJ0WFCkLiuKzoRXUioRT7I7Ao,21.4503875,80.20227129999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
4,Dr. Rana Hospital - Best Gyne Hospital | Best ENT Hospital In Gondia,"Sheetla Manohar Colony Road, Civil Line, Gondia, Maharashtra 441601, India",ChIJe39uAbuuKzoRKo-oSiq2kKc,21.4584744,80.2016849,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
5,Osteon Trauma Hospital Gondia,"Fulchur Peth, Gondia, Maharashtra 441614, India",ChIJAw-IacSuKzoRivfAaHGz1kA,21.4418479,80.2029585,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
6,SAHAYOG HOSPITAL,"Laxmi Nagar, Gondia, Maharashtra 441614, India",ChIJCRU6LKiuKzoRwurUVvs1WfQ,21.4722863,80.19616359999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
7,Epione Hospital LLP,"Behind Nirmal Theatre, Shastri Ward, Gondia, Maharashtra 441601, India",ChIJyVNdkkuvKzoRNUJAtbzDFoI,21.4502844,80.20152209999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
8,Patle MATERNITY AND CHILDREN HOSPITAL,"Sharda Colony, Gondia, Maharashtra 441614, India",ChIJGam0MgCsKzoRZQeR2LsrXsc,21.4732498,80.19029429999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
9,"K.T.S. General Hospital, Gondia","Nehru Chowk, near bada Puliya, Gondia, Maharashtra 441601, India",ChIJ4xacBLGuKzoRrqTLov2SSww,21.4576356,80.1955268,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
10,Central Hospital Gondia,"Unnamed Road, Shivaji Nagar, Gondia, Maharashtra 441601, India",ChIJDQCHeaOvKzoRoJAuZ4REOAo,21.4640726,80.1992716,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
11,Aayushya Critical care and Multispeciality Hospital,"In front of Hindi School Ground / Gujarati School, Railtoli, Gondia, Gondia, Maharashtra 441614, India",ChIJDQAAAJCuKzoRJd5ooWjjdbs,21.462449,80.22097699999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
12,Jeevan Jyoti Hospital,"Opposite Gadekar Hospital ,Girls College Road, near Khoja Maszid, Gondia, Maharashtra 441601, India",ChIJ67AZc7GuKzoRagC0DTW6HY0,21.4579225,80.1944577,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
13,ANANYA HOSPITAL,"Bypass Rd, Marar Toli, Old Gondia, Gondia, Maharashtra 441601, India",ChIJj7wBCZeuKzoRlUc9GI2bBDU,21.4599494,80.21280039999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
14,Karlekar Gynaecology Hospital,"Galli No. 6,Vivekanand Colony, M.F. Ward, Mama Chowk, Maharashtra 441601, India",ChIJoamE4pWuKzoRISF-H97iVLg,21.4557966,80.21068149999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
15,BHAGAT EYE & ENT HOSPITAL,"Sharda Colony, Gondia, Maharashtra 441614, India",ChIJ1-wyggKsKzoRURWuoPwLMuM,21.4729709,80.1962733,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
16,Hospital,"Fulchur Peth, Gondia, Maharashtra 441601, India",ChIJ5dajacSuKzoRZtgJKvft8XY,21.441749,80.2029658,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
17,Dr Biranwar Hospital,"Raut Galli, Bajaj Nagar, Gondia, Maharashtra 441601, India",ChIJvc677r2uKzoR2f24hG0g01w,21.4567807,80.2090063,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
18,Reliance Hospital - Gondia,"Goregaon Road, Near HP PetrolPump Dawwa, Karanja, Maharashtra 441601, India",ChIJcRhStN-lKzoR36_IVl241io,21.406514,80.1913799,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
19,"Bai Ganga Bai Women Hospital, Gondia","Bajaj Nagar, Gondia, Maharashtra 441601, India",ChIJ0e5pP7CuKzoR8FEQ6iSM50I,21.459631,80.1970273,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
20,Dr. Ansuman Children Hospital Gondia,"Ramnagar, Gondia, Maharashtra 441614, India",ChIJExmO26yuKzoRNRsUR_m1Cvg,21.4639783,80.1885109,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
21,Bramhankar Hospital (The Complete Surgical Solution),"Mama chowk, near Nutan school, Civil Lines, Bajaj Nagar, Gondia, Maharashtra 441601, India",ChIJ0fO7pNuvKzoRlcw4MN77dvc,21.4579955,80.20684519999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
22,Jaipuriya Nursing Home,"Sai Mandir Road Civil Lines, Gondia, Maharashtra 441601, India",ChIJT_Qj77uuKzoRlj_oASgpiCU,21.456398,80.20326229999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
23,Shree Nursing Home,"Maa Ambica Colony, Rail Toly, Gondia, Maharashtra 441614, India",ChIJWcXHYKyuKzoRR-bJK3iuUBs,21.4651809,80.19073689999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Gondia
