,place_name,address,place_id,latitude,longitude,types,city
0,sai hospital Hinganghat,"Hinganghat,, Dag Borkhedi, Hinganghat, Maharashtra 442301, India",ChIJO_xEc6x60zsRvCcmVL4D104,20.5469114,78.8340735,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
1,Marothi Hospital,"NH 7, Shastriward, Jawade, Hinganghat, Maharashtra 442301, India",ChIJgeVW9gdw0zsR-sptU4kKVBM,20.5400807,78.82789,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
2,"Sub District Hospital, Hinganghat","NH 7, Sant Tukdoji Ward, Hinganghat, Maharashtra 442301, India",ChIJY0rv4FVl0zsRY2zRM5mavZs,20.5425773,78.8436648,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
3,"Hatekar Hospital, Hinganghat","Nr Datta Madir, Bus Stop Rd, Dattamandir Ward, Hinganghat, Maharashtra 442301, India",ChIJq6N98DBl0zsR6bKhv_I-oZA,20.5514291,78.8432895,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
4,Mandhaniya Hospital,"Main Road, near Mahaveer Bhavan, Hinganghat, Maharashtra 442301, India",ChIJTWV59Kx60zsRGt749kIB-a4,20.5482135,78.83576699999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
5,Tulaskar Hospital,"Bus Stop Road, Guru Nanak Ward, Sindhi Colony, Hinganghat, Maharashtra 442301, India",ChIJD1R1VFJl0zsRxPUxCjLcGGI,20.5501789,78.8414482,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
6,"Saykar,s Hospital","Pothara Colony, Hinganghat, Maharashtra 442301, India",ChIJz5tnIFVl0zsRgbH7oNRlVQQ,20.5438171,78.83953819999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
7,KATARIYA HOSPITAL,"Court road, Sindhi Colony, Hinganghat, Maharashtra 442301, India",ChIJkR1Nk6x60zsRZhoOot2xBzI,20.5505728,78.8411405,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
8,Ostwal Hospital,"Dag Borkhedi, Hinganghat, Maharashtra 442301, India",ChIJHdCm2K160zsRfIOuGrk0BXU,20.5503673,78.8326154,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
9,"Karva Hospital,Heart Specialist","Dag Borkhedi, Hinganghat, Maharashtra 442301, India",ChIJbbPVJax60zsRZ1wH26ArfIQ,20.5484519,78.8329661,"['hospital', 'health', 'point_of_interest', 'establishment']",Hinganghat
