,place_name,address,place_id,latitude,longitude,types,city
0,Alliance Multispeciality Hospital Ichalkaranji,"Ward no 15, Behind Suraj Gas Godown, Chandur Road, Ichalkaranji, Maharashtra 416115, India",ChIJn_ELHYbiwDsROipfohBhRK4,16.6816872,74.4475959,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
1,Niramaya Multispeciality Hospital,"691/1, Ring Rd, Tambe Mala, Ichalkaranji, Maharashtra 416115, India",ChIJUxbqBnTiwDsRMdf2B-O322w,16.689365,74.470739,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
2,Sahayog Eye Hospital Dr. Rajkumar Patil,"Kagwade Mala, Ichalkaranji, Maharashtra 416115, India",ChIJE3E9_2_iwDsRizVm8Prdx4A,16.6823938,74.4644409,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
3,Dr. Pathan Hospital,"Kagwade Mala, Ichalkaranji, Maharashtra 416115, India",ChIJr11HJ3viwDsRmpbuslW7jfo,16.6836821,74.4613324,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
4,Ruikar Children's and Women's Hospital,"Kolhapur Rd, opposite ASC college, Kagwade Mala, Ichalkaranji, Maharashtra 416115, India",ChIJN7reE4DiwDsRPQNeCJTasSw,16.6922399,74.4516007,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
5,Hupare Hospital,"Sodage Mala, Kagwade Mala, Ichalkaranji, Maharashtra 416115, India",ChIJqaqq_XriwDsR0Ujg5dLZ4Rs,16.68501,74.46160449999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
6,Aadhar Hospital,"4/108, Ichalkaranji, इचलकरंजी, Rajwada, Ichalkaranji, Maharashtra 416121, India",ChIJ0UZEm3LiwDsRjU2ye9ZlfhE,16.6837814,74.473754,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
7,"Katkar Maternity And Surgical Hospital, Ichalkaranji - 416115","5/33, Natyagruha Road, Kagwade Mala, Ichalkaranji, Maharashtra 416115, India",ChIJIc8EdG_iwDsRQCjuTaNJ7cg,16.6796747,74.4654688,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
8,Siddhivinayak Hospital,"Draga chouk, near satyaraj wachanalay, Kabnur, Ichalkaranji, Maharashtra 416116, India",ChIJJ-qGGGUdwTsRdqiYlrOZRTo,16.7015394,74.4393467,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
9,Sourabh Hospital,"16, 576, opposite Shahu Highschool, Kagwade Mala, Ichalkaranji, Maharashtra 416115, India",ChIJewvcRnviwDsRTXPBWZEF2Kk,16.6835091,74.4597211,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
10,Lata Surgical Hospital,"Awade Nagar, Mahadev Nagar, Ichalkaranji, Maharashtra 416115, India",ChIJKc0VZ2_iwDsRx8e-pz1UDtU,16.6786833,74.4647617,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
11,Dr. Rasal Eye Hospital,"Panchvati Talkies Road, Tambe Mala, Ichalkaranji, Maharashtra 416115, India",ChIJwZQTxX_iwDsRl0ihnK4gXMc,16.6914437,74.4534146,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
12,Omkar Hospital,"Kagwade Mala, Ichalkaranji, Maharashtra 416115, India",ChIJZ8Ipzm_iwDsR4vAx_OyeJc8,16.6823195,74.46669589999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
13,Sakharpe Hospital,"Kagwade Mala, Ichalkaranji, Maharashtra 416115, India",ChIJuXfL63riwDsRAGJrnmetgN8,16.6843759,74.4625002,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
14,Pink Lotus Hospital,"Jawaharnagar, Ichalkaranji, Maharashtra 416116, India",ChIJQVUpL3wdwTsRB_3muwpisCY,16.6963681,74.4463111,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
15,Dr. Ashok kajave Children Hospital and maternity home,"bus stand, Near main, Main Rd, Ichalkaranji, 416115, India",ChIJN67A7n7iwDsRFI9wVs5B8SY,16.6898275,74.4565748,"['hospital', 'health', 'point_of_interest', 'establishment']",Ichalkaranji
