,place_name,address,place_id,latitude,longitude,types,city
0,Orchid Multi Superspeciality Hospital,"Plot No.271/272(P), Opp R.R High School, Jilha Peth, Old B J Market, Jalgaon, Maharashtra 425001, India",ChIJT3DAl6UP2TsRFlA2XVoVcM0,21.0094606,75.5663218,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
1,Ganpati Hospital,"N.H.No.6, Pi.No.327,328, Akashwani Chauk, Vidya Nagar, Jalgaon, Maharashtra 425001, India",ChIJn81CTrIP2TsR1C-LyK3h-QI,20.9996139,75.56010239999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
2,Varad Hospital,"N H No 6, near Gujral Petrol Pump Square, Jalgaon, Maharashtra 425001, India",ChIJl1nkTt0P2TsRtu3-p7aLYs8,21.0164077,75.5389519,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
3,Arogyadeep Hospital,"Ring Road, Khajamiya, Chowk, Near Samaj Kalyan Office, Pratap Nagar, Jalgaon, Maharashtra 425001, India",ChIJA0U-A7kP2TsRLeqwWXhTzZE,21.0104484,75.5540759,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
4,Raisoni Hospital,"Mahatma Gandhi Rd, near Session Court, Navi Peth, Jaikisan Wadi, Jalgaon, Maharashtra 425001, India",ChIJpwMFQKMP2TsRwyxHxW5fZGQ,21.0150228,75.56402419999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
5,Indo-American Hospital,"Yash Plaza, Pimprala Rd, Pratap Nagar, Jalgaon, Maharashtra 425001, India",ChIJq6qqqqUP2TsRMTXWYDaJs8M,21.0144199,75.5601656,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
6,"Aashirwad Hospital, Jalgaon","Plot no1, Bhaskar Market Rd, Jilha Peth, Jalgaon, Maharashtra 425001, India",ChIJz6N-gXUP2TsRzPfNzuajYgs,21.0024143,75.55925189999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
7,Chinmay Hospital & Critical Care Center,"13, near Pandey Dairy Chowk, Onkar Nagar, Jaikisan Wadi, Jalgaon, Maharashtra 425001, India",ChIJAxAfUK8P2TsRRxjotA2hETA,21.0074178,75.5677522,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
8,Chopda Super Speciality Hospital,"Krushak bhavan Court Chauk, Navi Peth, Jalgaon, Maharashtra 425001, India",ChIJ8z9QTLsP2TsRcH-3ZE4mqu8,21.0125124,75.562382,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
9,Atharva Hospital,"New Joshi Colony, Prabhat Colony, Jalgaon, Maharashtra 425001, India",ChIJWQY_Wa4P2TsRPFwx5kZUNWc,21.0029903,75.5646129,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalgaon
