,place_name,address,place_id,latitude,longitude,types,city
0,Care Hospital Old Jalna,"Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213, India",ChIJZbRu-0NX2jsR2FlkV7SONDg,19.8401537,75.88316999999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
1,Deepak Hospital,"Town Hall, Millat Nagar, Old Jalna, Jalna, Maharashtra 431213, India",ChIJcZvtmURX2jsRYEWta63AXqc,19.8416376,75.88636439999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
2,Jalna Hospital,"Aambad Chowfully Chowk, Ambad Road, Mahusul Colony, Jalna, Maharashtra 431203, India",ChIJk4HsAHJX2jsRH4fFPEbglBQ,19.823128,75.882193,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
3,Shrikrushna Hospital & ICU,"Priyanka Residency, Mantha Choufuli, Jalna - Jintur Road,, Jalna, Maharashtra 431203, India",ChIJ9wp4ZutZ2jsR8mtk7qT8SEY,19.8431783,75.92102419999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
4,Jalna Mission Hospital,"Jalna Rd, Gajanan Colony, Gyatri Nagar, Jalna, Maharashtra 431203, India",ChIJMawMqPxZ2jsRRKC_bkiVFQ8,19.8490946,75.90548439999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
5,"Women Hospital, Jalna","Jalna, Maharashtra 431213, India",ChIJjzzgr1xX2jsRBRpu3_diy88,19.8405035,75.888893,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
6,Santkrupa Hospital,"112, Jintur Hwy, Prithisudhaji Nagar, Vyankatesh Nagar, Jalna, Maharashtra 431203, India",ChIJByPWX-xZ2jsRjJJOyZ7pwUI,19.8451823,75.92004179999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
7,Gadiya hospital,"Sambhaji Nagar, Jalna, Maharashtra 431203, India",ChIJQRPV1k9X2jsRIMonR3yARcU,19.8493788,75.8877399,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
8,"District Hospital, Jalna","Maharashtra Jeevan Pradhikaran, Jalna, Samarth Nagar, Jalna, Maharashtra 431213, India",ChIJnQ7dERVX2jsRq0DkG05P95A,19.8323008,75.8744876,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
9,Om Hospital,"Near Shivaji Statue, Gawali Pura, Jalna, Maharashtra 431203, India",ChIJTcfs5ONZ2jsRLu256DVlxoc,19.842965,75.90482999999999,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Jalna
10,Shree Samarth Hospital,"Kacheri Road, Near Gandhi Chaman, Jalna, Old Jalna, Jalna, Maharashtra 431213, India",ChIJVVVVFXRX2jsRcgRUgWUcKFg,19.8158575,75.88099,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
11,Warkad Hospital,"Jai Shankar Nagar, Shree Krishna Nagar, Jalna, Maharashtra 431203, India",ChIJLZPlVK1Q2jsRkVgs-pyHUjk,19.8587013,75.8884777,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
12,Shinde Hospital,"Shivaji Nagar, Sambhaji Nagar, Jalna, Maharashtra 431203, India",ChIJOyzVEU5X2jsRGSYZqTrbXnQ,19.8518877,75.8873366,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
13,Panchsheel Hospital,"Badi Sadak, Sangram nagar, Rahman Ganj, Jalna, Maharashtra 431203, India",ChIJQyXWkP1Z2jsR9mjGeTvjXH8,19.8521548,75.90053,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
14,Rajendra Hospital,"Opp Bagdia International Hotel, Shree Krishna Nagar, Jalna, Maharashtra 431203, India",ChIJsUWzSFJX2jsR3JILeCbPXHc,19.8544871,75.89033409999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
15,Vivekanand Hospital,"Opp. Jilha Madhyavarti Sahakari Bank Deulgaon Raja Road, Jalna, Maharashtra 431203, India",ChIJbdsYRfpZ2jsR1ImJhF8avPY,19.8529729,75.89786699999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
16,Niramay Hospital,"Railway Station Road, Madhuban colony, behind Priyanka Hero, Trimbakdas Mantri Nagar, Laxminarayanpura, Jalna, Maharashtra 431213, India",ChIJD17DnV5X2jsRuMvC9GgU7kQ,19.8390474,75.8933036,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
17,Ambekar Hospital,"Sai Nath Nagar, Shakuntala Nagar, Jalna, Maharashtra 431203, India",ChIJvSGnnexZ2jsRpyZlXf3hz0E,19.8439353,75.9211117,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
18,Mauli Sparsh Hospital and Maternity Home,"Jalna,, Sambhaji Nagar, Jalna, Maharashtra 431203, India",ChIJ40-95k1X2jsRkwPtdQ_8D8E,19.8531784,75.8871024,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
19,Aai Hospital,"Maharashtra State Highway 30, 431203, Jalna-Beed Rd, Ayodhya Nagar, Maharashtra, India",ChIJs6klMQ1X2jsRL2hd7PRLd-Q,19.8208684,75.87612229999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
20,Karwa Hospital,"1-28-3, SH177, Karwa Nagar, Jalna, Maharashtra 431203, India",ChIJLVgKZuRZ2jsRqZAs5YrLEAw,19.8448962,75.90677130000002,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
21,Sanjeevani Hospital,"Plot No 17, Rushi Park, Ambad Chuffull, Jalna, Maharashtra 431213, India",ChIJLUhRbG5X2jsRzjE1JatHP3k,19.8250188,75.8833451,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
22,Kakad hospital,"Kakad hospital, near Shani mandir Chowk, Saraf Nagar, Old Jalna, Maharashtra 431203, India",ChIJQ7_sxENX2jsRKZXiDWrbOro,19.8387811,75.88322339999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
23,Shri Krishna Hospital,"Jalna, Maharashtra 431203, India",ChIJZRw1ZetZ2jsR3afKk7WcDso,19.8430028,75.9210463,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
24,VARAD HOSPITAL AND CRITICARE,"near flyover, corner, Bhagya Nagar, Jalna, Maharashtra 431213, India",ChIJ_30WXkNX2jsRHHufWT6yc08,19.8386461,75.8825616,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
25,Sant Gadge Baba Multispeciality Hospital Jalna,"Samarth Nagar, Jalna, Maharashtra 431213, India",ChIJRW8TUhVX2jsRF-wJWDEwRYE,19.8337382,75.8763537,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
26,Agarwal Hospital,"Unnamed Road, Prithisudhaji Nagar, Vyankatesh Nagar, Jalna, Maharashtra 431203, India",ChIJVwGs1OhZ2jsRPG4xcN_6vfA,19.843194,75.91406529999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
27,Aradhye Hospital,"Karwa Nagar, Jalna, Maharashtra 431203, India",ChIJZfIox-VZ2jsRmlqgPpFnCMI,19.844178,75.9096292,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
28,Psychiatry Hospital,"Sambhaji Nagar, Jalna, Maharashtra 431203, India",ChIJ7QFOLU5X2jsRLn7XbEECZ1o,19.851106,75.8904936,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
29,Jalna critical care hospital,"Mantha chufuli, Jintur Rd, Telecom Colony, Jalna, Maharashtra 431203, India",ChIJU1kxGKNZ2jsRdTRqW-fyuG0,19.8437278,75.9200046,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
30,Sahyadri Hospital (Dr Pratap Ghodke),"Civil Hospital Road, Samarth nagar, behind satkar complex, Old Jalna, Jalna, Maharashtra 431203, India",ChIJvX6PeUhX2jsRDXz7Aa3GBZM,19.8299713,75.87956729999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
31,Dargad Hospital,"Jintur Rd, Karwa Nagar, Jalna, Maharashtra 431203, India",ChIJs7jfxOVZ2jsRTW4XMigafBs,19.8438041,75.9096466,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
32,Mauli Hospital,"Mauli Hospital, Mahatma Phule, Chouk, Chandanzira, Jalna, Maharashtra 431203, India",ChIJ6VIzAMZR2jsRGMeNoAgPlvM,19.8594821,75.85222139999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
33,Kayande Hospital,"Prithisudhaji Nagar, Vyankatesh Nagar, Jalna, Maharashtra 431203, India",ChIJ0ba9K-lZ2jsRUw_yf58sncw,19.8430498,75.91464959999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
34,Mantri Hospital,"Dr Rajendra Prasad Rd, Next to Annapurna Tea House, Bhumika, Mission Compound, Jalna, Maharashtra 431203, India",ChIJVRfIYuNZ2jsRnym_jLBfVnY,19.8462454,75.9055817,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
35,Om Bal Rugnalaya,"Vyankatesh Nagar, Jalna, Maharashtra 431203, India",ChIJT7LLHOZZ2jsRatRMVIJg9c8,19.8418942,75.91130299999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
36,Manas Hospital,"Nhava Choufully, beside Ryan International School, Sai Nath Nagar, Shakuntala Nagar, Jalna, Maharashtra 431203, India",ChIJdf66hOxZ2jsRuRhnT1E2eF0,19.8452621,75.92062419999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
37,Guru Ganesh Mutha Hospital,"near D C Petrol Pump, Rahman Ganj, Jalna, Maharashtra 431203, India",ChIJc7A1LlhX2jsRjnFLvzoeROQ,19.845895,75.89682499999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
38,Matrutva Hospital,"Vyankatesh Nagar, Jalna, Maharashtra 431203, India",ChIJk8vW7ulZ2jsRejwtWzlzg58,19.8385299,75.91623109999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
39,Sai Hospital' Jalna,"Sai Nath Nagar, Shakuntala Nagar, Jalna, Maharashtra 431203, India",ChIJpa1hXetZ2jsRCz4sZn6O600,19.8448985,75.9227375,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
40,Prayag Hospital,"Masoba Road, Railway Station Rd, Trimbakdas Mantri Nagar, Laxminarayanpura, Jalna, Maharashtra 431203, India",ChIJGQlRd2dX2jsRJ0JAoK_yIE0,19.8348547,75.8914877,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
41,Matoshree hospital,"Vyankatesh Nagar, Jalna, Maharashtra 431203, India",ChIJPfu78ONZ2jsRZOjt6f9dI_E,19.8433286,75.9052474,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
42,Varad Hospital,"Satyam Nagar, Chandanzira, Jalna, Maharashtra 431213, India",ChIJhRO8RypR2jsRpvQoCEliImk,19.859924,75.85133499999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
43,Aastha Hospital & ICU,"BALAJI CHOWK, Bhokardan Rd, Opposite Balaji Temple, Sambhaji Nagar, Jalna, Maharashtra 431203, India",ChIJPTvTFU5X2jsR8mNWGOPrSUo,19.8514501,75.8871308,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
44,Ambika Hospital,"Laxminarayanpura, Jalna, Maharashtra 431213, India",ChIJuYbXWVxX2jsRklbxLdG1oY8,19.8392572,75.8913808,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
45,Soni Hospital,"azad ground, Karwa Nagar, Jalna, Maharashtra 431203, India",ChIJb4ZPyuVZ2jsRAaRGybysNOM,19.844143,75.90881499999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
46,Varad Hospital,"satyam Nagar, Chandanzira, Jalna, Maharashtra 431213, India",ChIJ_f___9RQ2jsRkQHON2uqIZ8,19.8589783,75.8563004,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
47,Minakshi Child Hospital,"Mantha Rd, Sai Nath Nagar, Shakuntala Nagar, Jalna, Maharashtra 431203, India",ChIJiSseqJRZ2jsR4lFuqfUmmCw,19.84402,75.923745,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
48,Sai Bal Rugnalaya (Hospital),"Sambhaji Nagar, Jalna, Maharashtra 431203, India",ChIJP8ElQlBX2jsRqirV7kE1B70,19.8487292,75.89009329999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
49,Shree Hospital,"Mastgarh, Rahman Ganj, Jalna, Maharashtra 431213, India",ChIJBfvHc1tX2jsREem3NX2Ee-c,19.8425493,75.8906579,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
50,Ambekar Eye Hospital,"Bhumika, Mission Compound, Jalna, Maharashtra 431203, India",ChIJk4XnI-VZ2jsR7Cb1iAX1yBU,19.8474496,75.9089195,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
51,Hawaldar Hospital,"JES College Rd, Gajanan Colony, modikhana, Jalna, Maharashtra 431203, India",ChIJr-a0xPxZ2jsRI0yHeymazjM,19.8492338,75.9035043,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
52,Meher Hospital,"meher hospital, Milan chowk, Old Jalna, Maharashtra 431213, India",ChIJs2iG80RX2jsRvptI4TapvEw,19.8426849,75.8855741,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
53,Shewale Hospital,"Unnamed Road, Markandey Nagar, Vyankatesh Nagar, Jalna, Maharashtra 431203, India",ChIJoWYryOdZ2jsRe7vsGY0VoZI,19.8394662,75.9100448,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
54,Shashwat Piles Hospital,"opposite of Town Hall, Incometax Colony, Jalna, Maharashtra 431213, India",ChIJISJ4ZENX2jsR-aXEKd-Lmw0,19.840648,75.886226,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
55,Kulkarni Hospital,"Dhangarpura, Jalna, Maharashtra 431203, India",ChIJI__B7P1Z2jsRgpZos1DMLvQ,19.8524904,75.9008936,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
56,Giriraj hospital,"Income Tax colony DP Rd, Incometax Colony, Millat Nagar, Jalna, Maharashtra 431213, India",ChIJ6_m8xkRX2jsR0oGn_1HNDiE,19.8371882,75.8869306,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
57,Jayshree Hospital,"Mahyco Colony, Jalna, Maharashtra 431203, India",ChIJsZ5cPuVZ2jsRXQHcXR8IBSY,19.8473995,75.9097135,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
58,Jinturkar Samyak Hospital,"Prithisudhaji Nagar, Vyankatesh Nagar, Jalna, Maharashtra 431203, India",ChIJRRqaKulZ2jsRy_NOfBv0f30,19.8431592,75.9144283,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
59,Minashi Bal Rugnalay,"6, Sai Nath Nagar, Shakuntala Nagar, Jalna, Maharashtra 431203, India",ChIJ876lMe1Z2jsR0UEjXMIerFg,19.8477208,75.9226051,"['hospital', 'health', 'point_of_interest', 'establishment']",Jalna
