,place_name,address,place_id,latitude,longitude,types,city
1,Indira Hospital,"Murlidhar Ali Rd, Gaondevi Chowk, behind Gaondevi Mandir, Kalyan West, Kalyan, Maharashtra 421301, India",ChIJ5bF17teV5zsR1FrRx6Wo3mY,19.2455303,73.1240914,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
2,Amey Multispecialty Hospital,"Skylon Tower, Chakki Naka, Kalyan, Maharashtra 421306, India",ChIJiW9f7DWV5zsRmm_rf94gpB0,19.2233805,73.1256547,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
3,Aayush Hospital,"Shopping Complex, Building No. E2, 2nd & 3rd Floor, Radha Nagar, Khadakpada, Kalyan, Maharashtra 421301, India",ChIJsSlZ4YaW5zsR4UjSiXvflcw,19.2556074,73.1382288,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
4,Neptune Superspeciality Hospital,"Kalyan - Shilphata Rd, Sonar Pada, Dombivli East, Dombivli, Maharashtra 421203, India",ChIJkTLs93eV5zsRE-ugGo0Ey5I,19.2009777,73.1032537,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
5,Phadke Hospital,"Gaurav Prasad Building, Paranaka, opposite Gajanan Maharaj Mandir, Kalyan, Maharashtra 421301, India",ChIJGfPBL9iV5zsRn85fd7yyNjM,19.244186,73.122608,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
6,AUXILIUM HOSPITAL (Multi speciality & Critical Care Centre),"100 Feet Rd, Near Relax Hotel, Kalyan East, Adivali, Dhokali, Dombivli East, Kalyan, Maharashtra 421306, India",ChIJXYdfpK2V5zsRt0dX3YNJ7Qk,19.2107953,73.13160090000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
7,ICON Hospital,"ICON Hospital, Manpada Rd, Ganesh Nagar, Dombivli East, Dombivli, Maharashtra 421201, India",ChIJLebWyYmV5zsR3qqQBIF6gZU,19.2078173,73.0942917,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
8,Shivam Hospital: Multispeciality Hospital in Dombivli,"Plot No. 57, C.R.W. CHS, Kalyan Rd, near M.I.D.C. Water Tank, Dombivli East, Dombivli, Maharashtra 421203, India",ChIJ68wCi5GV5zsRsAh2dw1oFtE,19.2154599,73.10114039999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
9,Kalyan Metro Multispeciality Hospital,"Anant Sudha Bhavan Gopal Chowk Chakki Naka, Kalyan East, Mumbai, Maharashtra 421306, India",ChIJwVKazsmV5zsREZVBm5MeGgg,19.224087,73.12461859999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
11,Kalyan Dombivali Municipal Clinic,"421306, Kolsewadi, Shivaji Colony, Kalyan, Maharashtra 421306, India",ChIJhTdzazOU5zsRQCQ8DMcm_7Y,19.2316989,73.1367151,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
12,Jan Kalyan Multispeciality Hospital,"Malang Road, Malangad Road opp.kalyan janta shakari bank, Kalyan East., Kalyan, Maharashtra 421306, India",ChIJoQPf_bOV5zsRN9o7e2khAcM,19.2177678,73.129206,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
14,Jeevan Jyoti Hospital,"Him Sagar Apartment, Malang Gad Rd, Kalyan, Maharashtra 421306, India",ChIJT-zD87aV5zsRceqrHaC7-W4,19.2204193,73.12727989999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
15,Manav Kalyan Kendra Hospital,"Sharda Apartment, Ground, 1st & 2nd Floor, TATA Power Lane, Joshi Wadi, Tilak Nagar, Dombivli East, Dombivli, Maharashtra 421201, India",ChIJBeuP2YuV5zsR2dysTk9EMHU,19.2148654,73.0915761,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
16,AIMS Hospital,"M.I.D.C., Milap Nagar, Dombivli East, Dombivli, Maharashtra 421203, India",ChIJq4YhhpmV5zsRLMozr2NHsSc,19.2079027,73.10562449999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
17,Balaji ENT and EYE Hospital,"1st Floor, A Wing, Bhagwatiashish Apt Syndicate, Kalyan-Murbad Rd, Kalyan West, Kalyan, Maharashtra 421301, India",ChIJs3GWAi-U5zsRJooaDwGzo_Y,19.2400972,73.1435182,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
18,Jeevanshree Hospital,"R.P. road, opposite tilak nagar post office, ground floor, Guru milan CHS, Dombivli, Maharashtra 421201, India",ChIJ56nXA4yV5zsRnEoFaGs0Nzs,19.214941,73.09405799999999,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Kalyan-Dombivli
