,place_name,address,place_id,latitude,longitude,types,city
0,Aster Aadhar Hospital,"Near, R. S. No. 628, 'B' Ward, near KMT Workshop, Shastri Nagar, Kolhapur, Maharashtra 416012, India",ChIJ__NorS_SQRER_WKZjDpMTVA,16.6852076,74.2380163,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
1,Krishna Hospital,"Near Sambhajinagar S T stand Road, Kolhapur, Maharashtra 416012, India",ChIJDbBwFaqqwTsRX14jAfJQ3Vo,16.679605,74.216442,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
2,Athaayu Hospital Kolhapur,"Bengaluru - Mumbai Hwy, Ujalaiwadi, Kolhapur, Maharashtra 416004, India",ChIJ3c8_sS7-wDsR6UiRbX-1CyQ,16.6733187,74.2717624,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
3,Apple Saraswati Multispeciality Hospital,"804/2, 805/2, E Ward, Circuit House To Kadamwadi Road, Bhosalewadi, Kolhapur, Maharashtra 416003, India",ChIJq6qq6lYAwTsRYvREyFdDN9g,16.7224359,74.254611,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
4,Panchganga Rugnalay,"D Ward, Shukrawar Peth, Kolhapur, Maharashtra 416002, India",ChIJqYpWeXUAwTsRPQCK0_W1JK0,16.7008142,74.21834530000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
5,Hospital,"4th Ln, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416001, India",ChIJdwMkWD4AwTsRy1XUs7Ghfbg,16.696676,74.244203,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
6,City Hospital Rajarampuri,"8th Ln, near city hospital, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India",ChIJVVVVFTkAwTsRzG8Zz--846Y,16.694062,74.243087,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
7,Diamond Hospital,"Kasaba Bawada Main Rd, next to Mahaveer College, Ramanmala, Kolhapur, Maharashtra 416003, India",ChIJBfhxW2UAwTsRbJTklFCo55s,16.7111041,74.2305824,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
8,Hospital,"14, 12th Ln, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India",ChIJB1mcejwAwTsRuQj7v4qvvbc,16.6925757,74.24666959999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
9,pravara hospital,"Mangalwar Peth, C Ward, Kolhapur, Maharashtra 416012, India",ChIJlSeoJwgAwTsRoCKHpJp3M7U,16.6884759,74.2187958,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
10,city hospital,"8th Ln, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India",ChIJk-2ZKDwAwTsRXOUzqk0724A,16.6943622,74.24503610000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
11,Ganesh Hospital,"Azad Chowk शाहू मिल मार्ग near to Uma Talkies, Kolhapur, Maharashtra 416012, India",ChIJK7gv0GwAwTsRJfOJxByP2iI,16.6913085,74.244866,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
12,Kolhapur Maternity Hospital,"4th Lane, Rajarampuri, Kolhapur, Maharashtra 416008, India",ChIJzRExPz4AwTsRZ_SEIwYPNnQ,16.6961937,74.2427534,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
13,Ganga hospital,"Ganga hospital,147 A ward,near rankalavesh bus stand,dudhali, Kolhapur, Maharashtra 416008, India",ChIJDZMnbqCqwTsRXyR0MJ6vo3w,16.6963638,74.2171339,"['hospital', 'health', 'point_of_interest', 'establishment']",Kolhapur
