,place_name,address,place_id,latitude,longitude,types,city
0,Alpha Superspeciality Hospital,"Ambajogai Road, Shyam Nagar Rd, near Muktai Mangal Karyalay, Latur, Maharashtra 413531, India",ChIJRTw_FOmDzzsRNPLR3yD9Xsw,18.4051786,76.5653086,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
1,Mamta Hospital,"Near, Shivaji Chowk, Mitra Nagar, Sawe Wadi, Latur, Maharashtra 413512, India",ChIJyRJ97umDzzsREZSzDJzo4uU,18.3990826,76.5651869,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
2,GAYATRI HOSPITAL LATUR,"Gayatri Nagar, Barshi Rd, opp. new collector office, Latur, Maharashtra 413531, India",ChIJk9z3h0WBzzsRgAeiPa2F5eA,18.4094685,76.5344018,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
3,Sadasukh Hospital,"Sawe Wadi, Latur, Maharashtra 413531, India",ChIJfSwbLZWDzzsRZh9p3qRwzD4,18.3987086,76.5730919,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
4,Mandade Hospital,"Barshi Road Near Water Tank, Maharashtra Co-Operative Housing Society, Latur, Maharashtra 413531, India",ChIJ64qEEOODzzsRghDyu3QCOTs,18.4062821,76.5524628,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
5,Warad Hospital,"Ausa Hanuman Rd, Sawe Wadi, Latur, Maharashtra 413531, India",ChIJF5-ZzJWDzzsR87r55WkQLp8,18.4010547,76.57666499999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
6,Barmade Hospital Latur,"Barmade Hospital & LIFE Advanced Test Tube Baby Center, Opp . Datta Mandir, Adarsh Colony Stop, Ausa Road, Latur, Maharashtra 413531, India",ChIJMahzzdqDzzsRiG-xtfIvn-s,18.3865956,76.5606888,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
7,Jaju Hospital,"Ausa Rd, Deshpande Colony, Latur, Maharashtra 413512, India",ChIJaYY9Q8ODzzsRSM2G08cjKiw,18.3922838,76.5614911,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
8,Apex Hospital Latur,"bus stand, Besides apex hospital,opp to main, Latur, Maharashtra 413512, India",ChIJ052_L5aDzzsRtxn_g_fh-EA,18.3992378,76.5794739,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
9,sahara hospital latur,"aysha, Ayesha Colony, Sawe Wadi, Latur, Maharashtra 413531, India",ChIJAWt89euDzzsRJTDjPXELfVU,18.4035119,76.5674599,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
10,Vivekanand Medical Foundation And Research Centre,"Vidya Nagar, Signal Camp, Latur, Maharashtra 413512, India",ChIJqVe8v7-DzzsREcZUFhNAw9A,18.3964843,76.5735749,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
11,Gojamgunde Hospital Latur,"Manthale Nagar, Moti Nagar, Latur, Maharashtra 413512, India",ChIJI2P2vryDzzsR-NpWQXYluHE,18.3941539,76.5822416,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
12,Mundada hospital latur,"Nandi stop, Sitaram Nagar, Narayan Nagar, Latur, Maharashtra 413512, India",ChIJeU3N9siDzzsResEgr6KbclA,18.3919567,76.5645935,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
13,The Spine And Trauma Hospital Latur,"Babasaheb Paranjape Marg, Sawe Wadi, Latur, Maharashtra 413531, India",ChIJhYh282CDzzsRNgYpyuazL4g,18.3996686,76.5719829,"['hospital', 'health', 'point_of_interest', 'establishment']",Latur
