,place_name,address,place_id,latitude,longitude,types,city
0,Dwarkamani Hospital,"NH 3, Osiya Nagar, Maloji nagar, Malegaon, Maharashtra 423203, India",ChIJK_aWIpWZ3jsRUjVYA111oGU,20.5536228,74.5206154,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
1,Malegaon Hospital,"3, Hudco Colony Main Rd, Hudco Colony, Hudco Colony Main Rd, Hudco Colony, Dnyane, Malegaon, Maharashtra 423203, India",ChIJ40NML8eZ3jsRG555uZmh7AQ,20.5583189,74.5294217,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
2,Sparsh Hospital & Critical care Centre malegaon camp.,"Vardhaman Nagar, Malegaon, Maharashtra 423105, India",ChIJYWz5a8CZ3jsR2Z4C5YoPOkk,20.5567502,74.5246812,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
3,Morya Hospital,"Shivaji Putla, Opp. Panjrapol, Juna Agra Road, Malegaon, Maharashtra 423203, India",ChIJAfwmvbiZ3jsRK6zlLDDO13Q,20.5550753,74.5300453,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
4,"Sub District Hospital, Malegaon","Dnyane, Malegaon, Maharashtra 423203, India",ChIJyZfcL8eZ3jsRug2vmFBN83A,20.5580069,74.5293725,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
5,Sukhkarta Hospital,"Soygaon, Malegaon, Maharashtra 423105, India",ChIJYbHcU5WZ3jsRMLotv3gSsAQ,20.554838,74.5224369,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
6,Vaidya Hospital,"Malegaon - Satana Rd, Satana Naka, Osiya Nagar, Maloji nagar, Malegaon, Maharashtra 423203, India",ChIJTxoUX5WZ3jsR27m9DY5abHQ,20.5534142,74.5183936,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
7,Al Aziz Hospital Malegaon,"Mirza Ghalib Rd, Murtuza Bagh, Nayapura, Malegaon, Maharashtra 423203, India",ChIJZbZ3w7aZ3jsRUMGk1uTLXVk,20.5518817,74.53855999999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
8,Life Care Hospital,"60ft Road, Malegaon, Maharashtra 423203, India",ChIJu_Vur-uZ3jsR10bv_F2cT8k,20.5582614,74.51929129999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
9,Shah Hospital,"Samkit, Near Mauktik Corner, Vardhaman Nagar, Ekatmata Chowk, Malegaon, Maharashtra 423203, India",ChIJ4T5iH-qZ3jsRfT2Ie5fMBb4,20.5606292,74.521438,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Malegaon
10,Mauli Hospital,"AgricultureCollage Farm Area, Malegaon, Maharashtra 423105, India",ChIJ-aKmNu-Z3jsRaUd9gmPIhlw,20.5644804,74.5166443,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
11,Malegaon Accident Hospital,"Mominpura,, Mirza Ghalib Rd, Nayapura, Malegaon, Maharashtra 423203, India",ChIJlTPb97aZ3jsRIdoIcII95mA,20.5535778,74.53851999999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
12,PRAYAS HOSPITAL,"2, Soygaon College Rd, Soygaon, Malegaon, Maharashtra 423105, India",ChIJM-8ELuyZ3jsRt-v1jhKsgDo,20.5592471,74.5136895,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
13,Malegaon baby care Hospital,"659/60, Mohammad Ali Rd, Somwar Ward, Gulshanabad, Malegaon, Maharashtra 423203, India",ChIJ3xaKCrqZ3jsRZ6DLT2eKuBg,20.5491752,74.53435019999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Malegaon
