,place_name,address,place_id,latitude,longitude,types,city
0,Wockhardt Hospitals,"The Umrao IMSR, near Railway Station, Mira Road, Mira Bhayandar, Maharashtra 401107, India",ChIJJ_ICTU-w5zsRf2A9_oNk9wM,19.2842953,72.862231,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
1,Bhaktivedanta Hospital & Research Institute,"Bhaktivedanta Swami Marg, Sector 6, Sector 1, Srishti Complex, Mira Road, Mira Bhayandar, Maharashtra 401107, India",ChIJkXIZPF-w5zsR486BQiWoZbo,19.2701049,72.8704989,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
2,Indira Gandhi Municipal Hospital,"Poonam Sagar Rd, Poonam Sagar Complex, Mira Road, Mira Bhayandar, Maharashtra 401107, India",ChIJe1WC21Cw5zsRjNvxEdUzIGw,19.2741746,72.8608909,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
3,Suvarna Hospital,"First Floor, Chandan Valley, Mira Bhayandar Road, Mira Road E, near Brahmdev Mandir, Mira Bhayandar, Maharashtra 401107, India",ChIJJUkgVEaw5zsRK1nhm3AH91c,19.287862,72.866019,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
4,Vipassana Hospital,"Sheetal Swar, MTNL Road, Sheetal Nagar, Mira Road East, opp. Archies Gallery, Mira Bhayandar, Maharashtra 401107, India",ChIJ9fvQs0Ww5zsR5D-Irr0PgQs,19.2832002,72.8659016,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
5,Life - Line Hospital,"Wing-C, Mira Bhayandar Rd, Puja Nagar, Mira Road, Mira Bhayandar, Maharashtra 401107, India",ChIJcyA22U2w5zsRuLJCvDyDOKY,19.2949587,72.8560629,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
6,Shiv Om Hospital mother and child care.,"Mira Bhayandar Rd, opposite Golden Nest Complex, Geeta Nagar, Mira Road, Mira Bhayandar, Maharashtra 401107, India",ChIJbUKG_zaw5zsRFiQWHbXRpX8,19.2933075,72.8602365,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
7,Riddhi Siddhi Hospital,"1st Floor, Sheetal Plaza, Mira Bhayandar Rd, opposite Shivar Garden, Mira Road, Maharashtra 401107, India",ChIJWX6ptTC35zsRWG6X6lo93uM,19.2892719,72.8655996,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
8,Shree Krishnakripa Hospital,"101 - 105, Prachi Tower, Opposite Shiv Mandir, Thane West, 90 Feet Rd, Bhayandar West, Maharashtra 401101, India",ChIJS4KbqSyw5zsRRh2xzNtyV5M,19.2961112,72.8522193,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
9,Tembha Hospital,"Swami Satyanand Maharaj Rd, Near Maxus Mall, Bhayandar, Chandmal Nagar, Bhayandar West, Mira Bhayandar, Maharashtra 401101, India",ChIJQ3POUcyx5zsRkjO3arfj55U,19.2974719,72.84811719999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Mira-Bhayandar
