,place_name,address,place_id,latitude,longitude,types,city
0,Jaslok Hospital and Research Centre,"15, Pedder Rd, IT Colony, Tardeo, Mumbai, Maharashtra 400026, India",ChIJk3X00XbO5zsRx2UpTspHr3M,18.9715899,72.8098079,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
1,Lilavati Hospital And Research Centre,"A-791, Bandra Reclamation Rd, General Arunkumar Vaidya Nagar, Bandra West, Mumbai, Maharashtra 400050, India",ChIJkdTfyTjJ5zsRzOEZ0hMAeYg,19.0511282,72.8291996,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
2,Kokilaben Dhirubhai Ambani Hospital and Medical Research Institute,"Rao Saheb, Achutrao Patwardhan Marg, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053, India",ChIJaUzg1x625zsRJCynVxLFYDg,19.1312542,72.8250636,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
3,Zen Multi Speciality Hospital in Mumbai,"Plot No 425, 10th Road Near Sandu Garden, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India",ChIJ26nbE6fI5zsRlmURhME3d1Q,19.0559698,72.89680700000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
4,Seven Hills Hospital,"Marol Maroshi Rd, Shivaji Nagar JJC, Marol, Andheri East, Mumbai, Maharashtra 400059, India",ChIJ690opxfI5zsR05T02iSmmZU,19.1179997,72.8780374,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
5,Fortis Hospital Mulund,"Mulund Goregaon Link Rd, Nahur West, Industrial Area, Bhandup West, Mumbai, Maharashtra 400078, India",ChIJYdMKQV645zsRluAWkv57qWw,19.1614122,72.94165869999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
6,Breach Candy Hospital Trust,"60 A, Bhulabhai Desai Marg, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026, India",ChIJTZphhnnO5zsRzn8BB0ICCWA,18.972711,72.804394,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
7,P. D. Hinduja National Hospital & Medical Research Centre,"SVS Rd, Mahim West, Shivaji Park, Mumbai, Maharashtra 400016, India",ChIJywt0iM3O5zsRBrZ65In-eOM,19.0335001,72.838349,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
8,"Wockhardt Hospitals, Mumbai Central","Police Station, 1877 Doctor Anandrao Nair Marg Near Agripada, Mumbai Central, Mumbai, Maharashtra 400011, India",ChIJkZClnGjO5zsRwcGDYzFLyCw,18.9752486,72.82382179999999,"['hospital', 'dentist', 'doctor', 'health', 'point_of_interest', 'establishment']",Mumbai
9,Sir H. N. Reliance Foundation Hospital and Research Centre,"Prarthana Samaj, Raja Rammohan Roy Rd, Girgaon, Mumbai, Maharashtra 400004, India",ChIJ9ddLYhHO5zsRGsVCtHayaZ4,18.9590988,72.82023869999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
10,Global Hospital,"35, Dr E, Dr Ernest Borges Rd, opp. Shirodkar High School, Parel, Mumbai, Maharashtra 400012, India",ChIJi-OZVejO5zsR0w6PxRNIX6w,18.9993702,72.84058759999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
11,Bombay Hospital & Medical Research Centre,"12, Vitthaldas Thackersey Marg, Near to Liberty Cinema, New Marine Lines, Marine Lines, Mumbai, Maharashtra 400020, India",ChIJkwIlDeDR5zsRkVBOhODKuv4,18.941034,72.8274361,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Mumbai
12,Saifee Hospital,"15/17, Maharshi Karve Rd, Charni Road East, Girgaon, Mumbai, Maharashtra 400004, India",ChIJ5fYZmxrO5zsRrokKoLjCucg,18.9522505,72.8183075,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
13,Holy Spirit Hospital,"Mahakali Caves Rd, Sher E Punjab Colony, Andheri East, Mumbai, Maharashtra 400093, India",ChIJu6ZgoCfI5zsRQklnqjhBZoE,19.1284192,72.866633,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
14,Bhatia Hospital,"Tardeo Rd, Old Chikalwadi, Grant Road (W), Tardeo, Mumbai, Maharashtra 400007, India",ChIJ8TXS4HLO5zsRi9vVEbPHj2k,18.9657017,72.8133541,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
15,Sterling Wockhardt Hospital,"Sion - Panvel Expy, Sector 7, Vashi, Navi Mumbai, Maharashtra 400703, India",ChIJ17Nzf7bG5zsRCZ-8niP2VmI,19.0698822,72.98741129999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
16,Gokuldas Tejpal Hospital,"G. P. O, Near Police Commissioners Office, Lokmanya Tilak Rd, Fort, Mumbai, Maharashtra 400001, India",ChIJi75v8SDO5zsRfPOpr0EosDI,18.94505,72.8318278,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
17,Hinduja Healthcare - Hospital in Khar,"Marvela, 724, 11th Rd, Khar, Khar West, Mumbai, Maharashtra 400052, India",ChIJB1QwN8nJ5zsR-G89Y3NuURs,19.0679148,72.8353697,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
18,Nanavati Super Speciality Hospital,"Swami Vivekananda Rd, near LIC, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056, India",ChIJEWh-Pc_J5zsR4OeXX5dfoEQ,19.0958737,72.84011869999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
19,Holy Family Multispeciality Hospital Bandra,"St Andrews Rd, Bandra West, Mumbai, Maharashtra 400050, India",ChIJie0TXT7J5zsRjxl3Abj8ksI,19.0551638,72.82728809999999,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Mumbai
20,Uma Hospital,"Dosti Building, D'souza Nagar, 90 Feet Rd Mayfair Industrial Area Sakinaka, Andheri East, Mumbai, Maharashtra 400072, India",ChIJpSa-KnvI5zsRbYeXRUt1xIg,19.0945086,72.8870187,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
21,Kapadia Multispeciality Hospital,"Mahatma Gandhi Rd, Shri Nagar, Goregaon West, Mumbai, Maharashtra 400062, India",ChIJZQGixVG25zsRUatyS-MkYv8,19.1630733,72.8434572,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
22,Advanced Multispeciality Hospital,"CMPH Medical College Campus, Natakar Gadkari Marg, Gulmohar Rd, Irla, Vile Parle West, Mumbai, Maharashtra 400056, India",ChIJzVw2cMbJ5zsRZQNmH0OjqX8,19.1095785,72.8376138,"['hospital', 'health', 'point_of_interest', 'establishment']",Mumbai
