,place_name,address,place_id,latitude,longitude,types,city
0,"CARE Hospitals, Nagpur","Wardha Road Ramdaspeth 3 Farmland Panchsheel Square, Nagpur, Maharashtra 440012, India",ChIJE8x0UiDB1DsROvJ9tEunxeo,21.1381928,79.07904959999999,"['hospital', 'dentist', 'doctor', 'health', 'point_of_interest', 'establishment']",Nagpur
1,Kingsway Hospitals (Best Multispeciality Hospital in Nagpur),"SPANV Medisearch Lifesciences Pvt. Ltd., kingsway hospital 44, Kingsway Near Kasturchand Park, Nagpur, Maharashtra 440001, India",ChIJhcwsRejA1DsRgKqg3zgAVec,21.1546954,79.0849372,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagpur
2,Wockhardt Super Speciality Hospitals,"1643 North Ambazari Road Daga College, beside Lady Amritbai, Shankar Nagar, Nagpur, Maharashtra 440033, India",ChIJB90aN2LA1DsRKNSSiGo4nnk,21.1347198,79.05856229999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagpur
3,KRIMS Hospitals - Multispeciality | Critical Care Hospitals In Nagpur - NABH Accredited,"275, Central Bazar Road, New Ramdaspeth, Ramdaspeth, Nagpur, Maharashtra 440010, India",ChIJsf2OUY_A1DsRGummh19koig,21.132815,79.070385,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagpur
4,Meditrina Institute of Medical Sciences,"278, Central Bazar Road, Ramdaspeth, Nagpur, Maharashtra 440012, India",ChIJmR8-IpHA1DsRDT2tX3_8ySw,21.1330017,79.0711841,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagpur
5,Hospital In Nagpur - Mid City Hospital,"Pushpkunj Complex, , Nagpur-12 2 nd Floor, Near Center Point Hotel Ramdaspeth Nagpur-12, Nagpur, Maharashtra 440012, India",ChIJtbGW1Y_A1DsRS1ArObCIc9k,21.134528,79.075249,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Nagpur
6,Sunflower Hospital | General Physician Hospital In Nagpur,"3, E High Ct Rd, Shankar Nagar, East Shankar Nagar, New Ramdaspeth, Nagpur, Maharashtra 440011, India",ChIJyTkaIInA1DsRuXFRZ6EXBXc,21.1363807,79.0687107,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagpur
7,Orange City Hospital & Research Institute,"19, Khamla Road Veer Sawarkar Square Opposite to Jupiter College, Maharashtra 440015, India",ChIJzzuTu3i_1DsRWkc18ngYkQc,21.1126907,79.065423,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagpur
8,Shatayu Multispeciality Hospital,"26, Wardha Rd, Rahate Colony, Ramdaspeth, Nagpur, Maharashtra 440012, India",ChIJSaXncZDA1DsRyEYf_3ChW80,21.1338489,79.077784,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagpur
9,Kunal Hospital,"Koradi Road, Mankapur, Chowk, Jafar Nagar, Naxen Society, Nagpur, Maharashtra 440030, India",ChIJL5X_2hPB1DsRFr9gjdS6iy8,21.1835933,79.07919989999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagpur
