,place_name,address,place_id,latitude,longitude,types,city
0,Nanded Hospital,"Waghala, Doctor Lane, Khadakpura, Nanded-Waghala, Maharashtra 431601, India",ChIJ-cAgFmjW0TsR-ZrmBsRSFIE,19.159279,77.30849769999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
1,Sanjeevani Hospital,"Lalbadi, Shrawasti Nagar, Nanded-Waghala, Maharashtra 431602, India",ChIJxYmR_GXW0TsRqCx9DaVqW0M,19.1613436,77.3035598,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
2,Mahanagar Palika Nanded Hospital,"Near National Girls High School, Quilla Road, Nanded-Waghala, Maharashtra 431604, India",ChIJLVyyOzHW0TsRaA5kwSnr3mI,19.1434299,77.324776,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
3,Dr Mannikar Hospital Nanded,"Samrat Nagar, Hyder Bagh, Dashmesh Nagar, Harsh Nagar, Nanded-Waghala, Maharashtra 431601, India",ChIJc6sc0kDW0TsR1fOfJgiX3h4,19.1517501,77.3148499,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
4,Apeksha Hospital( Dr Shivraj Deshmukh),"Railway Station Rd, Gawalipura, Khadakpura, Nanded-Waghala, Maharashtra 431601, India",ChIJf-1XiELW0TsRSf9WHP0Z1Ko,19.1581512,77.3105309,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
5,"UHCC Shivajinagar Hospital, Nanded Waghala","City Municipal Corporation, Shivaji Putala, Khadakpura, Nanded-Waghala, Maharashtra 431601, India",ChIJ55CRKELW0TsR28nEUBy8Vn8,19.1553531,77.311685,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
6,Ashtvinayak Hospital and ICU,"Ghamodiya, Doctor Lane, Nanded-Waghala, Maharashtra 431601, India",ChIJ98iCOmjW0TsRR5F-ZfhinWc,19.1585549,77.308615,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
7,Bajaj Hospital,"bajaj hospital, Vazirabad, Nanded, Maharashtra 431601, India",ChIJ5UrKzkHW0TsRumFf7oovII8,19.1526115,77.3105097,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
8,Vithai hospital,"Doctor Lane, Khadakpura, Nanded-Waghala, Maharashtra 431601, India",ChIJb9GpyGnW0TsRG5tmPuAzOd4,19.1570759,77.30835830000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
9,Rehman Hospital,"Doctor Lane Road Number 2, railway station road Opposite SBI ATM, Khadakpura, Nanded-Waghala, Maharashtra 431601, India",ChIJrUfiImjW0TsRK2UIAtvegdg,19.1590804,77.3088649,"['hospital', 'health', 'point_of_interest', 'establishment']",Nanded Waghala
