,place_name,address,place_id,latitude,longitude,types,city
0,Rakshak Accident Hospital,"9B, near SBI Nandurbar Branch, Shivaji Colony, Nandurbar, Maharashtra 425412, India",ChIJ40Gs6ZUJ3zsR79TUAgOtRFI,21.3667976,74.2462056,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
1,"SHRI TULSI CRITICARE CLINIC ,NANDURBAR","Darmaraj Nagar, Nandurbar, Maharashtra 425412, India",ChIJb5dbgiAK3zsRrfnl5spQgr4,21.387705,74.2448419,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
2,Shinde Hospital And Surgical ICU,"Khodai Mata Road, Nehru Nagar, Nandurbar, Maharashtra 425412, India",ChIJQaseXZcJ3zsRKD16UHsG6aA,21.3697135,74.2514996,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
3,Patil Hospital,"Khodai Mata Road, Nandurbar, Maharashtra 425412, India",ChIJR_iRwJYJ3zsRAjkjPzikjz0,21.3693464,74.24883419999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
4,Madhuram Eye Hospital,"38, Khodai Mata Rd, Viral Vihar, Nandurbar, Maharashtra 425412, India",ChIJ5SYMO5cJ3zsRnrWDkaXqj9g,21.3697701,74.2511275,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
5,MADHURA MATERNITY HOSPITAL NANDURBAR,"61 rupaseth park near kaka ka dhabha ,behind upnagar police station nandurbar., India",ChIJOeovEPMJ3zsRpmPpix1d5lM,21.3792951,74.2390676,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
6,"District General Hospital, Nandurbar","NH753B, Dudhale Shivar, Nandurbar, Maharashtra 425412, India",ChIJg_W2vhme3zsRT24eUvWDzPE,21.3386398,74.2340854,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
7,Medicare Hospital,"Plot No.37, Taloda Rd, Kanhaiya Nagar, Nandurbar, Maharashtra 425412, India",ChIJM1A6AiAK3zsRy-kXRWzDzcA,21.3876361,74.2415376,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
8,Kilbil Hospital,"Bhuvaneshwar Nagar, Gandhinagar, Nandurbar, Maharashtra 425412, India",ChIJFUGfbYoJ3zsR_VWPWpHwTek,21.3867938,74.24560919999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
9,CHIRAYU CHILDREN HOSPITAL,"12,Manik Nagar Near State Bank of India, Dhule Road Nandurbar, Nandurbar, Maharashtra 425412, India",ChIJYeVYMJUJ3zsRL6KBZKO_ZEo,21.3755507,74.2427644,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
10,JAIN Children & General Hospital,"Lokmanya Dhule Road Railway Colony Nandurbar, 425412, India",ChIJMeJTNZQJ3zsRzhvFlza05Ew,21.367355,74.2458378,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
11,charak Hospital,"Chitte Nagar, Rupam Nagar, Nandurbar, Maharashtra 425412, India",ChIJ3xkFGfMJ3zsRwGcv11I7cEE,21.3788483,74.2397214,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
12,Saideep Hospital,"Swami Samartha Nagar, Gandhinagar, Nandurbar, Maharashtra 425412, India",ChIJoyErMIwJ3zsRBykyTdtX2Mk,21.3797416,74.246669,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
13,AKSHAY ENT HOSPITAL,"10, Manik Nagar, near LIC Office, Maharashtra 425412, India",ChIJA2R1ijYJ3zsRMouUmioIsYs,21.3655612,74.2466405,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
14,Navjeevan Hospital,"Taloda Rd, kanhaiyya nagar, Nandurbar, Maharashtra 425412, India",ChIJ-QjbqYoJ3zsRh60i1b9h4u8,21.3872143,74.2418987,"['health', 'point_of_interest', 'establishment']",Nandurbar
15,Dindayal Eye Hospital,"2, Girikunj Hsg. Society Khodai Mata, Mandir Rd, Nandurbar, Maharashtra 425412, India",ChIJXaJq04UJ3zsRPNEh1NLBv_Y,21.3714663,74.2579464,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
16,Shree Narayan Hospital,"Navnath Nagar, Viral Vihar, Nandurbar, Maharashtra 425412, India",ChIJCR2lT5QJ3zsRKH8_3wW9fTc,21.3678902,74.2452224,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
17,Kantalaxmi Shah Eye Hospital OPD,"Shivaji Colony, Nandurbar, Maharashtra 425412, India",ChIJ1_Iax5UJ3zsRHMqzS64Z-tE,21.3664956,74.2459095,"['health', 'point_of_interest', 'establishment']",Nandurbar
18,C D Mahajan Accident Hospital,"38, Khodai Mata Rd, Nehru Nagar, Nandurbar, Maharashtra 425412, India",ChIJYYso3JYJ3zsRiEQxEmHBSl8,21.3694279,74.2498356,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
19,KILBIL BALRUGNALAYA,"14 Bhagwati Nagar. Jijamata college road., Nandurbar, Maharashtra 425412, India",ChIJlz3kQ4oJ3zsRg751jNa5wxA,21.385821,74.245542,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
20,Dr Jayant Shah's SHAISHAV HOSPITAL,"LOKMANYA HOUSING SOCIETY, Nr Post Office, Nandurbar, Maharashtra 425412, India",ChIJhdibOJQJ3zsRJV0Nb-yfA48,21.3684478,74.2458922,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
21,Bhagwati ENT Hospital,"NH753B, near prakash oil mill, Arihant Nagar, Nandurbar, Maharashtra 425412, India",ChIJpfVOo4QJ3zsRd9GShxtpKtE,21.3783682,74.25831079999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nandurbar
