,place_name,address,place_id,latitude,longitude,types,city
0,Ashoka Medicover Hospitals | Best Hospitals in Nashik,"Sawata Mali Rd, Parab Nagar, Nashik, Maharashtra 422209, India",ChIJqci4RXvr3TsRKjy5rjfBZ9k,19.973512,73.7914263,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Nashik
1,"NIMS Hospital | Multispeciality Hospital in Nashik | Accident Hospital in Nashik | Best General, Psychiatry, Child Hospital in Nashik | Nursing Home in Nashik","Gangapur Rd, Thatte Nagar, Nashik, Maharashtra 422005, India",ChIJpwTEcprr3TsRHpeA0_FIm2I,20.009769,73.76384999999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nashik
2,Sahyadri Super Speciality Hospital Nashik,"Mumbai-Agra Road, Wadala Rd, near Nashik, Dwarka Circle, Maharashtra 422001, India",ChIJxaHcOB3r3TsRcWCe8rz2wnM,19.98924,73.793471,"['hospital', 'health', 'point_of_interest', 'establishment']",Nashik
3,"Wockhardt Hospital, Nashik","Wani House, Mumbai - Agra National Hwy, Wadala Naka, Nashik, Maharashtra 422001, India",ChIJnz9CbQPr3TsRqwkI4csXm14,19.9915858,73.7904216,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Nashik
4,Six Sigma Medicare & Research Ltd - Best Multispeciality Hospital & Accidental Hospital in Nashik,"Satguru's, Mahatma Nagar Water Tank Rd, opp. Water Tank, Nashik, Maharashtra 422007, India",ChIJOcfBMILr3TsRRy5UEFx-uTk,20.0003437,73.75467929999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nashik
5,Nasik Rugnalaya,"Kaut Ghat Rd, Mumbai Naka, Bhagwant Nagar, Dr.Homi Bhabha Nagar, Nashik, Maharashtra 422001, India",ChIJhTRvvBzr3TsRRL4DOdWBqw0,19.9884856,73.7899374,"['hospital', 'health', 'point_of_interest', 'establishment']",Nashik
6,Apollo Hospitals Nashik,"Plot No. 1, Swaminarayan Nagar, New Adgaon Naka, Panchavati, near Lunge Mangal Karyalay, Nashik, Maharashtra 422003, India",ChIJJ1eIqF3q3TsR0tUCSs4lubY,20.0121955,73.81603679999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Nashik
7,Soham Hospital,"Near Rajiv Gandhi Bhavan, Third Floor, Suyojit Sankul, Sharanpur Rd, Sharanpur, Nashik, Maharashtra 422002, India",ChIJ3_PZr6Dr3TsRdg9W2Rm6Q8k,20.000808,73.776528,"['hospital', 'dentist', 'doctor', 'health', 'point_of_interest', 'establishment']",Nashik
8,Vakratunda Hospital Private Limited,"RAGHUKUL SANKUL( SALES TAX OFFICE ROAD), BEHIND HOTEL BANDHURAJ( MUMBAI AGRA HIGHWAY), PATHARDI PHATA,, Nashik, Maharashtra 422010, India",ChIJURvXW1Lr3TsRPnWgKBfxnRY,19.9551478,73.7576062,"['hospital', 'health', 'point_of_interest', 'establishment']",Nashik
9,Sopan Hospital & Neurology Institute,"Shri Hari Narayan Kute Marg, near Mahamarg Bus Stand, Mumbai Naka, Tidke Colony, Nashik, Maharashtra 422002, India",ChIJ5Y7oWA7r3TsR9yRGrvzHMmA,19.9913591,73.779113,"['hospital', 'health', 'point_of_interest', 'establishment']",Nashik
