,place_name,address,place_id,latitude,longitude,types,city
0,Apollo Hospitals,"Plot # 13, Parsik Hill Rd, Sector 23, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",ChIJsRMNc7DD5zsRfO6TOZnA-qA,19.0205055,73.02894049999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
1,MITR Hospital,"Plot:37, Eden Garden, Opposite Harmony International School, Sector-5, Kharghar, Navi Mumbai, Maharashtra 410210, India",ChIJf4dNyT7C5zsRGso-n487EUU,19.0372604,73.0584977,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
2,Reliance Hospital - Navi Mumbai,"Thane - Belapur Road, opp. Kopar Khairane Station, next to Dhirubhai Ambani Knowledge City, Navi Mumbai, Maharashtra 400710, India",ChIJe4nnk97A5zsRm-hEdyMXGYs,19.1029013,73.0130259,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
3,Fortis Hiranandani Hospital,"Mini, Seashore Rd, Juhu Nagar, Sector 10A, Vashi, Navi Mumbai, Maharashtra 400703, India",ChIJEevu9DLB5zsRM7zvXH-O-rs,19.0836483,72.9959203,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
4,Ashtvinayak Hospital,"Plot 10, Sector -6, Khanda Colony, near Khandeshwar Lake, New Panvel East, W, Navi Mumbai, Maharashtra 410206, India",ChIJbfpLwDXo5zsR_Hw4_3I8qEc,19.0104637,73.10976269999999,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
5,TejVedaant Hospitals,"Plot No. 84, Natashaa Towers, Sector 17, Kopar Khairane, near NMNC Hospital, Navi Mumbai, Maharashtra 400709, India",ChIJKawQI9TA5zsRe26O0C_LD3c,19.100635,72.99857999999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
7,NMMC Hospital,"Juhu Chowpatty Marg near St. Mary Church, Sector 10A, Vashi, Navi Mumbai, Maharashtra 400703, India",ChIJBZW_9zLB5zsRkXAf1CfMZWY,19.0828568,72.99621139999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
9,Kharghar Medicity Hospital,"Plot NO - C/23, Aum Sai CHS, Next to Kharghar Police Station, Next to Royal Tulip, Facing Highway, Sector 7, Kharghar, Navi Mumbai, Maharashtra 410210, India",ChIJHbiZzRTC5zsRnQOTwoO2aGE,19.0348937,73.0687283,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
10,"Ashwini Hospital - General Hospital, MD Doctor in Navi Mumbai","Plot No.11 Arm Arcade, Navrang Rd, opposite Sai Baba Mandir, Sector 7, Kharghar, Navi Mumbai, Maharashtra 410210, India",ChIJ35gWeBXC5zsRJnBriusdt1I,19.036588,73.064647,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
11,Sunshine Hospital,"C19 Plot No. 3 Sector 16, Opp. Sea Breeze Society, Dharshana Society, Nerul, Navi Mumbai, Maharashtra 400706, India",ChIJ937U6e7D5zsRMkC3JFj4bdQ,19.0362723,73.0096652,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
12,Om Navjeevan Hospital,"Plot No 2, Sector 21, Kharghar, Navi Mumbai, Maharashtra 410210, India",ChIJ7yCWxhjC5zsRIUQHmphbcR0,19.0505687,73.06544219999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
13,Shashwat Hospital,"1st floor, Plot NO:28/C, Phase II, Sector 10, Nerul West, opp. Sarsole Bus depot, Navi Mumbai, Maharashtra 400706, India",ChIJA7YMb-jD5zsRPlgnpiJqcKo,19.0403512,73.0148284,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
14,Applo Hospital,"Parsik Hill Rd, Sector 23, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",ChIJlzOscBTC5zsRg-AImyfDlCk,19.0378551,73.0696542,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
15,Indravati Hospital & Research Centre,"Sector 3K, Behind NMMT Bus Depot Airoli(W, Navi Mumbai, Maharashtra 400708, India",ChIJ__8_d7bG5zsRUNwgVG4vhm0,19.1568018,72.99772639999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
16,MGM Hospital & Research Center - CBD Belapur Navi Mumbai,"1A, Sector 1A, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",ChIJAQAA8EzC5zsRJG4mHeWJzBo,19.0257788,73.0414457,"['hospital', 'health', 'point_of_interest', 'establishment']",Navi Mumbai
