,place_name,address,place_id,latitude,longitude,types,city
0,Sahyadri Multispeciality Hospital,"Kakde Plot, DIC Road, Osmanabad, India",ChIJpd55pn-hxTsR-T0fo6aVg40,18.1991518,76.0371523,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
1,Sanjeevan Hospital,"S.R.T. Colony, Near Shivaji Chatrapati Chowk, opposite Stadium, Maharashtra 413501, India",ChIJ4Xc-njKixTsRevW00HOXXDM,18.1852109,76.0409052,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
2,Niramay Hospital,"S.R.T.Colony, Osmanabad, Maharashtra 413501, India",ChIJRerNnNGjxTsRwf-PnPF7GgM,18.1873374,76.0326453,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
3,Akshay Hospital & Infertility Center,"MH SH 67, Lakshmi Nagar, Osmanabad, Maharashtra 413501, India",ChIJu28j8i-ixTsRUPU9mItOFGk,18.1869593,76.0496271,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
4,"District Civil Hospital, Osmanabad","Niramay Hospital, Shivram Wada, S.R.T.Colony, Osmanabad, Maharashtra 413501, India",ChIJ____9syjxTsRbY24GNm46B0,18.1809938,76.03638699999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
5,Pakle Hospital,"Vikas Nagar Osmanabad, Osmanabad, Maharashtra 413501, India",ChIJ-8DC0p-hxTsRvdPJQD5czWc,18.217008,76.04001,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
6,Miniyar Hospital,"Shradha building, Barshi-Osmanabad Rd, Tambari Vibhag, Osmanabad, Maharashtra 413501, India",ChIJN2S9BNGjxTsRa7DhqRI8Nt4,18.1863586,76.0294273,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
7,Sree Sai Hospital,"Barshi Naka, Adarsh Nagar, Osmanabad, Maharashtra 413501, India",ChIJ5y7LG9GjxTsRYFGuAnqzE3I,18.1884596,76.03102930000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
8,Sahyadri Multispeciality Hospital Osmanabad,"kakade plot, Osmanabad, Maharashtra, India",ChIJ3WyE_vWjxTsRLhhmv8AX8i0,18.1860659,76.0419409,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
9,Garad Hospital,"Samta Colony, Osmanabad, Maharashtra 413501, India",ChIJEZeSBNSjxTsRLumvZ8ZcJjw,18.1911482,76.0338352,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
10,Suvidha Hospital And ICU Centre,"Shree Umesh Gore complex , D. I. C. road, Barshi naka, Osmanabad, Maharashtra 413501, India",ChIJJw4peC2ixTsREJBGjhGMC80,18.1895699,76.032253,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
11,Shreeyash Hospital,"Samarth Nagar, Osmanabad, Maharashtra 413501, India",ChIJTYTFgi6ixTsRcbmLYuxq1oI,18.1891689,76.045129,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
12,Paris Hospital,"S.R.T.Colony, Osmanabad, Maharashtra 413501, India",ChIJ3zvZ0iyixTsRFruhBo_3fS4,18.1886156,76.039255,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
13,CHIRAYU Hospital,"Central Building, Near Johny Hotel, Ramnagar, Osmanabad, Maharashtra 413501, India",ChIJH9dcJIChxTsR3OH5v7G2XCI,18.1987273,76.0396786,"['hospital', 'health', 'point_of_interest', 'establishment']",Osmanabad
