,place_name,address,place_id,latitude,longitude,types,city
0,Yashwantrao Chavan Memorial Hospital,"YCM Hospital Rd, Sant Tukaram Nagar, Pimpri Colony, Pune, Maharashtra 411018, India",ChIJ4Sbj-2C4wjsRuhpBze2GgXk,18.6218194,73.8210282,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
1,PCMC Hospital,"Near PCMT Bus Depo, Gavhanevasti, Bhosari, Pune, Maharashtra 411039, India",ChIJAQAAAIzHwjsRHM8_wZRV7b8,18.6203372,73.847912,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
2,Akurdi PCMC Hospital,"Church, Near Akurdi, Shri Mhalsakant Vidyalaya Rd, 3695Akurdi, Pimpri-Chinchwad, Maharashtra 411044, India",ChIJzV9BS8W5wjsRXW_dyWkEWVI,18.6498882,73.78191079999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
3,Chaitanya Hospital - Best Orthopedic Hospital | Knee/Hip/Joint Replacement Surgery Hospital in PCMC,"Chaphekar Chowk, Near Chinchwad Gaon Police Chowky, Chinchwad, Pune, Maharashtra 411033, India",ChIJe0HGu8y5wjsRqCxmysbZY6E,18.6293417,73.7811356,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
4,Phoenix Hospital,"Aundh Dange Chowk Road, opp. Rythem society, near Kalewadi Phata, Pawar Nagar, Thergaon, Pune, Maharashtra 411033, India",ChIJpW_v-hG5wjsRJxCW8mqbacs,18.60465,73.776174,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
5,Lokmanya Hospital,"No E 528, Public Charitable Trust, Foundation Unit I & II Regd, Chinchwad, Pune, Maharashtra 411033, India",ChIJ22D0qn64wjsRQ-uoabXFG1Y,18.645919,73.80073399999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
6,Sterling Multispeciality Hospital,"Near, Sector 27, Sant Dyaneshwar Chowk, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044, India",ChIJ7-tDzuC5wjsR7NEWBZhzGqY,18.6544973,73.7696512,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
7,"Lokmanya Hospital Chinchwad, Pune","314 / B, Chinchwad Gaon Rd, Udyog Nagar, Chinchwad, Pune, Maharashtra 411033, India",ChIJG341wbW5wjsRC8JwIP4DZvY,18.637315,73.7902847,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
8,"ACCORD Hospital, Moshi","Spine Road Plot No. 1/1 Kendriya Vihar Road, Santa Nagar, Moshi Pradhikaran, Sector Number 4, Pimpri-Chinchwad, Maharashtra 412105, India",ChIJuyrhuvPHwjsRgeucsAa1pXA,18.6480953,73.8498646,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
9,Dhanashree Hospital,"GP 66 Bharat Ratna Rajiv Gandhi Marg, MIDC, Chinchwad, opposite Kamal Nayan Bajaj School, Pune, Maharashtra 411019, India",ChIJfdU1CCu4wjsR6BzDjSsjgUw,18.6590784,73.79789869999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
10,CitiCare Pimpri Chinchwad,"Shubham Galleria, bridge, next to chroma, near pimpri, MIDC, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018, India",ChIJi6GDqt27wjsRfdyvmEn-cCY,18.6250131,73.8016304,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
11,Oasis Multispeciality Hospital,"309, Ratnaprabha Emrald, Near Mhada, Kale-Pimple Road, Pimpri, Waghere, Pimpri-Chinchwad, Maharashtra 411017, India",ChIJSe3MQvu4wjsRhmJNH9Evc_U,18.6069838,73.8014669,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
12,Niramaya Hospital,"E) post office, Survey No. 4742 Behind Jai Hind Petrol pump Next, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019, India",ChIJ09wwmkq4wjsRhdC-8cWjhKE,18.6393901,73.7968295,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
13,7 Orange Hospital,"Pawana Nagar Housing Society, Chinchwad, Pimpri-Chinchwad, Maharashtra 411033, India",ChIJEX9tb7m5wjsRBt9tM3rT7oM,18.6332781,73.7791433,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
14,Aditya Hospital,"Suyog Colony, Pimple Gurav, Pimpri-Chinchwad, Maharashtra 411061, India",ChIJFWmgYca4wjsRIp0S9LgXR68,18.5863914,73.81370079999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
15,Lifepoint Multispecialty Hospital,"No. 145, Sr, 1, Mumbai Pune Bypass Rd, near Sayaji Hotel, Wakad, Pune, Maharashtra 411057, India",ChIJQwmASGS5wjsRWeQltTsLkTg,18.597616,73.755455,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
16,Mayur Hospital,"18/68, Chikhali Akurdi Rd, near Mathura Sweets, Sector Number 18, M Phulenagar, Mahatma Phule Nagar, Chikhali, Pimpri-Chinchwad, Maharashtra 411019, India",ChIJUR09z4G3wjsRVL8S1p8RBAI,18.666213,73.79593299999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
17,Anand Multispeciality Hospital in Bhosari,"PMT Chowk, Nashik - Pune Hwy, Bhosari, Pimpri-Chinchwad, Maharashtra 411039, India",ChIJ4U9xm4LHwjsRgSLk1GEWPII,18.6222122,73.85030689999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
18,ESIC Hospital,"Survery No 130, Plot No 9/10/11, Block D-3, Mohan Nagar, Chinchwad-Bhosari Road, Pune, Maharashtra 411019, India",ChIJ8UCxHDW4wjsRURoEyPFckYA,18.6444916,73.7960237,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
19,Golden Care Hospital And Diagnostic,"Bhumkar, Shedge Wasti Road, Wakad, Pimpri-Chinchwad, Maharashtra 411057, India",ChIJ13lr4de7wjsRGLMcOAvoHnY,18.6020695,73.74753,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
20,Medilife Multispeciality Hospital,"Alfanso School Road, Vijay Nagar, Kalewadi, near Jyotiba Temple, Pimpri-Chinchwad, Maharashtra 411017, India",ChIJd0YOx6u5wjsRHpAsZfubODk,18.6192088,73.79129619999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
21,Unique Multispeciality Hospital,"S.No – 205/1, Anandtara, Palekar Niwas, near Tilak Bridge, Shinde Vasti, Ravet, Pimpri-Chinchwad, Maharashtra 412101, India",ChIJVTiAk_a5wjsR2VHiDXrT1VU,18.6428644,73.751958,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
22,Navjeevan Hospital,"1st Floor, Ganraj Complex, Near Mhalsakant Chowk, Shri Mhalsakant Vidyalaya Road, Bijali Nagar, Ganga Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035, India",ChIJTYRdq8S5wjsRP-uESvSZ4xU,18.6495508,73.77755189999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
23,Tongaonkar Hospital,"Sr.No.815, Akurdi, near JBGUS Sansta, Pimpri-Chinchwad, Maharashtra 411035, India",ChIJTe_gWNq5wjsRMJhWFwYaC3k,18.6530607,73.78112229999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
24,Moraya Hospital,"Gauri Apartment, Pimple Gurav Road, Dapodi, Pune, Maharashtra 411012, India",ChIJ____v6-4wjsRhzvRshDNLco,18.5821619,73.8284032,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
25,Amrut hospital,"613,614,Sonkar Complex, Pimpri waghere, behind Nav Maharashtra Vidyalaya, Pune, Maharashtra 411017, India",ChIJFTsvk_u4wjsRIA-1jnPrHk4,18.609958,73.80167999999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
26,Varad Hospital & Critical Care,"Maalwale Nagar, No. 2, Adarsh Nagar Rd, Kiwale, Ravet, Pimpri-Chinchwad, Maharashtra 412101, India",ChIJzYo6b3ixwjsRpz7652N3cHc,18.6635573,73.7353952,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
27,Om Shree Swami Samarth Hospital,"Bijli Nagar Rd, SKF Colony, Chinchwad, Pimpri-Chinchwad, Maharashtra 411033, India",ChIJvf___4O5wjsRn2ZQmsO05_E,18.634533,73.77910849999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
28,Saijyoti Hospital & ICU,"Arun Plaza, Dange Chowk, Yashoda Colony, Thergaon, Pimpri-Chinchwad, Maharashtra 411033, India",ChIJ_____yu4wjsRAhmZEzyoPyc,18.6139129,73.7632526,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
29,Shree Hospital,"No.24, Jambhulkar Complex, Hinjawadi Road, Hinjewadi, Pimpri-Chinchwad, Maharashtra 411057, India",ChIJVwgK5dy7wjsRruvLxRUZqJ8,18.5920558,73.73805,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
30,Shree Multispeciality Hospital,"Shiv Ganesh Nagar, Dhawade Wasti, Sadgurunagar, Bhosari, Pimpri-Chinchwad, Maharashtra 411039, India",ChIJa4VN_ITHwjsR-ROhnHLpmvg,18.6300243,73.8512308,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
31,Gangotri Hospital,"703, Barade Wadi, Chikhali, Pimpri-Chinchwad, Maharashtra 412105, India",ChIJI1B-PvG3wjsRIy8hCTm-bQU,18.6724704,73.8260634,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
32,Yashoda Hospital,"Pune - Nashik Hwy, Sector No. 9, Moshi, Pimpri-Chinchwad, Maharashtra 412105, India",ChIJuV5pfQi4wjsRxW2JKfN8_R8,18.6544359,73.8390335,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
33,Global Hospital Near Krushna Chowk Pimple Gurav,"Gurudatta Colony Road, Vinayak Nagar, New Sanghavi, Pimpri-Chinchwad, Maharashtra 411061, India",ChIJtYhVjsi4wjsRQ7kX3PTEhVU,18.582876,73.8148866,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
34,"Shri Samarth Hospital - Pregnancy, Maternity, Orthopaedic, Child Care, Physician, MultiSpeciality","2 nd Floor,Kate Square building, katepuram chowk, opp. Nilu Phule Natyagruha, Pimple Gurav, Pimpri-Chinchwad, Maharashtra 411061, India",ChIJp-Cnt8e4wjsRXOq_cKpUdzQ,18.5855233,73.815997,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
35,Life Care Hospital,"Gagangiri Complex,Jhambe Road, Mumbai - Pune Expy, In front of Cyprus Society, Punawale, Pune, Maharashtra 411033, India",ChIJpcVSX5a7wjsRC-yQ1WdaUdc,18.6348784,73.7415108,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
36,Lotus Multispeciality Hospital,"Ghat No.720, Ahmed Manzil, near Bhairavnath Mandir, Kudalwadi, Chikhali, Pimpri-Chinchwad, Maharashtra 411062, India",ChIJTwA-FI23wjsRceNUC0cVt7A,18.6743954,73.8166347,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
37,OMKAR KHALANE HOSPITAL,"S.No. 16/3/(1), Kalewadi Phata, Aundh - Ravet BRTS Rd, near Subhika HP Petrol Pump, Rahatani, Pimpri-Chinchwad, Maharashtra 411017, India",ChIJBx7ATxe5wjsRwj0tb5L0jFY,18.5975211,73.7823069,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
38,Chavan Hospital,"Plot no-54, Ajmera Complex Stadium Road, Vastu Udyog Road, Pune, Maharashtra 411018, India",ChIJl4etz-C5wjsRSlk2kGNTxtI,18.6331437,73.8167192,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
39,"Mauli Hospital, Bhosari","Bhosari Alandi Rd, above Medplus Medical Store Shastri Chauk, Ramnagar, Bhosari, Pune, Maharashtra 411039, India",ChIJfd3Tr53HwjsRIMiE4BdIpPY,18.624458,73.85780199999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
40,Star Hospital Akurdi Pune,"Old Mumbai- Pune Highway, Next to Kundan Palace, opposite to Force Motors Corporate Office, Akurdi, Pune, Maharashtra 411035, India",ChIJoXBcmpC5wjsRW0tYbkPFW2Y,18.651838,73.7835053,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","PCMC, Pune"
