,place_name,address,place_id,latitude,longitude,types,city
0,Kamla Nehru Hospital,"Mangalwar Peth, near Kasba Post Office, Pune, Maharashtra 411002, India",ChIJgyCd5mbAwjsRdkRgsczZrMM,18.5228833,73.8620389,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
1,Chatrapati Shivray Hospital PMC Pune,"M 11, Maharashtra Co-Operative Housing Society, Yerawada, Pune, Maharashtra 411006, India",ChIJ92k5dCTBwjsRurrlw3X76t4,18.5625022,73.8966672,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
2,PMC Hospital Kharadi,"Tukaram Nagar, Kharadi, Pune, Maharashtra 411014, India",ChIJYSQelNjDwjsR93Qlmt3ZFjM,18.5523963,73.9370864,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
3,"PMC Hospital,Dhayri, Late. Murlidhar Pandurang Laigude Dispensary","Rajyog Society, Rajyog Rd, Vadgaon Khurd, Nanded Fata, Pandurang Industrial Area, Dhayari, Pune, Maharashtra 411041, India",ChIJEWNVjHGVwjsRYA6nCME5Jlk,18.4624722,73.8048944,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
4,HINGANE Pmc Hospital,"Hingne Budrukh, Karve Nagar, Pune, Maharashtra 411052, India",ChIJzwtKUNy_wjsRxX-zTtE1I68,18.4881227,73.8148695,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
5,New Pune Hospital,"Sr no 50/7, Gulmohar Apartment, Kondhwa Rd, behind Satyanand Hospital, Shivneri Nagar, Kondhwa, Pune, Maharashtra 411048, India",ChIJ426n3YnqwjsRVztpD-k033U,18.4707942,73.8884023,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
6,Kawade Patil PMC Hospital,"1/2, Lane Number 6, Liberty Phase 2, Ragvilas Society, Lane Number 6, Ganga Fortune Society, Liberty Phase 2, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",ChIJpd-eaAbBwjsRFCiubOO1ur8,18.5380032,73.89852119999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
7,Janata Hospital PMC Pune,"Janta Vasahat, Jai Bhawani Nagar, Parvati Paytha, Pune, Maharashtra 411009, India",ChIJXYFvRQnAwjsRAl9N8-oTYOE,18.499349,73.847005,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
8,Shri Balasaheb Thakre Hospital PMC,"Pune,, Parvati Paytha, Pune, Maharashtra 411009, India",ChIJlXvpLxDAwjsR6LJlD4kqIb8,18.4973096,73.85433619999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
9,PMC NEW HOSPITAL WARJE,"18°29'00. 73°47'32., 9""N, Hinjewadi Phase 2 Rd, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057, India",ChIJPxGofiu-wjsRRQOCHtCebMY,18.48358,73.79227399999999,"['hospital', 'health', 'point_of_interest', 'establishment']","PMC, Pune"
