,place_name,address,place_id,latitude,longitude,types,city
0,"Lifeline Hospital, Panvel","DISTRICT :, OPP. S.T. STAND, राष्ट्रीय महामार्ग ४, Panvel, 410206, India",ChIJhZH1emro5zsR_YsWPQckc-U,18.9912503,73.1152364,"['hospital', 'health', 'point_of_interest', 'establishment']",Panvel
1,Shree Hospital | Panvel | Cashless Hospital in Panvel,"Infront Of, Balaji Symphony, Shree Gurudutta Niwas, 1st Floor Near Balaji Mandir, Panvel Matheran Rd, Sukapur, New Panvel East, Navi Mumbai, Maharashtra 410206, India",ChIJu4sgr1jo5zsR3Tplq5dlXlo,19.0006173,73.1352327,"['hospital', 'health', 'point_of_interest', 'establishment']",Panvel
8,"More Hospital and ICU, New Panvel","Khanda Colony, Sector 17, Khanda Colony, Panvel, Navi Mumbai, Maharashtra 410206, India",ChIJd6l03Dbo5zsR0HiHsJQijqk,19.00636,73.106524,"['hospital', 'pharmacy', 'doctor', 'health', 'point_of_interest', 'store', 'establishment']",Panvel
9,Mhatre Accident Hospital,"Agri Samaj Mandir Road, Mhatre Accident Hospital, Old Panvel, Panvel, Navi Mumbai, Maharashtra 410206, India",ChIJRQDLjmro5zsRPB4JHSUTO6s,18.9914228,73.11389609999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Panvel
11,Gandhi Hospital,"142, MCCH Society, near Kohinoor Technical Institute, Old Panvel, Mumbai, Maharashtra 410206, India",ChIJWcE_nRXo5zsRYrvte5bxGs0,18.9873432,73.11551879999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Panvel
13,Thombare Hospital,"1st Floor, Riddhi Complex, Khanda Colony, Panvel, Mumbai, Maharashtra 400206, India",ChIJ883J_0fo5zsRkpfj9guDWaI,19.005837,73.11054850000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Panvel
14,"Niramay Hospital - Multispeciality, ICU and Maternity Hospital","Plot 148, VB Phadke Road, Middle class housing society, Shivaji Chowk, Old Panvel, Panvel, Navi Mumbai, Maharashtra 410206, India",ChIJH2H4dmvo5zsRhrqld4BOtZk,18.9876366,73.11407360000001,"['hospital', 'pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",Panvel
17,Birmole Hospital,"Unnamed Road, HOC Colony, Panvel, Navi Mumbai, Maharashtra 410206, India",ChIJWcE_nRXo5zsRkzRIavZcpxY,18.9969719,73.1096645,"['hospital', 'health', 'point_of_interest', 'establishment']",Panvel
18,Aai hospital,"Mominpada, Old Panvel, Panvel, Navi Mumbai, Maharashtra 410206, India",ChIJe6tZYg7p5zsRXK0kXvDm_TM,18.9838349,73.1112976,"['hospital', 'health', 'point_of_interest', 'establishment']",Panvel
19,UNNATI HOSPITAL AND ICU,"First Floor, JK Plaza, MTNL Rd, Old Panvel, Panvel, Navi Mumbai, Maharashtra 410206, India",ChIJ_-RaWWvo5zsRRQR49kDvVRU,18.9867872,73.11240699999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Panvel
