,place_name,address,place_id,latitude,longitude,types,city
0,Sahyadri Hospital Parbhani,"431401, Parbhani - Nanded Rd, Vishnu Nagar, Patil Nagar, Basmat, Maharashtra 431512, India",ChIJzyMA3zIY0DsRgwLl6v_lfs0,19.2586868,76.7813675,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
1,Parbhani ICU & Trauma Care Centre,"Doctors' lane, near Chirayu Hospital, Parbhani, Maharashtra 431401, India",ChIJgcHya84Z0DsRTyB8PfJj7Zs,19.2614657,76.77135249999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
2,Godawari Hospital,"Basmat Rd, Near Jintur Bank, Shivaji Nagar, Parbhani, Maharashtra 431401, India",ChIJCR23IzMY0DsRhlcZW8yAUww,19.259649,76.78104499999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
3,Surwase Hospital Parbhani,"Sbi Bank, Ganpati Chowk Parbhani Near, Parbhani, Maharashtra, India",ChIJ99kUoc0Z0DsRN_8jvrRGuck,19.2609958,76.77666500000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
4,Sparsh Multispeciality Hospital,"Gavhane Rd, near Magar Hospital, New Mondha, Parbhani, Maharashtra 431401, India",ChIJ_2hdEtAZ0DsRF1v_oXOrqQM,19.2633955,76.76909239999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
5,Chirayu Hospital,"Doctor Ln, New Mondha, Parbhani, Maharashtra 431401, India",ChIJwaIeM84Z0DsRRAKdIEiyGzc,19.2613323,76.77133549999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
6,Dhanorkar Hospital,"Doctor Lane, Bus Stand Rd, New Mondha, Parbhani, Maharashtra 431401, India",ChIJJ_5pd2IZ0DsR-x8f2HlMSns,19.2624807,76.7706833,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
7,Swati Criticare Icu Hospital,"Shivaji Nagar, Parbhani, Maharashtra 431401, India",ChIJnbhZFzMY0DsRaOhlJupqyIY,19.2594138,76.7815694,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
8,Navjeevan Hospital,"New Mondha, Parbhani, Maharashtra 431401, India",ChIJn1E_080Z0DsRXCu0JcUJNJU,19.2596725,76.77456029999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
9,Sahara Hospital,"Dargah Rd, Rahat Colony, Masoom Colony, Parbhani, Maharashtra 431401, India",ChIJS9gbRvoZ0DsR0ia0v23xqmM,19.2708632,76.7593433,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
10,Navandar Hospital,"Basmat Rd, Near Shree Swami Samarth Mandir, Shivaji Nagar, Parbhani, Maharashtra 431401, India",ChIJyzJmzzIY0DsRnD5DPKXHhWM,19.2610698,76.7804965,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
11,Kalani Hospital,"Near Club Station Rd Parbhani Maharashtra 431401 Republic of, 431401, India",ChIJHQl7O84Z0DsRrDks99ecDNs,19.2615765,76.7721572,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
12,Morya Hospital,"Parbhani - Nanded Rd, Vishnu Nagar, Shivaji Nagar, Parbhani, Maharashtra 431401, India",ChIJtQf2y8wZ0DsRhg987oWw67k,19.2589136,76.7795555,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
13,Sabu Hospital Parbhani,"Near Bus Stand, New Mondha, Parbhani, Maharashtra 431401, India",ChIJQ9K-8_cZ0DsRl4wEvxWLy1w,19.2597587,76.7718318,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
14,Aboli Hospital,"Shivaji Nagar, Parbhani, Maharashtra 431401, India",ChIJqwrzlDIY0DsRTi51Ne13iFY,19.2617651,76.7815188,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
15,"shewale hospital &nursing home,Advance laproscopy&infertility center","Prabhavati Nagar, Parbhani, Maharashtra 431401, India",ChIJvzoo6mEX0DsRTa2frvFs6QY,19.2743256,76.7612087,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
16,Khalikar Childrens Hospital,"B-128, Parbhani - Basmat Rd, behind RR Petrol Pump, Swapnapurti, Ramkrishna Nagar, Parbhani, Maharashtra 431401, India",ChIJC_T8fDYY0DsRl1TCn_dkVWo,19.2559856,76.784731,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
17,Deshmukh Hospital (Multi Specialty Hospital & Maternity Home),"75, State Highway 148, New Mondha, Parbhani, Maharashtra 431401, India",ChIJEyBjac4Z0DsRMVdSEsd56TE,19.2605744,76.7728465,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
18,"District Hospital, Parbhani","Subhash Rd, near Sharda Vidyalaya, Shastri Nagar, Parbhani, Maharashtra 431401, India",ChIJv_iG9tgZ0DsRObggiAkfM4M,19.2714119,76.7646413,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
19,Jethliya Hospital,"Shivaji Nagar, Parbhani, Maharashtra 431401, India",ChIJVVVVxcwZ0DsRpM1J-B6wnIc,19.2601073,76.78179899999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
20,Dr. Katneshwarkar Hospital,"New Mondha, Parbhani, Maharashtra 431401, India",ChIJ7UP5OcUZ0DsR8ajiFtWxGyM,19.2611755,76.7664504,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
21,Ankur Hospital,"Doctor Ln, near Ganesh Chavhan Hospital, New Mondha, Parbhani, Maharashtra 431401, India",ChIJd3AnYc4Z0DsRgzuL9QZXn4E,19.2598404,76.7729675,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
22,Manwatkar Hospital,"Gawane Road, New Mondha, Parbhani, Maharashtra 431401, India",ChIJcfU8d9AZ0DsRFWCT4X8q1ac,19.2641813,76.7685644,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
23,Surwase Hospital and Maternity Home,"National Highway 222, Khaja Colony, Prabhavati Nagar, Parbhani, Maharashtra 431401, India",ChIJB2SLDWEX0DsRsz-jxDjiGC4,19.276833,76.7607989,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
24,Deshpande Hospital,"Gandhi Park, Parbhani, Maharashtra 431401, India",ChIJofKSPdEZ0DsRtTWqd-7--qg,19.2668067,76.77214579999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
25,Giram Hospital Parbhani,"Dr Hedgewar Marg, Gandhi Park, Parbhani, Maharashtra 425412, India",ChIJT8lKy3YZ0DsRcep6VoWTywg,19.2609957,76.77666500000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
26,Akanksha Hospital,"Shastri Nagar, Parbhani, Maharashtra 431401, India",ChIJq0u2wNkZ0DsRAA0KLQIk7kc,19.2696181,76.7669188,"['hospital', 'health', 'point_of_interest', 'establishment']",Parbhani
