,place_name,address,place_id,latitude,longitude,types,city
0,Parkar Hospital,"828, Shivaji Nagar, Ratnagiri, Maharashtra 415612, India",ChIJwXrEcyIN6jsRZOvVS2Q5g68,16.9910505,73.3160296,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
1,Chirayu Hospital,"Kolhapur-Ratnagiri Road, Pushpendra Nagar, Ratnagiri, Maharashtra 415612, India",ChIJwaSKlOAM6jsRqSeQNBHRejA,16.9938115,73.3276462,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
2,Karmarkar Hospital,"605-D Maruti Mandir, Ratnagiri, Maharashtra 415612, India",ChIJl2rjSz0N6jsRtGWR_wApiEk,16.9900109,73.31156969999999,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Ratnagiri
3,Chintamani Hospital,"Tilak Ali, Ratnagiri, Maharashtra 415612, India",ChIJoSohAm8N6jsRhQuZaVETSZo,16.9976402,73.29116350000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
4,"District Hospital, Ratnagiri","Rajiwada, Ratnagiri, Maharashtra 415612, India",ChIJlXnxFkAN6jsRMsVXQU0Dyr8,16.989092,73.2992651,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
5,Mukadam Hospital,"Near NH 204, Khedshi, Maharashtra 415639, India",ChIJH27D3JkM6jsRqmQ1Qa6vQR4,16.9992453,73.3598025,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
6,Ramnath Hospital,"Ratanagiri, Maruti Mandir, Ratnagiri, NH-204, Hatkhamba Ratnagiri Road, Ratnagiri, Ratnagiri, Maharashtra 415612, India",ChIJSyVihSIN6jsRKj8-N0SZGrk,16.990666,73.314245,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
7,Vaidya Eye Hospital,"Ratanagiri, Shivaji Nagar, Ratnagiri, NH-204, Hatkhamba Ratnagiri Road, Ratnagiri, Ratnagiri, Maharashtra 415612, India",ChIJ4cN9Iz4N6jsRWH8GJJVKDqo,16.9899866,73.30417609999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
8,Swastik Hospital/Chavan Hospital,"NH 204, Police Head Quarters, Ratnagiri, Maharashtra 415612, India",ChIJS62T0msN6jsRe7tYr_Qq6Ww,16.9927741,73.294703,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
9,Mhaskar Hospital,"Near Sacred Heart Convent School, Azad Colony, Ratnagiri, Maharashtra 415612, India",ChIJS3DsQGwN6jsRYxsAOtQsRsA,16.9970097,73.2958386,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
10,Jadhav Hospital,"Police Head Quarters, Ratnagiri, Maharashtra 415612, India",ChIJLffs0GsN6jsRny5DRXCaTNg,16.9932018,73.2947366,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
11,Saphalya Orthopaedic Centre,"K C, Jain Nagar, Ratnagiri, Maharashtra 415612, India",ChIJb0_DCNMN6jsRDY1W_sZyy_w,16.9903708,73.3112603,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
12,Regional mental hospital Ratnagiri,"near zillha parshid, Patwardhan Wadi, Ratnagiri, Maharashtra 415612, India",ChIJtcXF5ggN6jsR-OUydjPY1QI,16.9975797,73.3125415,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
13,Soham Hospital,"Pushpendra Nagar, Ratnagiri, Maharashtra 415612, India",ChIJXeTeP-oN6jsRgL30YpTerUw,16.9896218,73.32272139999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
14,Mangal Maternity and Nursing Home,"National Highway 204, Pushpendra Nagar, Ratnagiri, Maharashtra 415612, India",ChIJD34DZOAM6jsRY2WPKG4k_pk,16.9934271,73.3262515,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
15,Nirmal Balrugnalaya,"राज्य महामार्ग क्र. २०४, Salvistop, Ratnagiri, Maharashtra 415639, India",ChIJqZVIZOAM6jsRs7dc8zy6PC4,16.993391,73.3266056,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
16,Dhanvantari Hospital,"Narhar Colony, Shivaji Nagar, Ratnagiri, Maharashtra 415612, India",ChIJ_Tof9CAN6jsRB9WY8PybzAY,16.9896229,73.32226589999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
17,Wandkar Hospital,"behind Civil Hospital, Rajiwada, Ratnagiri, Maharashtra 415612, India",ChIJMav2QUAN6jsRdkUDHHWL_90,16.9884581,73.29934089999999,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Ratnagiri
18,Shree Hospital,"Benjamin Enclave, opp. s t stand, Police Head Quarters, Ratnagiri, Maharashtra 415612, India",ChIJFa3g6PUN6jsRuwdkLB6pGqI,16.9919266,73.29583819999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
19,Dr.Munir Maskar Hospital,"Near Sacred Heart Convent school, Ratnagiri, Maharashtra 415612, India",ChIJp-7XQWwN6jsR6y3gGswNaGc,16.9969839,73.29592710000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
20,Konkan Cardiac Centre,"2nd floor, Lotlikar hospital, Lotlikar Plaza Road, near Maruti mandir, Shivajinagar, India",ChIJc6k7hCIN6jsRMy_rDXI-C_M,16.9909101,73.314437,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
21,Deshpande Hospital Ratnagiri,"Bandar Rd, Tilak Ali, Ratnagiri, Maharashtra 415612, India",ChIJ4UwW12gN6jsRqv2llykIGQY,16.9945316,73.2910005,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
22,Sunrise Hospital,"GP building 919 partawane, Shirgaon, Maharashtra 415612, India",ChIJuSQwPXEN6jsRVwj0hqwVpkM,17.0053577,73.29205400000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
23,Joshi Nursing Home,"Tilak Ali, Ratnagiri, Maharashtra 415612, India",ChIJ4W5-nvEN6jsR4WHTX6ILO2Y,16.996853,73.2904573,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
24,"INFIGO EYE CARE HOSPITAL, RATNAGIRI","Shop No. 3/4/5 Shantadurga Sankul Main Road, Salvi Stop, Maharashtra 415612, India",ChIJp0ef0_4N6jsRvKr3HV7deqI,16.9930972,73.3255977,"['hospital', 'health', 'point_of_interest', 'store', 'establishment']",Ratnagiri
25,Dr. Pramod Bhide Eye Clinic,"Laxmi Chowk, Gadital, Maharashtra 415612, India",ChIJKbhwANsN6jsRC1vntkAg-Bw,16.9962452,73.2938965,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
26,Apex Hospital Ratnagiri,"Nachane Rd, Pushpendra Nagar, Ratnagiri, Maharashtra 415612, India",ChIJ47U6ayUN6jsRTbG9oKL8AYk,16.9859648,73.3240383,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
27,Sushrut Surgical and Maternity Hospital,"Mazgaon Road, State Bank Colony, Ratnagiri, Maharashtra 415612, India",ChIJAx1UdBgN6jsRF6Bwzyv3_jA,16.99156,73.3138141,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
28,Bhole Hospital,"Sadanand Wadi, Ratnagiri, Maharashtra 415612, India",ChIJ00MDsWkN6jsRnP755qAkeoE,16.9913859,73.2918079,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
29,Chapolikar Eye Hospital,"राज्य महामार्ग क्र. २०४, State Bank Colony, Ratnagiri, Maharashtra 415612, India",ChIJX37LbyIN6jsRgF0XKWwWnKg,16.9907184,73.3157748,"['health', 'point_of_interest', 'establishment']",Ratnagiri
30,Dewaliben Mohanlal Mehta Lions Eye Hospital,"C-71, Near, JK Files Rd, MIDC, Ratnagiri, Maharashtra 415639, India",ChIJK2yhQOQM6jsRMaHZLpH9bbk,16.9997926,73.331116,"['health', 'point_of_interest', 'establishment']",Ratnagiri
31,Dr Diwakar's Dental Care Clinic,"Ratnagiri, Maharashtra 415612, India",ChIJNWY6tKkN6jsRxdL-K6GAps8,16.9904859,73.31032669999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
32,Anandkalp Hospital,"Shanti Nagar, Nachane, Maharashtra 415639, India",ChIJM1bOiVkN6jsRSnbS7Z7C7sE,16.984359,73.33992409999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
33,Sanjeevani Hospital,"Bandar Rd, Tilak Ali, Ratnagiri, Maharashtra 415612, India",ChIJz1C5yGgN6jsRVj7OEnTfZjk,16.994417,73.290106,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
34,Gayatri Clinic Dr Pevekar,"Pushpendra Nagar, Ratnagiri, Maharashtra 415612, India",ChIJjS6AeuAM6jsRcTPi5wSWNrs,16.9928957,73.32592939999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
35,Suryagandh Children's Hospital,"Vasant Vihar Complex, Opp. Naik Motors, Near K.C. Jain Nagar, Maruti Mandir, Ratnagiri, Maharashtra, India",ChIJo8-2HQIN6jsRxjTpw0L3ebA,16.9905279,73.3096503,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
36,Dr. Dilip Pakhare,"salvi stop, 1027 uttam Laxmi Apartment, Nachane Rd, behind swami samrth hall, Ratnagiri, Maharashtra 415612, India",ChIJsaNid_4N6jsRE_s2gcKZ2rU,16.9900963,73.32939809999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
37,"MINDCARE HOSPITAL FOR MENTAL AND SEXUAL HEALTH, RATNAGIRI","Rajiwada MALNAKA, near VIVEK HOTEL, Ratnagiri, Maharashtra 415612, India",ChIJWyFfGj4N6jsRfzo1EZ2y_go,16.9897855,73.30520969999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
38,Madhavbaug Clinic - Ratnagiri,"719, C/o- Mr. Sanjay Mahagaonkar, Shivajinagar, Ratnagiri - 415639, opp. Bank of India Zonal Office, Ratnagiri, Maharashtra 415639, India",ChIJqRx_wyEN6jsRuQn9pI6pLjM,16.990941,73.31963999999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
39,Pradnya Hospital,"Pradnya Hospital, Mazgaon Road, Azad Nagar, Konkan Nagar, Ratnagiri, Maharashtra 415612, India",ChIJ7RK2usIN6jsRx-BeW89nsHo,16.9990656,73.3223881,"['health', 'point_of_interest', 'establishment']",Ratnagiri
40,Dr. Lotlikar Hospital,"Maruti Mandir, Ratnagiri, Maharashtra 415612, India",ChIJI53W7QMN6jsR7Jfa7fD5O98,16.9906936,73.3144344,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
41,Bidikar Hospital,"Maruti Mandir, Ratnagiri, Maharashtra 415612, India",ChIJFTz_QA4N6jsR00crqDkP_sY,16.990804,73.3121206,"['doctor', 'health', 'point_of_interest', 'establishment']",Ratnagiri
42,Patil Hospital,"Jail Market Road, Police Head Quarters, Ratnagiri, Maharashtra 415612, India",ChIJjaEur2oN6jsRAuoriG6oC44,16.9904953,73.29956229999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
43,"Mental Hospital Ratnagiri, Maharashtra","NH166, near zilla parishad, Rajiwada, Ratnagiri, Maharashtra 415612, India",ChIJFRQYKJcN6jsRwSlOYyzhkzw,16.9897199,73.30171399999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
44,Nayanprabha Eye Hospital,"Thiba Rd, Rajiwada, Ratnagiri, Maharashtra 415612, India",ChIJAcAJNMYN6jsRifryGC-O8XA,16.9890308,73.3065168,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
45,Gondhalekar Clinic,"Unnamed Road, Abhyudhya Nagar, Ratnagiri, Maharashtra 415612, India",ChIJZW2VSyIN6jsR6DuxcwKOVyM,16.9889263,73.31605640000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
46,Ratnam Ayurved Hospital,"2384,Balvant press Building,opp.Dapoli Bank,Sawarkar Chowk,Gadital,RATNAGIRI 415612, Maharashtra, India",ChIJ83Km2yEN6jsRk_tMS4Zlj5M,16.9967617,73.2943456,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
47,ayushyaman CLINIC. RATNAGIRI,"MH SH4, JAYASTAMBHA, Rajiwada, Ratnagiri, Maharashtra 415612, India",ChIJhZWwK0AN6jsRpv06REk_j8c,16.9897439,73.2974225,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
48,Dr. (Mrs.) Gore,"Ratnagiri, Maharashtra 415612, India",ChIJgwigJZYM6jsRMsKneCftSfk,16.9957595,73.355222,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
49,AL HIJAMA CENTRE,"Dosti Apartment, B/2, AZIZIYA COMPLEX, NEAR, Udyamnagar, Ratnagiri, Maharashtra 415612, India",ChIJd_n1x2IN6jsRMOE14kpnARE,16.9975411,73.3145526,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
50,Aarohi physiotherapy clinic,"Tilak Ali, Ratnagiri, Maharashtra 415612, India",ChIJU2sgFAgN6jsRhUvRM87erDI,16.9952117,73.29098950000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
51,Dr. Afroja,"Rajapurkar Colony, Patwardhan Wadi, Ratnagiri, Maharashtra 415612, India",ChIJ56VI1xkN6jsRSHddgBnEHu0,16.9947058,73.31224,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
52,AYURVEDA AYURVEDIC AND PANCHKARM CENTER,"Rajiwada, Ratnagiri, Maharashtra 415612, India",ChIJq8FcGj4N6jsR30lxHo8tEFY,16.9899934,73.3050574,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
53,Ratnagiri district hospital,"Hodekar Compaund road Udhyama Nagar, Hodekar Rd, Patwardhan Wadi, Ratnagiri, Maharashtra 415639, India",ChIJY46jQu4N6jsR8PO1h4zdPdg,16.996719,73.315936,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
54,Kelker Eye Clinic,"Gandhi Colony, Tilak Ali, Ratnagiri, Maharashtra 415612, India",ChIJP2Iv3wUN6jsRpgKf__kQHuU,16.9942733,73.29090939999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
55,Dr Zope Skin N Health Clinic,"Maruti mandir, Kolhapur - Ratnagiri Rd, State Bank Colony, Ratnagiri, Maharashtra 415612, India",ChIJL1DKN64N6jsRqcljFUxomzk,16.9907387,73.3149854,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
56,Dr. Mrs.Gouri Salvi's Clinic,"Sunrise, Saish Clinic, Plot no D48, TRP Rd, Ratnagiri, Maharashtra 415639, India",ChIJd3P79G0N6jsRhMf3aOvgXUM,17.0006686,73.3428663,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
57,Jyoti Eye Care and Research Foundation,"Shivaji Nagar Road, behind Bank Of India, Ratnagiri, Maharashtra 415612, India",ChIJYezpSGoN6jsRI_FmP5sPHXA,16.9927731,73.3170767,"['health', 'point_of_interest', 'establishment']",Ratnagiri
58,"Nandadeep Eye Hospital, Ratnagiri","Bus Stop, URL Square, 1st Floor, Mazgaon Road, above ICICI Bank, Godbole, Ratnagiri, Maharashtra 415612, India",ChIJOcAPWDIN6jsRGW2h4A91C5o,16.9917865,73.3140028,"['health', 'point_of_interest', 'establishment']",Ratnagiri
59,Sai Hospital,"P -20, M.I.D.C., T.R.P. RATNAGIRI, near HERO SHOWROOM, Ratnagiri, Maharashtra 415639, India",ChIJnWUMLxkN6jsRD5do9aHaDLQ,16.9964743,73.34181170000001,"['hospital', 'health', 'point_of_interest', 'establishment']",Ratnagiri
