,place_name,address,place_id,latitude,longitude,types,city
0,Bharati Hospital Sangli,"Sangli Miraj Road, Vijaynagar - Kupwad Rd, Sangli, Maharashtra 416414, India",ChIJqYSEx18iwTsRSXMr5Gpb5wI,16.8415487,74.6182739,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
1,"Wanless mission hospital, Miraj","Gandhi, Chowk, Miraj - Malgaon Main Rd, near mission hospital, Miraj, Maharashtra 416410, India",ChIJW4SciLEjwTsRdmq23-o34Qo,16.8320924,74.64542589999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
2,"District General Hospital, Sangli","South Shivaji Nagar, Nishant Colony, Sangli, Maharashtra 416416, India",ChIJO1TRpGgYwTsR7sBFgc5ob_Y,16.8525548,74.5747501,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
3,"Shraddha Surgical And Accident Hospital, Sangli (Dr.G.S.Kulkarni)","Civil Hospital Chowk, Bus Stand, Dr Ambedkar Rd, near Sangli, Ganesh Nagar, Patrakar Nagar, Sangli, Maharashtra 416416, India",ChIJDcCt7WgYwTsROLHn2fsz9yA,16.8533775,74.5734916,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
4,"Sushil Maternity Hospital, Sangli","Sangli - Miraj Rd, Neminathnagar, Vishrambag, Sangli, Maharashtra 416415, India",ChIJuZzc8ngYwTsRKn1FnrVQjKI,16.849726,74.5916312,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
5,Maa Hospital,"Aman Nagar, Shivaji Nagar, Sangli Miraj Kupwad, Maharashtra 416410, India",ChIJwYyoz7UjwTsRsTLkRRVhZoQ,16.8251031,74.6449971,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
6,Mujawar Hospital,"New Vijay Nagar, Sangli Miraj Kupwad, Maharashtra 416406, India",ChIJnwST2qsiwTsRDAFJPcx4t6U,16.8828712,74.5969353,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
7,Vivekanand Hospital,"Banmoli Rd, Bajarang Nagar, MIDC Kupwad, Sangli Miraj Kupwad, Maharashtra 416436, India",ChIJ2wEQR8QiwTsR28-tTXRzQdo,16.8748136,74.6240651,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
8,Br G D Patil Memorial Hospital,"Yashwant Housing Society, A N Gaikwad Road, Off Sangli Miraj Road, Near Sundarnagar, Miraj, Sangli Miraj Kupwad, Maharashtra 416410, India",ChIJaZn-V00iwTsRGSOhSMEVWyg,16.8338437,74.63922869999999,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
9,Manavarahat charitable Trust Civil Hospital Chowk Sangli,"Overseers Colony, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416, India",ChIJ-QhgNiUZwTsRVFyNDBzu1oU,16.8538795,74.5742264,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
10,Shanti Saroj Hospital,"left 2nd return from sidhi vinayak hospital, Sangli - Miraj Rd, Sangli, Maharashtra, India",ChIJMRecHmgjwTsREvD-1rnvPr8,16.8435603,74.6095648,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
11,Shri Siddhivinayak Ganpati Cancer Hospital,"Sangli - Miraj Rd, Shivaji Nagar, Miraj, Maharashtra 416410, India",ChIJW_jyC1IiwTsReilYmdusnr8,16.8338904,74.6354323,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
12,Samarth Neuro Hospital Miraj,"Kalyani Heights, Sangli - Miraj Rd, opposite Siddhivinayak Hero showroom, Parshwanath Nagar, Miraj, Maharashtra 416410, India",ChIJ25zGs14iwTsR8KZ_hIycCrw,16.8390892,74.6217143,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
13,Nitave Hospital,"S.P. Office, Sangli - Miraj Rd, opposite D, Gandhi Nagar, Vishrambag, Sangli, Maharashtra 416415, India",ChIJvTMJL4IiwTsR_TDJQOFTvhg,16.8483681,74.59530079999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Sangli-Miraj-Kupwad
