,place_name,address,place_id,latitude,longitude,types,city
0,Samarth Hospital Private Limited,"189 B, Yadogopal Peth, Opp Arts & Commerce College, Dr Mahajani Chowk, Satara, Maharashtra 415002, India",ChIJvWvZCL45wjsRGix6OEaec14,17.67981,73.989682,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
1,Meenakshi Multispeciality Hospital,"Gate 2, S. No. 6/1+2, Plot, No 4 & 5, Satara - Koregaon Rd, opposite Irrigation Office Vanwaswadi, Khed, Maharashtra 415003, India",ChIJea-kL-I5wjsRVSmuQM-NAPU,17.686381,74.02767399999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
2,"District Hospital, Satara","Sadarbazar, Guruwar Peth, Satara, Maharashtra 415002, India",ChIJvWvZCL45wjsRMDeV4oPUtdc,17.6913947,74.0094581,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
3,Sanjeevan Hospital Satara,"Kanishka Hall Road, Sadar Bazar, Karanje Turf Satara, Maharashtra 415001, India",ChIJZbJ4m8E5wjsRWCKifTos3GE,17.6938859,74.0114701,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
4,"Morya Hospital & Research Center, Satara","Chowk, Satara - Koregaon Rd, opp. Nataraj Mandir, Bombay Restaurent, Aditya Nagari, Satara, Maharashtra 415002, India",ChIJAQAAFDs3wjsRijDBT2xfNFU,17.686601,74.0250746,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
5,Dhanvantari Hospital,"Om Executive, 19/4, SH 58, Near Hotel, Karanje Turf Satara, Satara, Maharashtra 415001, India",ChIJ-107dJY5wjsRq82riWA-mhA,17.6887178,74.0003114,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
6,Howale Hospital Satara,"455/2, Sadar Bazar, Satara, Maharashtra 415001, India",ChIJH8TiKeg5wjsRLIvBzzt9APA,17.6917229,74.0157437,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
7,Satara Diagnostic Centre & Multispeciality Hospital Pvt Ltd,"CTS No 518/1/15, Plot No 4, Sadar Bazar, Devi Colony, Satara, Maharashtra 415001, India",ChIJMSNYUO85wjsRYHh6O4zgChQ,17.6855462,74.01774019999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
8,Ajinkya Hospital,"Ajinkya Road, Ajinkya Colony, Powai Naka, Satara, Maharashtra 415001, India",ChIJ8eCEJOo5wjsRtOy57biSUw4,17.6895929,74.01179460000002,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
9,Satara Hospital & Research Center Private Limited,"Kalyani Nagar, Sadar Bazar, Satara, Maharashtra 415001, India",ChIJG-rDKek5wjsROkvd7jZhfSU,17.686428,74.01525869999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
10,Sahyog Hospital,"Uttekar Nagar, Sadar Bazar, Satara, Maharashtra 415001, India",ChIJcRCV6ME5wjsRexE9gn5aozw,17.6921712,74.0111831,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
11,Maher Nursing Home | Hospital | hospital in satara,"Plot No.7, opp. Civil Hospital, Deshmukh Colony, Sadar Bazar, Satara, Maharashtra 415001, India",ChIJMzgj76U5wjsRjpBYiibh9vg,17.6930997,74.0079501,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Satara
12,Chintamni Hospital,"Survey No. 777, Shaniwar peth Road Near Bal Manohar Mandir, Shaniwar Peth, Satara, Maharashtra 415002, India",ChIJJT0bZJo5wjsR9sAyyuMLMPA,17.6819911,73.99332729999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
13,Nandadeep Hospital,"283, Radhika Road, Near Siddhivinayak Hospital, Radhika Road, Satara, Maharashtra 415002, India",ChIJ4WnSwpg5wjsRgb3972epfyM,17.6921177,74.0021823,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
14,Chaitanya seva Hospital,"513, Jivantara, Lic Building, Sadar Bazar, Ajinkya Colony, Powai Naka, Satara, Maharashtra 415001, India",ChIJgTmOzlc5wjsRqayJ-rilslE,17.6878871,74.00887,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
15,Gosavi Hospital,"Sadar Bazar, Satara, Maharashtra 415001, India",ChIJRU5_MVk5wjsRWMT1Ytv4dvA,17.6937738,74.01109989999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
16,Shri Mangalmurti Hospital,"28 Kalyani Estate, Opp Zilla Parishad, Satara, Maharashtra 415001, India",ChIJE_rtKuk5wjsRniz0b5I3648,17.686091,74.015211,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
17,Kanse Hospital,"Yashodanagar, Powai Naka, Satara, Maharashtra 415002, India",ChIJ_____-85wjsRKaS-V8CjC04,17.6804639,74.018261,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
18,Niramaya Hospital and research centre,"Kalyani Nagar, Powai Naka, Satara, Maharashtra 415001, India",ChIJsVMW0ug5wjsRgv-xher6TQk,17.6863006,74.0160825,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
19,Ankur Hospital,"Plot No. 4, Behind Shivraj Colony, New MIDC Road Degaon Phata, Satara, Maharashtra 415003, India",ChIJkS9GK_85wjsRINGnRN8HZ6A,17.6721397,74.0247443,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
20,Ajinkyatara Hospital,"Sadar Bazar, Satara, Maharashtra 415001, India",ChIJx6XFblQ5wjsRQULJLZbV8cQ,17.6920912,74.0077376,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
21,Civil hospital Satara,"Ramkrishna Colony, Ajinkya Colony, Sadar Bazar, Satara, Maharashtra 415001, India",ChIJy8eMiFM5wjsRwGtah5GevSA,17.6916445,74.0091107,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
22,SaiAmrut Multispeciality Hospital,"176, Khutale Rd, Budhwar Peth, Shukrawar Peth, Satara, Maharashtra 415002, India",ChIJs7PR-pg5wjsR9onxnTgZVO8,17.6879138,73.9908551,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
23,Dr Kadam Hospital,"76/1, New Radhika Rd, Powai Naka, New Radhika Rd, Powai Naka, Satara, Maharashtra 415001, India",ChIJVVVFwb05wjsR0R9RVi80m0Q,17.6921511,73.99948499999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
24,Aryavidhi Hospital - Maternity & ENT Specialist in Satara,"Sr.no.39/2_3 Plot no 20, Behind Kanase Hyundai Showroom,, near Yashoda Shikshan Sanstha, Satara, Maharashtra 415002, India",ChIJB14BB_A5wjsRbrAXMSeC8M8,17.6799578,74.01812,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
25,Jeevan Jyot Hospital,"Plot No. 97, Shaniwar Peth Rd, Guruwar Peth, Satara, Maharashtra 415002, India",ChIJuZoiY5o5wjsRQhGKOOF9xFQ,17.6815307,73.9940447,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
26,Ashwini Hospital,"Deshmukh Colony, Sadar Bazar, Sadar Bazar, Satara, Maharashtra 415001, India",ChIJAQAAAMM5wjsRyI8-GJpSJ5o,17.6945225,74.015346,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
27,siddhivinayak Hospital,"Guruwar Peth, Satara, Maharashtra 415002, India",ChIJ6wZIMYU5wjsR5kaL3_r_bQ4,17.6779112,73.992875,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
28,Hirve Multispeciality Hospital,"Radhika Road, near Bharat Petroleum-Kadam Petroleum, Satara, Maharashtra 415001, India",ChIJd6XSwpg5wjsR6sJdaLdjlqI,17.6920584,74.0009685,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
29,Drishti Eye Hospital,"Deshmukh Colony, Sadar Bazar, Satara, Maharashtra 415001, India",ChIJX-lDTMA5wjsRda0S7itOF4c,17.6931101,74.0091989,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
30,"Late Dr. R. K. Pendharkar Memorial Hospital, Satara","530/A, Sadar Bazar, Satara, Maharashtra 415001, India",ChIJYe5zZus5wjsRuX7BIY5ge78,17.6859965,74.0083188,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
31,Girija Hospital,"76, St Stand Rd, Malhar Peth, Satara, Maharashtra 415002, India",ChIJqaq2p5k5wjsRXJWPW17_Gf8,17.6860732,73.9919787,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
32,Shivam Hospital,"Bombay Restaurant, Yashodanagar, Powai Naka, Satara, Maharashtra 415002, India",ChIJa3Qhz-Q5wjsReLOY-RXHaeI,17.6809756,74.0215642,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
33,Dr. Joshi (Siddhnath Maternity Hospital),"Badami Park Colony, Shukrawar Peth, Satara, Maharashtra 415002, India",ChIJXw-1pZ85wjsRpeeDc-Dd1nc,17.6872517,73.9854737,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
34,Yashwant Clinic,"Sambhaji Nagar, Satara, Maharashtra 415004, India",ChIJLQy5f_Q7wjsRYRZb1jn55q0,17.663093,74.027222,"['hospital', 'health', 'point_of_interest', 'establishment']",Satara
