,place_name,address,place_id,latitude,longitude,types,city
0,City Hospital,"B’wings,City Pride Building VIP Road, near Pankha Bawadi, Old Employment Chowk, Solapur, Maharashtra 413001, India",ChIJdXKiTnbaxTsR4gqyCJAx7lM,17.6621912,75.9017504,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
1,Ambika Hospital,"Railway Line, opposite S T Stand, Songla, Jawaharlal Housing Society, Murarji Peth, Solapur, Maharashtra 413001, India",ChIJsUn3hnrQxTsRq8mSXIEQ650,17.6599188,75.9063906,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
2,Basaveshwar Hospital,"207,Ravivar Peth,Rajendra Chowk, Maharashtra 413005, India",ChIJA1fv8GHaxTsRsSsgpzbtVik,17.6773615,75.9177214,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
3,CNS Hospital,"188/2/2 Degaon Road Near Reliance Market, Laxmi Peth, Damani Nagar, Solapur, Maharashtra 413001, India",ChIJxZFQ9IvQxTsRkxgUTSdgblk,17.6661137,75.87685929999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
4,Unique Hospital,"392/94, Main Road, South Kasba, Budhavar Peth, Solapur, Maharashtra 413001, India",ChIJfU1SWYfaxTsRlWWhQI78rLY,17.6776684,75.9065232,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
5,Solapur Care Multispeciality Hospital,"Patil Nagar, Vijapur Rd, Saiful, Solapur, Maharashtra, India",ChIJvwbSQFTXxTsRufXKOXhvIt4,17.6251314,75.89602579999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
6,E S I Hospital,"Hotgi Rd, near Idaga Ground, Ratandeep Housing Society, Solapur, Maharashtra 413003, India",ChIJ_____7TYxTsRgsGYBRiEt64,17.6496912,75.91097599999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
7,Solapur Cancer Center,"near Gangamai Hospital, Ramwadi, Solapur, Maharashtra 413001, India",ChIJn-R5iXbaxTsRS-CF1g2KhPQ,17.6566458,75.8966325,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
8,Markandeya Rughnalaya,"Final Plot No. 19, Markandeya Rugnalaya Rd, New Paccha peth, Sakhar Peth, Solapur, Maharashtra 413005, India",ChIJqzP00mbaxTsR86h8SPqFSOs,17.67234,75.919614,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
9,Ramkrishna Hospital,"162/20 A, Railway Lines, Church Street, Near Shantisagar Mangal Karyalay, Solapur, Maharashtra 413001, India",ChIJ_2aQo3faxTsRi7gcqeywnAQ,17.663748,75.90228820000002,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
10,Reliance Hospital - Solapur,"Plot No 1, Gut 659/3 Village Kumbharli Taluka: South, Solapur, Maharashtra 413006, India",ChIJ05paH7vbxTsRtkGReeGeZYc,17.6682089,75.9614471,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
11,Yashodhara Superspeciality Hospital,"Yashodhara Superspecility Hospital, Sidheshwar Peth, Solapur, Maharashtra 413001, India",ChIJhSUtbXvaxTsRpzASeHYXZlc,17.6704274,75.9095135,"['hospital', 'health', 'point_of_interest', 'establishment']",Solapur
