,place_name,address,place_id,latitude,longitude,types,city
0,"Horizon Hospital in Thane, Mumbai .","Malati Mohan Bunglow, Opp. Naupada Telephone Exchange, Mahatma Gandhi Rd, Thane West, Mumbai, Maharashtra 400602, India",ChIJQfJ8uB-55zsRiiDRKNQvwro,19.1868367,72.96760859999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
1,"Lakecity Hospital, Multispeciality Hospital in Thane","Jai Siddhivinayak Premises, Ground Floor, Cadbury Junction, Khopat Rd, Thane West, Thane, Maharashtra 400602, India",ChIJ61IE8BW55zsRExrrwbuDrsM,19.2037765,72.96905,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",Thane
2,Universal Multispeciality Hospital : Private Hospital | Specialist Hospital | 24 Hours Hospital | Multispeciality Hospital | Hospital in Thane | Geriatric Hospital | Children Hospital | Maternity Hospital in Thane,"Teejadeep Heights 1st Floor Opp Ginger Hotel Gokul Nagar LBS Road, Old Agra Rd, Thane West, Mumbai, Maharashtra 400601, India",ChIJ4ZoeDLHH5zsRLRf7vQ9YRvU,19.2069197,72.9773393,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
3,Bethany Hospital,"Pokharan Rd Number 2, Shastri Nagar, Thane West, Thane, Maharashtra 400606, India",ChIJxSa8-ES55zsRvNKf9sas9hQ,19.2198343,72.96174479999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
4,Sapphire Hospitals,"Kaveri Heights, Opposite Old Mhatre Talao, Premnagar, Kharegaon, Kalwa West, Thane, Maharashtra 400605, India",ChIJm5LUnc--5zsRAT4_VOKGQfc,19.2031115,73.0039271,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
5,THANE NOBLE HOSPITAL- Hospital | Multispeciality Hospital | Children Hospital | Maternity Hospital | Private Hospital | Geriatric Hospital | Specialist Hospital in Thane,"Solitair Near D'Mart Cosmos Jewels, Ghodbunder Rd, Kavesar, Thane West, Mumbai, Maharashtra 400615, India",ChIJB4y-mvq75zsRjBiHU3E00y8,19.2597212,72.9689689,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
6,Phoenix Hospital and ICU - Best Hospital In Thane,"1st Floor, Siddhivinayak Annex, Highland Gardens Rd, behind Bus Stop, behind Shruti park, Thane West, Thane, Maharashtra 400607, India",ChIJnTRJglC55zsR66GIGUted6I,19.2255232,72.9813121,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
7,OrthoNova Hospital - Orthopedic Hospital In Thane,"Soham Plaza, Door No. 201 - 205, Junction, Ghodbunder Rd, Manpada, Thane, Maharashtra 400607, India",ChIJf97grae75zsR83mL0cE3Szs,19.2346217,72.9757213,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
8,"Mala Newborn & Children Hospital in Thane, Bhiwandi, kalwa and Ghodbunder Road","Rushabh Mall, 1st Floor, Plot No. 325, Wadekar Compound G.B. Road, Next to Silver Lounge Hotel, Chitalsar, Manpada, Thane, Maharashtra 400607, India",ChIJy3IqkbW55zsR46zpqXyCfs8,19.2265241,72.97674289999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
9,Lifeline Hospital Thane,"Shiv Tower, 1st Floor, Opposite TJSB Bank, Khopat, Khopat Rd, Bhoir Wadi, Thane West, Thane, Maharashtra 400601, India",ChIJ58av0T255zsRpmD_26d_Z1Y,19.202622,72.9721461,"['hospital', 'health', 'point_of_interest', 'establishment']",Thane
