,place_name,address,place_id,latitude,longitude,types,city
0,Komal Hospital,"Shiv Nagar Colony, Udgir, Maharashtra 413517, India",ChIJGRomYBaqzzsRHjXyQJ52OR4,18.3856627,77.11789089999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
1,Udgir Hospital And Medical Store,"Church Rd, Nai Abadi, Khadkali, Udgir, Maharashtra 413517, India",ChIJz0aVzD2qzzsR45DbaUiKafc,18.3925419,77.11875909999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
2,Indumati Hospital,"Ram Nagar, Khadkali, Udgir, Maharashtra 413517, India",ChIJkd2Pzz-qzzsRCYWLstc8EfM,18.3908961,77.1233049,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
3,Attar hospital 🏥,"Udgir - Bidar Rd, Shiv Nagar Colony, Ramchandra Nagar, Udgir, Maharashtra 413517, India",ChIJUYjE5ROqzzsRzSyhS9SnyvU,18.3827916,77.1204407,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
4,Lifecare Hospital and Research Centre,"267/3, Anandmayee Marg,, Udgir, Maharashtra 413517, India",ChIJ5cDv9WSqzzsRgdgipXWEy6A,18.386288,77.138015,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
5,YEROLKAR Hospital,"Degloor Rd, Ram Nagar, Khadkali, Udgir, Maharashtra 413517, India",ChIJg-L13BWqzzsRag8mlfqJESU,18.3881007,77.12027379999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
6,Ashwini Multispeciality Hospital,"Opp. Bus Stand, Shivaji Society, near Prajapita Brahmakumari, Udgir, Maharashtra 413517, India",ChIJ7xdQjXarzzsRqX1W1DNVLfs,18.385874,77.1173397,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
7,Yernale Hospital,"Udgir - Degloor Rd, Ram Nagar, Vikas Nagar, Udgir, Maharashtra 413517, India",ChIJSeXk3hWqzzsRiIzsUriyza0,18.3908464,77.1234565,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
8,"Udaygiri Multispeciality, Udgir","Sahajeevan Colony,Shelhal Road, near Kalpana Theatre, Udgir, Maharashtra 413517, India",ChIJ9Zx8cxOqzzsRjE7ZOtJZupA,18.3828848,77.1230099,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
9,Mangal Hospital,"Opp. Dudhiya Hanuman, Bidar Road, Udgir, Maharashtra 413517, India",ChIJWasivhaqzzsRccQJ7ybt7eg,18.385303,77.118582,"['hospital', 'health', 'point_of_interest', 'establishment']",Udgir
