,place_name,address,place_id,latitude,longitude,types,city
3,Swami Sarvanand Hospital,"Near Old Bus Terminus, Ulhasnagar, Maharashtra 421005, India",ChIJV_MUloiU5zsRjaLwX5fBft8,19.2000446,73.1685346,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
4,Shivneri Hospital,"Babasai Nagar, Ulhasnagar, Maharashtra 421004, India",ChIJY-zhOGGU5zsRoJ7LHAGRNRY,19.2087421,73.1629018,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
5,Dr. Ruprell's Hospital,"477, Bharat Chowk Fish Market St, Mukund Nagar, Ulhasnagar, Maharashtra 421002, India",ChIJNymKuhCU5zsRG7tr-ImGtjs,19.2382095,73.16531549999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
8,Prabhat General Hospital,"Kailash Colony, Ulhasnagar, Maharashtra 421005, India",ChIJqRwesGGU5zsRGxbAM939IN8,19.2061683,73.1622272,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
9,Shanti Hospital,"Shop No. 22, Main Bazar, OT Section, Ulhasnagar 4, near Government Hospital, Ulhasnagar, Maharashtra 421004, India",ChIJ8f_vpkKU5zsR9bqPtD17cXw,19.2161231,73.15834939999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
11,Meera Hospital,"Kalyan - Badlapur Rd, Vitthalwadi, Ulhasnagar, Maharashtra 421002, India",ChIJzevOUj6U5zsRvhWrS4XNh68,19.2294103,73.1562513,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
12,Maxlife Hospital,"Kalyan Ambernath Rd, Shanti Nagar, Ulhasnagar, Maharashtra 3, India",ChIJV11TAPqV5zsRJKhl6nH-iaQ,19.2302626,73.154099,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
13,Criticare Hospital,"Baba Namandas Nagar, Kailash Colony, Ulhasnagar, Maharashtra 421004, India",ChIJC9NC02CU5zsR6tWLjBB4N0U,19.209596,73.1610172,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
14,Welcare ortho maternity children's Hospital,"A block no.258, Kurla Camp Rd, Babasai Nagar, Ulhasnagar, Maharashtra 421004, India",ChIJwTRmAmGU5zsRRrEkfajn1M8,19.2073471,73.1615942,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
15,Mahavir Hospital,"Paryani Ln, Section 28, Krishna Nagar, Ulhasnagar, Maharashtra 421004, India",ChIJR7FsQ2eU5zsRPGoj0709iLM,19.210692,73.1594195,"['hospital', 'health', 'point_of_interest', 'establishment']",Ulhasnagar
