,place_name,address,place_id,latitude,longitude,types,city
0,IM Multispeciality Hospital (Hospital in Vasai West),"Near Municipal Garden Hathi Moholla Road Hathi Mohalla, Vasai Road West Vasai Road, West, Maharashtra 401202, India",ChIJwT2scNit5zsRYjXjCKS0I_E,19.3402809,72.8032027,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
1,Vasai Virar City Municipal Corporation Hospital,"3, Sativali Rd, Golani Naka, Vasai East, sativli, Maharashtra 401208, India",ChIJvyYaOTWv5zsRNA5RaMOW8Go,19.4057277,72.8734785,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
2,Dr. Palaskar Hospital,"Behind Sai Baba Temple, Bhabola Naka, Vasai West, opp. Mc. Donalds, Maharashtra 401202, India",ChIJvVeaqpqu5zsR6x7EnMJsmdw,19.367043,72.8170694,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
3,Indradhanush Hospital,"Evershine City, Vasai East, Vasai-Virar, Maharashtra 401208, India",ChIJKzlGXjGp5zsROsEeo07J4zs,19.4089788,72.8351691,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
4,Life Care Childrens Hospital & Diagnostic Centre,"Opp. Catholic Bank, Zenda Bazar, Killa Rd, Koliwada, Vasai West, Vasai-Virar, Maharashtra 401201, India",ChIJ4RkUYHau5zsRsK6sJ9kOzUU,19.338387,72.8071622,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
5,Vasai Kidney Care Hospital,"Kaul Heritage City, Vasai West, Vasai-Virar, Maharashtra 401202, India",ChIJ0cu3byev5zsRDXdA5fjGHWY,19.3737889,72.8151029,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
6,Astha Hospital,"104, New Krishna Hsg Society, Ambadi Road, Vasai West, near Dhuri Motors, Vasai-Virar, Maharashtra 401202, India",ChIJs608v7iu5zsROdmmfeLaFUE,19.3859543,72.82665349999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
7,Shraddha Maternity & Nursing Home,"101, Hilton Regency, Opposite Holy Family School, Near Dream Mall, Evershine City Rd, Vasai East, Vasai-Virar, Maharashtra 401205, India",ChIJQSh_yzKp5zsRGQG0S7ZYGmw,19.4034229,72.83790599999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
8,Ravi Hospital,"Shop Number 5 Raja Kunj, Veer Savarkar Nagar, Anand Nagar, Vasai West, Vasai-Virar, Maharashtra 401202, India",ChIJVRlTFr2v5zsRrtBLr_5LGMc,19.3809546,72.8312696,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
9,JP Hospital & Diagnostics,"Opposite Vasai Municipal Hospital, Parnaka, Killa Road, Vasai Gaon West, Vasai-Virar, Maharashtra 401201, India",ChIJyY6D_neu5zsRzTun-Gdh_4U,19.3421662,72.8044749,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
10,Dr Goyal Children And General Hospital,"Near Dream Mall carnival cinema, Evershine City, Vasai East, Vasai-Virar, Maharashtra 401209, India",ChIJ5RFT5zKp5zsRdsYJ0d2XmNk,19.404649,72.8371554,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
11,Rahul clinic,"Golani Naka, Vasai East, Vasai-Virar, Maharashtra 401208, India",ChIJyWFxqh2p5zsRXriG7_oJWTo,19.4251496,72.8700111,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
12,Krishna Multispeciality Hospital,"Prabhu Nivas, Meena Nagar, off 60 feet Road, Opp. Greater Bombay Bank, Vasai West, Vasai-Virar, Maharashtra 401202, India",ChIJ74Iz7b6u5zsR1br9SFBt7Tg,19.3823962,72.823736,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
13,Navjeevan Hospital and Vasai Test Tube Baby Centre,"Above Muthoot Finance, Besides SBI Bank, Bhabola-Chulna Road, Naka, Suyog Nagar, Vasai West, Vasai-Virar, Maharashtra 401202, India",ChIJ3_aJA5Cu5zsR5PPv4obhoWM,19.3686791,72.817228,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
14,Om Sai Hospital,"Evershine City - Behind HDFC Bank, opposite J.B.Ludhani school, Evershine City, Vasai East, Vasai-Virar, Maharashtra 401208, India",ChIJ6f4_gc2u5zsRjdJLU9SYyGg,19.4002575,72.8394557,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
15,MAA AMBE CLINIC,"Pragati Nagar, Vasant Nagari, Nalasopara East, Vasai-Virar, Maharashtra 401209, India",ChIJ06NB5Kip5zsRU85G97cr9FI,19.4035286,72.82388949999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
16,DM Petit Muncipal Hospital,"Zenda Bazaar Rd, Parnaka, Koliwada, Vasai West, Vasai-Virar, Maharashtra 401201, India",ChIJEQppHXiu5zsR72OYox4PIAo,19.3426258,72.8051642,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
17,Shri Sai Clinic,"Adarsh nagar, sativali opposite to shah industrial vasai east, 401208, India",ChIJWU7BJsuo5zsRxpyn9wNK6LM,19.4075562,72.8719675,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
18,Ishwar Children Hospital,"Kaul's Heritage city, Vasai Station Rd, Suyog Nagar, Vasai West, Vasai-Virar, Maharashtra 401202, India",ChIJuQ7_PpCu5zsRz3cKcniM9GU,19.3680346,72.8177693,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
19,NEW MUNICIPAL HOSPITAL HATHI MOHALLA,"401201, Hathi Mohalla, Koliwada, Vasai West, Vasai-Virar, Maharashtra 401201, India",ChIJT_qKedit5zsRdwVSfUyFgzM,19.340247,72.8039063,"['hospital', 'health', 'point_of_interest', 'establishment']",Vasai-Virar City MC
