,place_name,address,place_id,latitude,longitude,types,city
0,Cortex Hospital IN Wardha,"Sudampuri, Wardha, Maharashtra 442001, India",ChIJXVhZZw9_1DsRmnwQttFt3jo,20.7490736,78.6051119,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
1,Acharya Vinoba Bhave Rural Hospital,"Datta Meghe Institute of Medical Sciences, Wardha, Maharashtra 442001, India",ChIJ3QvNCFd_1DsRp2pVjtGTFsg,20.7153262,78.5729417,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
2,Shwas Multispecialty Hospital,"MG Rd, Maganwadi, Wardha, Maharashtra 442001, India",ChIJva2XQRR_1DsRvgk2Q5u4JsQ,20.7403495,78.5929298,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
3,Sushrut Hospital,"Wardha - Sevagram Rd, Near Sai Mangal Karyalay, MIDC, Wardha, Maharashtra 442001, India",ChIJ30j4Ogp_1DsR02FT6ForIAk,20.7423194,78.60950729999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
4,Dr Bhaimare's Sanjeevan Eye Hospital Wardha,"Sudampuri, Wardha, Maharashtra 442001, India",ChIJM3fpDxJ_1DsRStI5PBaD4cA,20.7417281,78.59950189999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
5,Jain Hospital,"Police Station, Infont of, Bachelor Road, Ramnagar, Wardha, Maharashtra 442001, India",ChIJQYW4fRZ_1DsR50KR9UVI7Go,20.7417852,78.5936917,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
6,"District General Hospital, Wardha","Mahadevpura, Wardha, Maharashtra 442001, India",ChIJPdBbJw1_1DsR9QGk_D8AXQA,20.7379402,78.6029616,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
7,Sanjeevan Hospital,"Ground Near Circus, Tukaram Ward, Ramnagar, Wardha, Maharashtra 442001, India",ChIJZy_HyxV_1DsRktoP20N_b4k,20.740822,78.59137489999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
8,Vanmali Hospital,"Wardha,, Nalwadi, Wardha, Maharashtra 442001, India",ChIJm4zDq6Z_1DsRX3ImiI-ZZWY,20.7440151,78.61693249999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
9,Satpute Hospital Gandhi Nagar Wardha,"Arvi Rd, Gandhi Nagar, Sudampuri, Wardha, Maharashtra 442001, India",ChIJo002pwh_1DsR2PJyVIIwI64,20.7518653,78.60201510000002,"['hospital', 'health', 'point_of_interest', 'establishment']",Wardha
