,place_name,address,place_id,latitude,longitude,types,city
0,Sukhkarta Hospital,"Chapman Wadi, Yavatmal, Maharashtra 445001, India",ChIJZw_d_8fo0zsR320QnTpCkVw,20.3881749,78.1337353,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
1,Sanjeevan Multispecialty Hospital & Research Institute,"Ratanlal plots Mahadev Mandir, Road, Yavatmal, Maharashtra 445001, India",ChIJTZY28rbo0zsRUCpQPIkNMvA,20.3920179,78.1301708,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
2,HIRACHAND MUNOT MEMORIAL CRITICARE HOSPITAL,"near Darda Udyan, New Singhania Nagar, Bharti Nagar, Yavatmal, Maharashtra 445001, India",ChIJ2cGDw6Xo0zsRAD7gMBxOSWA,20.3852044,78.117342,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
3,Shri Datta Hospital and Research Center,"Yavatmal - Arni Rd, Tulja Nagari, Yavatmal, Maharashtra 445002, India",ChIJw0bHBLro0zsRSqOcMFLHT3c,20.3742589,78.1102841,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
4,Tawde Hospital,"Awaddhootwadi, Tiwari Square, Yavatmal, Maharashtra 445001, India",ChIJvaRttbno0zsRS4KSkNcpKIo,20.3865246,78.13061359999999,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
5,Shree Datta Heart Hospital,"Adarsh Nagar, Bharti Nagar, Yavatmal, Maharashtra 445001, India",ChIJGXj6va_o0zsRSLDL8ujaoVk,20.3887937,78.1204073,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
6,Kulkarni Hospital For Children,"Veer Abhimanyu Square Rd, Tilakwadi, Yavatmal, Maharashtra 445001, India",ChIJ3W0wW7no0zsRGGP9RrIcPLE,20.3830119,78.1285607,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
7,Dhawane Hospital & Critical Care Center,"Mainde chowk, Sankat Mochan Road, Yavatmal, Maharashtra 445001, India",ChIJVwwAFbno0zsRQORpiscnmT0,20.3818733,78.129424,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
8,Dr. Yelnare Orthopedic Hospital,"Datta Chowk Rd, near Bank of India, Vidhardh Housing Society, Yavatmal, Maharashtra 445001, India",ChIJp2Pg7bno0zsRZVSg49sN6Jo,20.3870834,78.1282736,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
9,Shah Hospital,"Shinde road, Arani road, Near Bust stand, Yavatmal, Maharashtra 445304, India",ChIJcQ9Wdrro0zsRALHjngOotxc,20.3866416,78.1263395,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
10,Samyak hospital,"Saraswat Chowk, Vidhardh Housing Society, Yavatmal, Maharashtra 445002, India",ChIJnamp0B7p0zsRK2ki6XIETYw,20.3858732,78.128626,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
11,Belsare Hospital,"MSRTC work shop, MSH 3,Arni Road,Opp Mamidwar Collection, Vaidya Nagar, Yavatmal, Maharashtra 445001, India",ChIJ_Qwb07ro0zsRDKecg16qgNM,20.3850186,78.1223581,"['hospital', 'health', 'point_of_interest', 'establishment']",Yavatmal
