Rank,City,District
1,Mumbai,"Mumbai City,"
2,"PMC, Pune",Pune
3,Nagpur,Nagpur
4,Thane,Thane
5,"PCMC, Pune",Pune
6,Nashik,Nashik
7,Kalyan-Dombivli,Thane
8,Vasai-Virar City MC,Palghar
9,Aurangabad,Aurangabad
10,Navi Mumbai,"Thane, Raigad"
11,Solapur,Solapur
12,Mira-Bhayandar,Thane
13,Latur,Latur
14,Amravati,Amravati
15,Nanded Waghala,Nanded
16,Kolhapur,Kolhapur
17,Akola,Akola
18,Panvel,Raigad
19,Ulhasnagar,Thane
20,Sangli-Miraj-Kupwad,Sangli
21,Malegaon,Nashik
22,Jalgaon,Jalgaon
23,Dule,Dhule
24,Bhivandi-Nizampur,Thane
25,Ahmednagar,Ahmednagar
26,Chandrapur,Chandrapur
27,Parbhani,Parbhani
28,Ichalkaranji,Kolhapur
29,Jalna,Jalna
30,Ambarnath,Thane
31,Bhusawal,Jalgaon
32,Ratnagiri,Ratnagiri
33,Beed,Beed
34,Gondia,Gondia
35,Satara,Satara
36,Barshi,Solapur
37,Yavatmal,Yavatmal
38,Achalpur,Amravati
39,Osmanabad,Osmanabad
40,Nandurbar,Nandurbar
41,Wardha,Wardha
42,Udgir,Latur
43,Hinganghat,Wardha
